,mi_score,shap_score,rfe_rank,in_mi,in_shap,in_rfe,vote_count,selected,mi_score_norm,shap_score_norm,rfe_score_norm,avg_norm_score
tse_index_close,0.21384831647413627,0.04262103,1,True,True,True,3,True,1.0,0.6729116,1.0,0.8909705281257629
tse_index_vol_20,0.16573705889827206,0.046600662,1,True,True,True,3,True,0.7750215743144137,0.735743,1.0,0.8369215201722179
gold_usd_close,0.2020024970708243,0.022804767,1,True,True,True,3,True,0.9446064406836485,0.3600474,1.0,0.7682179468937865
tse_index_to_sma50,0.12143601670407467,0.04355938,1,True,True,True,3,True,0.5678605223846205,0.68772644,1.0,0.7518623201433741
tse_index_to_sma20,0.16474354031496574,0.02947488,1,True,True,True,3,True,0.7703756710887669,0.46535683,1.0,0.7452441659569978
tse_index_ret_1d,0.20351290912692876,0.015561008,1,True,True,True,3,True,0.9516694472156038,0.2456811,1.0,0.7324501847532746
ret_1d,0.035966341816353165,0.063338235,1,False,True,True,2,True,0.16818622848828033,1.0,1.0,0.7227287428294268
btc_usd_close,0.18578270107508255,0.016718104,1,True,True,True,3,True,0.868759240840467,0.26394963,1.0,0.7109029578283734
tse_index_ret_20d,0.16813620036346988,0.020375278,1,True,True,True,3,True,0.7862404677092933,0.32169002,1.0,0.7026434968848991
oil_usd_close,0.17802081934918101,0.017380115,1,True,True,True,3,True,0.832463038682428,0.27440163,1.0,0.7022882245379974
silver_usd_close,0.2030192083215776,0.009421748,1,True,False,True,2,True,0.9493607977322169,0.14875293,1.0,0.699371241837456
tse_index_ret_5d,0.1954139871465057,0.011655528,1,True,True,True,3,True,0.9137971734752465,0.18402041,1.0,0.69927252947457
silver_usd_ret_5d,0.19855529536310845,0.0056619635,1,True,False,True,2,True,0.9284865957180569,0.089392506,1.0,0.6726263671014014
gold_usd_ret_5d,0.19742984910985584,0.0059733978,1,True,False,True,2,True,0.9232237707783585,0.09430951,1.0,0.6725110931929551
oil_usd_ret_5d,0.19950677234710357,0.0053258166,1,True,False,True,2,True,0.9329359035250239,0.08408533,1.0,0.6723404112973707
oil_usd_ret_20d,0.16682367698282397,0.010684014,1,True,True,True,3,True,0.7801028305172575,0.1686819,1.0,0.649594911730278
oil_usd_vol_20,0.15957474527710236,0.011703865,1,True,True,True,3,True,0.7462052912462466,0.18478356,1.0,0.6436629514213639
btc_usd_ret_1d,0.18660202595188125,0.0034515124,1,True,False,True,2,True,0.8725905774172867,0.054493345,1.0,0.6423613075791704
