date,open,high,low,adjClose,value,volume,count,yesterday,close,rsi,macd,macd_signal,bb_upper,bb_lower,sma_20,sma_50,volume_ratio,momentum_5,momentum_10,prev_day_change,high_52w,low_52w,dist_from_high,dist_from_low,price_to_sma20,price_to_sma50,future_return,signal
2002-10-29,46988.0,46988.0,46988.0,46988.0,4610791476,98127,102,46523.0,46988.0,49.98873745237337,-963.9746982235447,-1246.5205625246194,50618.12447407868,42269.675525921324,46443.9,49419.5,1.3230993264971787,0.05097407680780153,0.04529275671827726,0.009995056208756958,63845.0,25000.0,-0.26403007283264157,0.87952,1.0117152091017334,0.950798773763393,0.050949178513663096,1
2002-10-30,47457.0,47457.0,47457.0,47457.0,212132790,4470,18,46988.0,47457.0,53.49421042911103,-774.117046681029,-1152.0398593559014,50287.267979161545,42387.13202083845,46337.2,49378.66,0.060871193422642855,0.05095668349720972,0.0827762440393347,0.00998127181408015,63845.0,25000.0,-0.25668415694259533,0.89828,1.024166328565386,0.9610831885676929,0.0509513875719072,1
2002-11-02,47931.0,47931.0,47931.0,47931.0,640981263,13373,21,47457.0,47931.0,56.79066129589244,-578.7343618920931,-1037.3787598631397,49929.92162403993,42552.57837596007,46241.25,49353.34,0.1874171387248403,0.05095708992040704,0.09369081574443805,0.009987989126999164,63845.0,25000.0,-0.24925992638421177,0.91724,1.0365420484956613,0.9711804712710427,0.05094823809225768,1
2002-11-03,48410.0,48410.0,48410.0,48410.0,224719220,4642,10,47931.0,48410.0,59.885134857104696,-380.85067025526223,-906.0731419415642,49627.534160423245,42713.06583957676,46170.3,49339.9,0.06610925258946894,0.05095195710222966,0.10451983846311808,0.009993532369447777,63845.0,25000.0,-0.2417573811574908,0.9364,1.0485095396824364,0.981153184339652,0.050939888452798954,1
2002-11-04,48894.0,48894.0,48894.0,48894.0,182081256,3724,11,48410.0,48894.0,62.785272012384475,-182.8637247249353,-761.4312584982385,49445.19500708761,42817.80499291239,46131.5,49311.6,0.05819145520047066,0.050964039292392904,0.10452481532518587,0.009997934311092749,63845.0,25000.0,-0.23417652126243246,0.95576,1.05988316009668,0.9915314043754411,0.05092649404834959,1
2002-11-05,49379.0,49382.0,49378.0,49382.0,11021799779,223196,234,48894.0,49382.0,65.49400906470615,13.266944562077697,-606.4916178861754,49533.883458416894,42767.3165415831,46150.6,49288.82,2.9854483536268095,0.050949178513663096,0.10452034266031451,0.009980774737186504,63845.0,25000.0,-0.2265330096327042,0.97528,1.0700185913075886,1.001890489567411,0.05092948847758283,1
2002-11-06,49875.0,49875.0,49875.0,49875.0,285384750,5722,11,49382.0,49875.0,68.02599245934901,206.10701942156447,-443.9718904246274,49950.055705512976,42561.14429448702,46255.6,49265.8,0.0823106240690247,0.0509513875719072,0.1045043847993623,0.009983394759224051,63845.0,25000.0,-0.2188111833346386,0.995,1.0782478229663004,1.0123655761197423,0.04076190476190478,0
2002-11-09,50369.0,50373.0,49875.0,50373.0,6427689918,127607,106,49875.0,50373.0,70.38961191215077,394.570245941999,-276.2634631513021,50553.07412660093,42337.325873399066,46445.2,49242.54,1.6933673669117448,0.05094823809225768,0.10450150196241803,0.009984962406015097,63845.0,25000.0,-0.21101104236823556,1.01492,1.0845684807041418,1.0229569798795919,0.040775812439203474,0
2002-11-10,50876.0,50876.0,50876.0,50876.0,1431752392,28142,27,50373.0,50876.0,72.59334898589866,577.8554491025425,-105.4396807005332,51222.76782063667,42213.532179363334,46718.15,49219.04,0.49686655561234805,0.050939888452798954,0.10448733256626785,0.00998550810950305,63845.0,25000.0,-0.20313258673349519,1.03504,1.0889986011860486,1.0336650206911797,0.02209293183426375,0
2002-11-11,51384.0,51384.0,51384.0,51384.0,806369112,15693,28,50876.0,51384.0,74.64568283392487,755.3939364892649,66.72704273742642,51910.47219035799,42122.52780964201,47016.5,49195.3,0.32584151847587645,0.05092649404834959,0.10448595318444642,0.009985061718688515,63845.0,25000.0,-0.19517581643041743,1.05536,1.092892920570438,1.0444900224208409,0.011832477035653044,0
