date,open,high,low,adjClose,value,volume,count,yesterday,close
2024-11-30,10000.0,10000.0,10000.0,10000.0,5334836290000,533483629,58012,10000.0,10000.0
2024-12-01,10000.0,10000.0,10000.0,10000.0,1173570490000,117357049,8337,10000.0,10000.0
2024-12-02,10000.0,10000.0,10000.0,10000.0,3491593220000,349159322,34857,10000.0,10000.0
2024-12-24,10400.0,10490.0,10210.0,10320.0,998735284870,96790023,9281,10000.0,10340.0
2024-12-25,10420.0,10500.0,10100.0,10210.0,806850021190,78998601,9164,10320.0,10150.0
2024-12-28,10120.0,10340.0,10080.0,10180.0,497712595460,48903240,6605,10210.0,10180.0
2024-12-29,10180.0,10220.0,10080.0,10130.0,474651615390,46858172,4741,10180.0,10100.0
2024-12-30,10050.0,10140.0,10010.0,10070.0,689823829920,68495599,4635,10130.0,10090.0
2024-12-31,10070.0,10220.0,10070.0,10170.0,429363180980,42238257,2732,10070.0,10170.0
2025-01-01,10180.0,10470.0,10180.0,10350.0,452616392290,43719783,4883,10170.0,10470.0
2025-01-04,10660.0,10660.0,10660.0,10660.0,86119229820,8078727,709,10350.0,10660.0
2025-01-05,10970.0,10970.0,10970.0,10970.0,104389225540,9515882,738,10660.0,10970.0
2025-01-06,11290.0,11290.0,11290.0,11290.0,102554577850,9083665,567,10970.0,11290.0
2025-01-07,11620.0,11620.0,11620.0,11620.0,150902351460,12986433,477,11290.0,11620.0
2025-01-08,11960.0,11960.0,11960.0,11960.0,185293421560,15492761,788,11620.0,11960.0
2025-01-11,12310.0,12310.0,11960.0,12270.0,4411374673650,359626701,14718,11960.0,12140.0
2025-01-12,12100.0,12210.0,11910.0,11970.0,1839968151370,153660904,9656,12270.0,11910.0
2025-01-13,12000.0,12240.0,11770.0,12060.0,938709531500,77812178,7181,11970.0,12040.0
2025-01-15,12120.0,12290.0,11700.0,11870.0,868995961040,73197513,7569,12060.0,11700.0
2025-01-18,11530.0,11670.0,11520.0,11520.0,198062816800,17187893,1124,11870.0,11520.0
2025-01-19,11180.0,11360.0,11180.0,11210.0,756007511820,67412971,5696,11520.0,11220.0
2025-01-20,11300.0,11370.0,10880.0,11040.0,666101856650,60318336,4892,11210.0,10920.0
2025-01-21,11260.0,11260.0,10820.0,11010.0,335603676170,30488009,3693,11040.0,11150.0
2025-01-22,11200.0,11340.0,11200.0,11330.0,538844036510,47565982,3428,11010.0,11340.0
2025-01-25,11480.0,11530.0,11160.0,11290.0,500961101420,44355347,4700,11330.0,11260.0
2025-01-26,11180.0,11360.0,11040.0,11140.0,491004362630,44064458,3579,11290.0,11060.0
2025-01-27,11080.0,11200.0,10960.0,11090.0,356658268850,32156431,2748,11140.0,11070.0
2025-01-29,11030.0,11190.0,11030.0,11130.0,155421224650,13967279,1966,11090.0,11140.0
2025-02-01,11140.0,11220.0,10920.0,11020.0,222023331800,20150795,2694,11130.0,11050.0
2025-02-02,11010.0,11110.0,10990.0,11040.0,289473854950,26225508,2383,11020.0,11030.0
2025-02-03,11020.0,11100.0,10960.0,11010.0,252925642410,22974421,2124,11040.0,11020.0
2025-02-04,11010.0,11180.0,11010.0,11120.0,261319523170,23506317,2145,11010.0,11090.0
2025-02-05,11090.0,11150.0,11000.0,11090.0,438523591900,39545066,2240,11120.0,11100.0
2025-02-09,10960.0,11220.0,10900.0,11020.0,503968832880,45712004,3775,11090.0,10900.0
2025-02-11,10860.0,11000.0,10690.0,10800.0,373510089660,34590223,2635,11020.0,10690.0
2025-02-15,10480.0,10570.0,10480.0,10510.0,183661057900,17478137,1203,10800.0,10480.0
2025-02-16,10200.0,10300.0,10200.0,10200.0,402783492000,39487359,2092,10510.0,10200.0
2025-02-17,10200.0,10460.0,10140.0,10360.0,266651471080,25748574,2383,10200.0,10340.0
2025-02-18,10400.0,10480.0,10310.0,10390.0,103031803480,9911716,1540,10360.0,10390.0
2025-02-19,10440.0,10470.0,10340.0,10400.0,109634908470,10538435,1465,10390.0,10350.0
2025-02-22,10290.0,10420.0,10210.0,10300.0,174439578240,16931935,1872,10400.0,10220.0
2025-02-23,10300.0,10460.0,10300.0,10380.0,347867504930,33498395,2017,10300.0,10430.0
2025-02-24,10500.0,10690.0,10420.0,10640.0,373997105100,35161497,2368,10380.0,10690.0
2025-02-25,10760.0,10880.0,10350.0,10580.0,582926050220,55087388,4463,10640.0,10390.0
2025-02-26,10390.0,10460.0,10270.0,10330.0,201277962170,19477711,2516,10580.0,10270.0
2025-03-01,10290.0,10360.0,10200.0,10280.0,148221775560,14422952,2045,10330.0,10230.0
2025-03-02,10210.0,10290.0,10180.0,10220.0,186197740130,18216343,2003,10280.0,10220.0
2025-03-03,9920.0,9990.0,9920.0,9940.0,205801729880,20701263,2615,10220.0,9920.0
2025-03-04,9920.0,10130.0,9810.0,9960.0,209050281240,20991825,1969,9940.0,9930.0
2025-03-05,9970.0,9970.0,9750.0,9830.0,231672200250,23567343,1717,9960.0,9760.0
2025-03-08,9860.0,9860.0,9540.0,9620.0,188712474750,19613546,1774,9830.0,9540.0
