date,open,high,low,adjClose,value,volume,count,yesterday,close
2024-12-23,24540.0,24540.0,17500.0,19165.0,3258044543808,169999446,1050997,1000.0,17500.0
2024-12-24,19730.0,19730.0,19730.0,19730.0,200513602670,10162879,2516,19165.0,19730.0
2024-12-25,20320.0,20320.0,20320.0,20320.0,70900259520,3489186,3092,19730.0,20320.0
2024-12-28,20900.0,20900.0,20900.0,20900.0,366322158400,17527376,8539,20320.0,20900.0
2024-12-29,21500.0,21500.0,21500.0,21500.0,335536482000,15606348,6219,20900.0,21500.0
2024-12-30,22100.0,22100.0,22100.0,22100.0,527463661400,23867134,34931,21500.0,22100.0
2024-12-31,22750.0,22750.0,22750.0,22750.0,584340529500,25685298,63257,22100.0,22750.0
2025-01-01,23400.0,23400.0,23400.0,23400.0,921636471600,39386174,104353,22750.0,23400.0
2025-01-04,24100.0,24100.0,24100.0,24100.0,457790658300,18995463,15208,23400.0,24100.0
2025-01-05,24800.0,24800.0,24800.0,24800.0,525028846400,21170518,26039,24100.0,24800.0
2025-01-06,25500.0,25500.0,25500.0,25500.0,466096828500,18278307,10752,24800.0,25500.0
2025-01-07,26250.0,26250.0,26250.0,26250.0,485502596250,18495337,13477,25500.0,26250.0
2025-01-08,27000.0,27000.0,27000.0,27000.0,567829521000,21030723,29125,26250.0,27000.0
2025-01-11,27800.0,27800.0,27800.0,27800.0,522478899000,18794205,29984,27000.0,27800.0
2025-01-12,27850.0,28600.0,27000.0,28100.0,4666173003050,166094478,198946,27800.0,28600.0
2025-01-13,28900.0,28900.0,28900.0,28750.0,15453032300,534707,2795,28100.0,28900.0
2025-01-19,29600.0,29600.0,29600.0,29600.0,72495491200,2449172,9674,28750.0,29600.0
2025-01-20,30450.0,30450.0,29950.0,30450.0,3469114000600,113973920,45625,29600.0,30450.0
2025-01-21,31350.0,31350.0,29650.0,31000.0,1538702551950,49652433,61285,30450.0,31350.0
2025-01-22,31850.0,31900.0,31500.0,31900.0,778553035450,24419119,19990,31000.0,31900.0
2025-01-25,32850.0,32850.0,30950.0,31800.0,1251296072850,39338019,66802,31900.0,31600.0
2025-01-26,31500.0,31850.0,30850.0,31000.0,1192461447400,38464840,43138,31800.0,31100.0
2025-01-27,31450.0,31900.0,31450.0,31900.0,876365227150,27481528,11536,31000.0,31900.0
2025-01-29,32850.0,32850.0,32850.0,32850.0,456338074500,13891570,4911,31900.0,32850.0
2025-02-01,33800.0,33800.0,32900.0,33700.0,1548738266450,45930157,14807,32850.0,33800.0
2025-02-09,36000.0,36000.0,36000.0,36000.0,159509736000,4430826,984,33700.0,36000.0
2025-02-11,37050.0,37050.0,34950.0,35850.0,1122573338350,31318733,11786,36000.0,34950.0
2025-02-15,34800.0,34800.0,34800.0,34800.0,45052080000,1294600,199,35850.0,34800.0
2025-02-16,33800.0,33800.0,33800.0,33800.0,133534505000,3950725,464,34800.0,33800.0
2025-02-17,33100.0,34250.0,32800.0,33050.0,1260776663400,38170788,21546,33800.0,33300.0
2025-02-18,33100.0,33800.0,32500.0,33100.0,289987717200,8755831,10986,33050.0,32900.0
2025-02-19,33100.0,33500.0,32150.0,32450.0,417305168900,12851328,8701,33100.0,32150.0
2025-02-22,31900.0,32350.0,31500.0,31550.0,399216758950,12661118,6656,32450.0,31500.0
2025-02-23,31500.0,32450.0,31200.0,32000.0,371721339150,11618087,9271,31550.0,32450.0
2025-02-24,32950.0,32950.0,32500.0,32950.0,321283024400,9751395,5374,32000.0,32950.0
2025-02-25,32950.0,33300.0,32000.0,32150.0,809343147650,25173262,14994,32950.0,32000.0
2025-02-26,31450.0,32400.0,31200.0,31500.0,461551028100,14663015,14397,32150.0,31950.0
2025-03-01,32000.0,32400.0,31400.0,32200.0,204001535900,6337010,4803,31500.0,32300.0
2025-03-02,32250.0,32400.0,31250.0,31400.0,293128822850,9328415,5032,32200.0,31250.0
2025-03-03,30500.0,30500.0,30500.0,30500.0,52878917500,1733735,306,31400.0,30500.0
2025-03-04,29650.0,31150.0,29600.0,29850.0,303176050850,10155306,2849,30500.0,29600.0
2025-03-05,29000.0,29000.0,29000.0,29000.0,89208959000,3076171,517,29850.0,29000.0
2025-03-08,28300.0,29750.0,28150.0,28250.0,365159048950,12936939,3980,29000.0,28150.0
2025-03-09,27500.0,28050.0,27450.0,27500.0,256948104250,9351874,3585,28250.0,27450.0
2025-03-10,27550.0,28300.0,27450.0,28100.0,152323842500,5423811,5783,27500.0,28300.0
2025-03-11,28700.0,28900.0,27600.0,28350.0,101117158650,3566261,3979,28100.0,28150.0
2025-03-12,28100.0,28950.0,27850.0,28550.0,58182754300,2038512,2660,28350.0,28200.0
2025-03-15,29050.0,29400.0,28600.0,29400.0,174621060450,5940466,2504,28550.0,29400.0
2025-03-16,29900.0,29900.0,28550.0,28800.0,153022908950,5311582,3754,29400.0,28550.0
2025-03-17,28500.0,28500.0,27950.0,28000.0,132136050650,4719060,3271,28800.0,27950.0
2025-03-18,27200.0,27800.0,27200.0,27200.0,316675384650,11637089,2971,28000.0,27400.0
2025-03-25,27900.0,28000.0,27200.0,28000.0,85208360750,3045745,1704,27200.0,28000.0
2025-03-26,28650.0,28650.0,28000.0,28250.0,69537065800,2462876,2087,28000.0,28550.0
2025-03-29,28250.0,29000.0,28250.0,28600.0,64202309900,2243833,2170,28250.0,28600.0
2025-03-30,28700.0,29450.0,28550.0,29200.0,113407814200,3881876,2423,28600.0,29450.0
2025-04-05,29250.0,30000.0,29050.0,29450.0,85907989200,2917672,2197,29200.0,29350.0
2025-04-06,30100.0,30300.0,29800.0,30250.0,229539287400,7581969,2374,29450.0,30300.0
2025-04-07,31000.0,31000.0,29550.0,30000.0,115741215800,3857659,2327,30250.0,29550.0
2025-04-08,30800.0,30900.0,30300.0,30900.0,202624977400,6560345,1908,30000.0,30900.0
2025-04-09,31000.0,31300.0,30000.0,30150.0,148224111350,4919809,903,30900.0,30000.0
2025-04-12,29250.0,30050.0,29250.0,29350.0,222951694050,7599510,2360,30150.0,29250.0
2025-04-13,30200.0,30200.0,30100.0,30200.0,318903817300,10560020,11036,29350.0,30200.0
2025-04-14,30900.0,30900.0,29300.0,29650.0,280185791800,9452963,5071,30200.0,29400.0
2025-04-15,29200.0,29700.0,28900.0,29200.0,181988536300,6227639,2720,29650.0,29600.0
2025-04-16,30050.0,30050.0,30050.0,30050.0,57331884150,1907883,797,29200.0,30050.0
2025-04-19,30900.0,30950.0,30450.0,30900.0,284175360850,9197527,3073,30050.0,30900.0
2025-04-20,31250.0,31800.0,31250.0,31800.0,116116413450,3652249,1178,30900.0,31800.0
2025-04-21,32750.0,32750.0,31000.0,32200.0,416316455300,12926101,3869,31800.0,31800.0
2025-04-22,31250.0,31800.0,31250.0,31250.0,216336843650,6917425,1959,32200.0,31250.0
2025-04-23,30350.0,31400.0,30350.0,30550.0,363869902400,11903909,3476,31250.0,31400.0
2025-04-26,31400.0,31450.0,30900.0,31450.0,316302154350,10062190,2830,30550.0,31450.0
2025-04-27,30750.0,32350.0,30600.0,32200.0,483081462400,15012804,3260,31450.0,32300.0
2025-04-28,32900.0,33000.0,31250.0,31800.0,416174395600,13097189,3592,32200.0,31850.0
2025-04-29,32600.0,32750.0,32000.0,32700.0,221953083650,6792442,1402,31800.0,32750.0
2025-04-30,33650.0,33650.0,33650.0,33650.0,160122145350,4758459,1052,32700.0,33650.0
2025-05-03,32650.0,34650.0,32650.0,33700.0,481242630350,14283962,3364,33650.0,33900.0
2025-05-04,34550.0,34700.0,33800.0,34600.0,398342553800,11518814,2827,33700.0,34700.0
2025-05-05,35200.0,35400.0,33700.0,34600.0,409351015350,11836584,3431,34600.0,34750.0
2025-05-06,34600.0,35600.0,34600.0,35600.0,295235450300,8297860,1410,34600.0,35600.0
