date,open,high,low,adjClose,value,volume,count,yesterday,close
2025-04-22,10000.0,10000.0,10000.0,10000.0,9900000000000,990000000,5091,10000.0,10000.0
2025-04-30,10600.0,10870.0,10311.0,10621.0,2801988396717,263812632,8075,10000.0,10750.0
2025-05-03,10303.0,10303.0,10303.0,10303.0,110985389329,10772143,843,10621.0,10303.0
2025-05-04,9994.0,10100.0,9994.0,10002.0,734346979908,73417810,2844,10303.0,9994.0
2025-05-05,10043.0,10205.0,9702.0,9880.0,1041545000798,105420340,6145,10002.0,9703.0
2025-05-06,9840.0,10044.0,9605.0,9892.0,681692510108,68910606,3791,9880.0,10002.0
2025-05-07,10174.0,10188.0,10020.0,10159.0,1015716254792,99978593,3238,9892.0,10179.0
2025-05-10,9921.0,10000.0,9855.0,9861.0,188687710476,19134804,1135,10159.0,9855.0
2025-05-11,9584.0,9687.0,9566.0,9580.0,249027777787,25995348,1860,9861.0,9566.0
2025-05-12,9867.0,9867.0,9867.0,9867.0,38541251892,3906076,123,9580.0,9867.0
2025-05-13,10163.0,10163.0,9977.0,10051.0,441460691119,43920832,2227,9867.0,10020.0
2025-05-14,9999.0,10180.0,9880.0,10033.0,583980286575,58203331,2945,10051.0,10018.0
2025-05-17,10090.0,10233.0,9810.0,10004.0,469276811579,46910834,3092,10033.0,9921.0
2025-05-18,9910.0,10101.0,9900.0,10006.0,428068961870,42779930,2812,10004.0,10087.0
2025-05-19,9957.0,9957.0,9706.0,9759.0,310434369471,31809800,2333,10006.0,9706.0
2025-05-20,9737.0,9737.0,9467.0,9531.0,492326657606,51657614,2337,9759.0,9467.0
2025-05-21,9300.0,9330.0,9246.0,9258.0,206500516095,22304066,1698,9531.0,9270.0
2025-05-24,9534.0,9534.0,9310.0,9431.0,144107639724,15280029,1316,9258.0,9443.0
2025-05-25,9272.0,9328.0,9149.0,9179.0,66345059292,7228252,903,9431.0,9149.0
2025-05-26,9170.0,9337.0,8940.0,9159.0,304210924284,33214144,1961,9179.0,9291.0
2025-05-27,9343.0,9420.0,9170.0,9276.0,185794302818,20028595,1383,9159.0,9204.0
2025-05-28,9279.0,9308.0,9150.0,9204.0,137209542649,14907558,1293,9276.0,9170.0
2025-05-31,9200.0,9370.0,9131.0,9227.0,70139370428,7601548,832,9204.0,9176.0
2025-06-01,9130.0,9236.0,8951.0,8968.0,111690589983,12454394,1423,9227.0,8975.0
2025-06-02,9000.0,9145.0,8945.0,9045.0,203057969540,22450911,1538,8968.0,8957.0
2025-06-03,8900.0,9070.0,8775.0,8987.0,172327773703,19175145,813,9045.0,8988.0
2025-06-07,8800.0,8900.0,8718.0,8733.0,47379194008,5425372,765,8987.0,8718.0
2025-06-08,8520.0,8732.0,8520.0,8656.0,78825250854,9106698,1051,8733.0,8619.0
2025-06-09,8683.0,8683.0,8397.0,8416.0,83910832137,9970471,1041,8656.0,8397.0
2025-06-10,8450.0,8490.0,8240.0,8341.0,186115070911,22313858,1571,8416.0,8341.0
2025-06-11,8385.0,8390.0,8172.0,8270.0,383883078628,46419311,1806,8341.0,8190.0
2025-06-28,8022.0,8022.0,8022.0,8022.0,817185096,101868,65,8270.0,8022.0
2025-06-29,7782.0,7782.0,7782.0,7782.0,626847882,80551,67,8022.0,7782.0
2025-06-30,7549.0,7549.0,7549.0,7549.0,2505799962,331938,71,7782.0,7549.0
2025-07-01,7323.0,7323.0,7323.0,7323.0,5449637463,744181,74,7549.0,7323.0
2025-07-02,7104.0,7104.0,7104.0,7104.0,88993974720,12527305,392,7323.0,7104.0
2025-07-07,6921.0,7290.0,6891.0,6966.0,120196823703,17254412,1044,7104.0,6891.0
2025-07-08,6701.0,6891.0,6688.0,6700.0,50980618619,7609270,460,6966.0,6688.0
2025-07-09,6432.0,6432.0,6432.0,6432.0,9651338208,1500519,226,6700.0,6432.0
2025-07-12,6360.0,6684.0,6237.0,6433.0,228882437293,35578224,2743,6432.0,6286.0
2025-07-13,6230.0,6320.0,6176.0,6190.0,122789873341,19835940,1417,6433.0,6201.0
2025-07-14,6170.0,6300.0,5984.0,6092.0,122726853375,20145810,2342,6190.0,6101.0
2025-07-15,6060.0,6184.0,6055.0,6121.0,42961740514,7018561,875,6092.0,6119.0
2025-07-16,6190.0,6365.0,6120.0,6301.0,83932832487,13319857,959,6121.0,6365.0
2025-07-19,6543.0,6553.0,6400.0,6501.0,122034045989,18771064,1216,6301.0,6510.0
2025-07-20,6499.0,6527.0,6339.0,6397.0,70629529711,11041205,1122,6501.0,6351.0
2025-07-21,6389.0,6652.0,6291.0,6602.0,153760171669,23291254,947,6397.0,6652.0
2025-07-22,6689.0,6773.0,6390.0,6607.0,150954990936,22847117,1813,6602.0,6390.0
2025-07-23,6479.0,6480.0,6343.0,6346.0,99285248263,15644851,865,6607.0,6343.0
2025-07-26,6490.0,6599.0,6351.0,6497.0,94047749521,14476275,1351,6346.0,6367.0
2025-07-27,6416.0,6416.0,6238.0,6258.0,50127384618,8009747,602,6497.0,6238.0
2025-07-28,6031.0,6239.0,6008.0,6010.0,69985710590,11644612,470,6258.0,6008.0
2025-07-29,5771.0,5782.0,5770.0,5771.0,17170340574,2975452,268,6010.0,5770.0
2025-07-30,5541.0,5603.0,5541.0,5545.0,139404609530,25142502,1381,5771.0,5555.0
2025-08-02,5400.0,5544.0,5324.0,5344.0,78258702174,14643259,1255,5545.0,5324.0
2025-08-03,5250.0,5500.0,5250.0,5348.0,85563827681,15998332,1224,5344.0,5369.0
2025-08-04,5410.0,5561.0,5273.0,5490.0,170398801055,31040073,1161,5348.0,5561.0
2025-08-05,5610.0,5670.0,5271.0,5395.0,85218000780,15794858,1043,5490.0,5271.0
2025-08-06,5271.0,5340.0,5180.0,5246.0,52619624878,10030365,987,5395.0,5280.0
2025-08-09,5300.0,5455.0,5300.0,5448.0,122133525900,22419724,678,5246.0,5455.0
2025-08-10,5448.0,5510.0,5231.0,5293.0,101684154036,19212860,1457,5448.0,5259.0
2025-08-11,5260.0,5328.0,5082.0,5140.0,46550420022,9057229,1036,5293.0,5099.0
2025-08-12,5158.0,5196.0,4935.0,4950.0,63573511121,12842494,799,5140.0,4935.0
2025-08-13,4900.0,4900.0,4752.0,4754.0,15245052941,3206989,292,4950.0,4752.0
2025-08-16,4564.0,4800.0,4564.0,4627.0,78006584121,16859371,1347,4754.0,4677.0
2025-08-17,4762.0,4812.0,4760.0,4804.0,20716002513,4312008,208,4627.0,4812.0
2025-08-18,4996.0,4996.0,4816.0,4945.0,127454329699,25775184,1272,4804.0,4884.0
2025-08-19,4800.0,4893.0,4756.0,4813.0,48830143179,10144576,853,4945.0,4823.0
2025-08-20,4795.0,4795.0,4634.0,4670.0,15653804694,3352178,510,4813.0,4710.0
2025-08-23,4641.0,4794.0,4573.0,4711.0,31239393883,6631238,465,4670.0,4718.0
2025-08-25,4702.0,4764.0,4523.0,4553.0,37702556593,8281492,692,4711.0,4523.0
2025-08-26,4421.0,4697.0,4371.0,4534.0,58576602592,12919304,1100,4553.0,4619.0
2025-08-27,4590.0,4713.0,4421.0,4638.0,44477930346,9589656,755,4534.0,4566.0
2025-08-30,4463.0,4690.0,4453.0,4540.0,72992998080,16077108,1058,4638.0,4600.0
2025-08-31,4680.0,4721.0,4630.0,4718.0,112846123490,23917332,485,4540.0,4721.0
2025-09-02,4799.0,4906.0,4750.0,4893.0,111634955436,22813100,364,4718.0,4906.0
2025-09-03,5088.0,5088.0,5020.0,5077.0,165776724607,32650049,784,4893.0,5088.0
2025-09-06,5100.0,5232.0,4892.0,5082.0,160588989401,31596745,1665,5077.0,4970.0
2025-09-07,4967.0,5285.0,4950.0,5200.0,217560941547,41836611,1124,5082.0,5285.0
2025-09-08,5310.0,5408.0,5300.0,5390.0,55308708581,10260990,307,5200.0,5408.0
2025-09-09,5605.0,5605.0,5344.0,5544.0,299709204397,54056947,1755,5390.0,5600.0
2025-09-13,5550.0,5709.0,5345.0,5558.0,105617287708,19001250,963,5544.0,5593.0
2025-09-14,5644.0,5780.0,5644.0,5763.0,65523780778,11370691,384,5558.0,5780.0
2025-09-15,5993.0,5993.0,5645.0,5910.0,293341722770,49634924,1813,5763.0,5764.0
2025-09-16,5765.0,5765.0,5674.0,5689.0,61405107781,10794585,447,5910.0,5674.0
2025-09-17,5462.0,5630.0,5462.0,5463.0,107579441551,19690635,595,5689.0,5462.0
2025-09-20,5245.0,5245.0,5245.0,5245.0,380734550,72590,52,5463.0,5245.0
2025-09-21,5036.0,5036.0,5036.0,5036.0,19039514552,3780682,146,5245.0,5036.0
2025-09-22,5130.0,5237.0,5130.0,5228.0,200603687735,38367754,768,5036.0,5237.0
2025-09-23,5170.0,5261.0,5019.0,5100.0,104981053687,20585705,925,5228.0,5019.0
2025-09-24,4896.0,5101.0,4896.0,4952.0,166356164287,33592907,1339,5100.0,5025.0
2025-09-27,5000.0,5150.0,5000.0,5140.0,36103427940,7024683,147,4952.0,5150.0
2025-09-28,5345.0,5345.0,5345.0,5345.0,12328627340,2306572,67,5140.0,5345.0
2025-09-29,5558.0,5558.0,5558.0,5558.0,3549622258,638651,68,5345.0,5558.0
2025-09-30,5780.0,5780.0,5567.0,5777.0,425346020371,73624511,1125,5558.0,5780.0
2025-10-01,5622.0,6008.0,5546.0,5916.0,293044034790,49530048,1705,5777.0,6000.0
2025-10-04,6152.0,6152.0,6152.0,6152.0,2025705952,329276,52,5916.0,6152.0
2025-10-05,6398.0,6398.0,6398.0,6398.0,11284133406,1763697,92,6152.0,6398.0
2025-10-06,6653.0,6653.0,6512.0,6642.0,389161804113,58594242,950,6398.0,6653.0
2025-10-07,6889.0,6907.0,6658.0,6875.0,67844712904,9868641,317,6642.0,6907.0
2025-10-08,7150.0,7150.0,6924.0,7134.0,494308764806,69285611,2015,6875.0,7145.0
2025-10-11,7383.0,7419.0,7250.0,7383.0,796298147064,107853781,2480,7134.0,7419.0
2025-10-12,7482.0,7678.0,7400.0,7613.0,964371310478,126676453,2716,7383.0,7678.0
