date,open,high,low,adjClose,value,volume,count,yesterday,close
2025-03-04,10000.0,10000.0,10000.0,10000.0,1724343420000,172434342,3564,10000.0,10000.0
2025-03-05,10000.0,10000.0,10000.0,10000.0,344917190000,34491719,386,10000.0,10000.0
2025-03-08,10000.0,10000.0,10000.0,10000.0,1004681540000,100468154,248,10000.0,10000.0
2025-03-30,10040.0,10341.0,10040.0,10078.0,24715298117,2452301,159,10000.0,10341.0
2025-04-05,10075.0,10075.0,10000.0,10042.0,8017870168,798394,166,10078.0,10020.0
2025-04-06,10020.0,10021.0,10000.0,10000.0,29847679082,2984737,95,10042.0,10000.0
2025-04-07,10000.0,10100.0,10000.0,10057.0,14266290660,1418496,61,10000.0,10060.0
2025-04-08,10060.0,10120.0,10060.0,10073.0,4003796818,397482,83,10057.0,10081.0
2025-04-09,10090.0,10125.0,10090.0,10109.0,11157482150,1103673,67,10073.0,10090.0
2025-04-12,10090.0,10100.0,10070.0,10090.0,21816972850,2162260,60,10109.0,10070.0
2025-04-13,10150.0,10349.0,10150.0,10215.0,447114500,43770,59,10090.0,10195.0
2025-04-14,10166.0,10250.0,10166.0,10206.0,422561169,41402,95,10215.0,10185.0
2025-04-15,10200.0,10200.0,10150.0,10150.0,19588380125,1929889,52,10206.0,10150.0
2025-04-16,10180.0,10300.0,10180.0,10284.0,10665919435,1037094,47,10150.0,10270.0
2025-04-19,10320.0,10470.0,10320.0,10331.0,23476393470,2272358,75,10284.0,10340.0
2025-04-20,10590.0,10640.0,10451.0,10623.0,4417807215,415879,104,10331.0,10640.0
2025-04-21,10623.0,10790.0,10570.0,10632.0,65780641365,6187271,78,10623.0,10570.0
2025-04-22,10340.0,10649.0,10340.0,10521.0,53789456275,5112400,58,10632.0,10520.0
2025-04-23,10550.0,10700.0,10500.0,10543.0,43950649848,4168833,70,10521.0,10600.0
2025-04-26,10700.0,10859.0,10670.0,10813.0,110385897135,10209040,38,10543.0,10859.0
2025-04-27,10570.0,10790.0,10550.0,10639.0,304048590,28580,36,10813.0,10700.0
2025-04-28,10800.0,10802.0,10700.0,10773.0,381106790,35375,43,10639.0,10700.0
2025-04-29,10700.0,11050.0,10700.0,10918.0,674747364,61801,35,10773.0,10866.0
2025-04-30,11243.0,11245.0,11000.0,11143.0,1136713804,102011,35,10918.0,11151.0
2025-05-03,10809.0,11000.0,10809.0,10893.0,719603795,66061,31,11143.0,10900.0
2025-05-04,10850.0,11054.0,10850.0,10895.0,10500387506,963796,36,10893.0,11050.0
2025-05-05,11190.0,11221.0,11150.0,11220.0,10635078218,947888,36,10895.0,11221.0
2025-05-06,11477.0,11530.0,11312.0,11516.0,912057168,79202,32,11220.0,11530.0
2025-05-07,11556.0,11800.0,11551.0,11619.0,609638806,52468,40,11516.0,11560.0
2025-05-10,11271.0,11610.0,11271.0,11495.0,2663537465,231720,30,11619.0,11500.0
2025-05-11,11360.0,11460.0,11250.0,11350.0,343544470,30267,33,11495.0,11250.0
2025-05-12,11690.0,11690.0,11600.0,11668.0,24261023099,2079215,74,11350.0,11690.0
2025-05-13,11320.0,11850.0,11320.0,11629.0,2166281545,186288,24,11668.0,11559.0
2025-05-14,11550.0,11880.0,11550.0,11685.0,1199020102,102615,25,11629.0,11700.0
2025-05-17,11800.0,11800.0,11650.0,11652.0,5890423000,505550,9,11685.0,11650.0
2025-05-18,12000.0,12000.0,11750.0,11752.0,11814889550,1005368,21,11652.0,11780.0
2025-05-19,11800.0,11900.0,11700.0,11814.0,814250145,68924,32,11752.0,11720.0
2025-05-20,11600.0,11620.0,11460.0,11505.0,10070454200,875282,37,11814.0,11460.0
2025-05-21,11160.0,11550.0,11160.0,11543.0,53789411725,4660043,33,11505.0,11410.0
2025-05-24,11530.0,11820.0,11530.0,11617.0,63078830,5430,22,11543.0,11530.0
2025-05-25,11500.0,11740.0,11470.0,11516.0,115587160,10037,14,11617.0,11470.0
2025-05-26,11172.0,11700.0,11172.0,11493.0,116690600,10153,22,11516.0,11450.0
2025-05-27,11550.0,11550.0,11550.0,11550.0,788125800,68236,11,11493.0,11550.0
2025-05-28,11826.0,11880.0,11700.0,11741.0,459699286,39152,20,11550.0,11700.0
2025-05-31,12093.0,12093.0,11850.0,11883.0,977833165,82288,19,11741.0,11850.0
2025-06-01,11650.0,11660.0,11600.0,11625.0,540204350,46470,9,11883.0,11600.0
2025-06-02,11700.0,11900.0,11650.0,11789.0,34329398,2912,13,11625.0,11650.0
2025-06-03,11450.0,11679.0,11436.0,11447.0,6310483957,551278,24,11789.0,11677.0
2025-06-07,11150.0,11150.0,11150.0,11150.0,42760250,3835,6,11447.0,11150.0
2025-06-08,11000.0,11240.0,11000.0,11195.0,73955043,6606,12,11150.0,11200.0
2025-06-09,11100.0,11100.0,10900.0,10951.0,67621000,6175,10,11195.0,10900.0
2025-06-10,10900.0,10910.0,10900.0,10910.0,2421970,222,5,10951.0,10910.0
2025-06-11,11237.0,11237.0,10930.0,11039.0,184808740,16742,7,10910.0,10930.0
2025-06-28,10708.0,10708.0,10708.0,10708.0,25312576952,2363894,32,11039.0,10708.0
2025-06-29,10387.0,10410.0,10387.0,10387.0,1150770332,110789,12,10708.0,10410.0
2025-06-30,10076.0,10076.0,10076.0,10076.0,185811516,18441,11,10387.0,10076.0
2025-07-01,10000.0,10001.0,10000.0,10001.0,10161001,1016,4,10076.0,10001.0
2025-07-02,10010.0,10026.0,9800.0,10000.0,1570741826,157069,31,10001.0,9870.0
2025-07-07,9701.0,10100.0,9701.0,10028.0,48182255,4805,8,10000.0,9930.0
2025-07-08,9800.0,9800.0,9730.0,9798.0,51539250,5260,9,10028.0,9730.0
2025-07-09,9510.0,9550.0,9510.0,9520.0,47617139018,5001796,31,9798.0,9540.0
2025-07-12,9240.0,9652.0,9240.0,9615.0,14921468631,1551815,19,9520.0,9650.0
2025-07-13,9600.0,9800.0,9600.0,9757.0,95523250,9790,15,9615.0,9800.0
2025-07-14,9710.0,9710.0,9700.0,9700.0,263897150,27205,13,9757.0,9701.0
2025-07-15,9900.0,9900.0,9650.0,9664.0,247440024,25604,24,9700.0,9650.0
2025-07-16,9600.0,9818.0,9600.0,9793.0,6120585,625,13,9664.0,9681.0
2025-07-19,9800.0,10031.0,9800.0,9978.0,2155146,216,3,9793.0,10031.0
2025-07-20,9950.0,9952.0,9950.0,9951.0,15275300,1535,5,9978.0,9952.0
2025-07-21,10199.0,10200.0,10000.0,10100.0,10107314100,1000727,15,9951.0,10001.0
2025-07-22,10200.0,10250.0,10150.0,10200.0,15312028925,1501180,6,10100.0,10155.0
2025-07-23,10150.0,10220.0,10150.0,10209.0,13935250,1365,6,10200.0,10150.0
2025-07-26,10100.0,10250.0,10100.0,10242.0,5413052500,528520,11,10209.0,10100.0
2025-07-27,10110.0,10300.0,10110.0,10246.0,10602515920,1034780,11,10242.0,10150.0
2025-07-28,9941.0,10000.0,9941.0,10000.0,28149705,2815,5,10246.0,10000.0
2025-07-29,9900.0,9900.0,9900.0,9900.0,48272400,4876,5,10000.0,9900.0
2025-07-30,9700.0,10040.0,9700.0,10006.0,6053500,605,3,9900.0,10040.0
2025-08-02,9800.0,9840.0,9800.0,9840.0,202880920,20618,8,10006.0,9840.0
2025-08-03,9800.0,9801.0,9800.0,9801.0,392030,40,8,9840.0,9801.0
2025-08-04,9750.0,9801.0,9750.0,9750.0,9714640350,996363,7,9801.0,9800.0
