date,open,high,low,adjClose,value,volume,count,yesterday,close
2024-12-17,10000.0,10000.0,10000.0,10000.0,1212541310000,121254131,565,10000.0,10000.0
2024-12-18,10000.0,10000.0,10000.0,10000.0,334690000000,33469000,260,10000.0,10000.0
2024-12-21,10000.0,10000.0,10000.0,10000.0,1413616200000,141361620,429,10000.0,10000.0
2025-01-15,10230.0,10300.0,10150.0,10230.0,23297722630,2278418,215,10000.0,10200.0
2025-01-18,10200.0,10320.0,10130.0,10250.0,12453102760,1215011,150,10230.0,10230.0
2025-01-19,10300.0,10320.0,10100.0,10130.0,52400885210,5171750,160,10250.0,10120.0
2025-01-20,10120.0,10150.0,10030.0,10100.0,94977013370,9404726,121,10130.0,10030.0
2025-01-21,10030.0,10100.0,10020.0,10030.0,16440609610,1638584,99,10100.0,10030.0
2025-01-22,10100.0,10230.0,10100.0,10140.0,9340843350,921093,64,10030.0,10230.0
2025-01-25,10340.0,10340.0,10130.0,10160.0,15724574620,1548354,54,10140.0,10130.0
2025-01-26,10140.0,10150.0,10100.0,10120.0,26851233290,2652126,50,10160.0,10100.0
2025-01-27,10080.0,10190.0,10080.0,10100.0,1143148550,113185,46,10120.0,10100.0
2025-01-29,10120.0,10170.0,10100.0,10100.0,36134727990,3577194,32,10100.0,10110.0
2025-02-01,10290.0,10290.0,10080.0,10080.0,19249109360,1909520,39,10100.0,10110.0
2025-02-02,10100.0,10150.0,10090.0,10100.0,40212815340,3981340,33,10080.0,10090.0
2025-02-03,10130.0,10270.0,10080.0,10080.0,20381146070,2021874,20,10100.0,10150.0
2025-02-04,10270.0,10320.0,10140.0,10180.0,42328476010,4158459,38,10080.0,10140.0
2025-02-05,10180.0,10290.0,10130.0,10150.0,135222366180,13318818,61,10180.0,10140.0
2025-02-09,10150.0,10160.0,10060.0,10100.0,72215625410,7152204,39,10150.0,10130.0
2025-02-11,10090.0,10090.0,10000.0,10000.0,41409215670,4140885,51,10100.0,10000.0
2025-02-15,10000.0,10000.0,9900.0,9900.0,40975545630,4137907,29,10000.0,9910.0
2025-02-16,9900.0,9910.0,9900.0,9900.0,823713840,83200,11,9900.0,9900.0
2025-02-17,10050.0,10050.0,10000.0,10050.0,524082930,52153,12,9900.0,10000.0
2025-02-18,10030.0,10030.0,9900.0,9900.0,357289400,36088,7,10050.0,9900.0
2025-02-19,9900.0,10000.0,9900.0,9910.0,11413006300,1151817,9,9900.0,9990.0
2025-02-22,9890.0,9890.0,9700.0,9710.0,3287236770,338588,54,9910.0,9700.0
2025-02-23,9700.0,9870.0,9700.0,9700.0,2495968700,257243,14,9710.0,9720.0
2025-02-24,9700.0,9880.0,9700.0,9740.0,1249547420,128261,16,9700.0,9780.0
2025-02-25,9830.0,9890.0,9830.0,9890.0,374023330,37835,12,9740.0,9840.0
2025-02-26,9680.0,9680.0,9670.0,9670.0,942448350,97413,27,9890.0,9670.0
2025-03-01,9700.0,9710.0,9700.0,9700.0,43321250,4466,7,9670.0,9700.0
2025-03-02,9700.0,9710.0,9700.0,9710.0,284599810,29311,5,9700.0,9710.0
2025-03-03,9500.0,9570.0,9460.0,9460.0,1819575930,192323,11,9710.0,9570.0
2025-03-04,9520.0,9610.0,9410.0,9450.0,1654033940,175038,12,9460.0,9570.0
2025-03-05,9330.0,9480.0,9330.0,9330.0,116081700,12440,7,9450.0,9330.0
2025-03-08,9340.0,9340.0,9210.0,9230.0,537433700,58250,16,9330.0,9210.0
2025-03-09,9210.0,9210.0,9040.0,9110.0,8292885420,910703,25,9230.0,9100.0
2025-03-10,9070.0,9080.0,9030.0,9050.0,286839260,31699,14,9110.0,9030.0
2025-03-11,9010.0,9020.0,9010.0,9010.0,865277330,96033,5,9050.0,9010.0
2025-03-12,9010.0,9020.0,9010.0,9020.0,352259680,39068,6,9010.0,9020.0
2025-03-15,9180.0,9180.0,9100.0,9180.0,9475178600,1032332,7,9020.0,9130.0
2025-03-16,9040.0,9130.0,9030.0,9030.0,9152592000,1013500,8,9180.0,9070.0
2025-03-17,9060.0,9100.0,9020.0,9070.0,298676900,32930,9,9030.0,9020.0
2025-03-18,8960.0,9060.0,8900.0,8920.0,320002520,35887,13,9070.0,8900.0
