date,open,high,low,adjClose,value,volume,count,yesterday,close
2013-09-15,10000.0,10000.0,10000.0,10000.0,36318220000,3631822,148,10000.0,10000.0
2013-09-16,10000.0,10000.0,10000.0,10000.0,6986930000,698693,107,10000.0,10000.0
2013-09-17,10000.0,10000.0,10000.0,10000.0,7153900000,715390,111,10000.0,10000.0
2013-09-18,10000.0,10000.0,10000.0,10000.0,41590800000,4159080,261,10000.0,10000.0
2013-10-29,10407.0,10409.0,10291.0,10401.0,4708497284,452707,154,10000.0,10400.0
2013-10-30,10565.0,10950.0,10430.0,10533.0,3930795414,373199,105,10401.0,10520.0
2013-11-02,10513.0,10550.0,10440.0,10499.0,1936438757,184444,61,10533.0,10480.0
2013-11-03,10499.0,10540.0,10484.0,10531.0,4514861782,428733,96,10499.0,10484.0
2013-11-04,10501.0,10501.0,10430.0,10467.0,662042487,63248,30,10531.0,10449.0
2013-11-05,10460.0,10547.0,10460.0,10509.0,459088663,43685,25,10467.0,10500.0
2013-11-06,10500.0,10752.0,10480.0,10745.0,1639035300,152545,45,10509.0,10750.0
2013-11-09,10909.0,11180.0,10701.0,10966.0,2303849900,210090,78,10745.0,10900.0
2013-11-10,10900.0,11000.0,10900.0,10931.0,5395186095,493579,87,10966.0,10900.0
2013-11-11,10950.0,11000.0,10900.0,10930.0,1815798920,166135,41,10931.0,10910.0
2013-11-12,10900.0,11200.0,10861.0,10941.0,630157639,57598,21,10930.0,11000.0
2013-11-16,11030.0,11139.0,11000.0,11079.0,635276306,57341,40,10941.0,11000.0
2013-11-17,11150.0,11370.0,10924.0,11032.0,1194706898,108292,46,11079.0,11370.0
2013-11-18,11101.0,11124.0,10870.0,11007.0,402488294,36565,21,11032.0,11124.0
2013-11-19,11008.0,11267.0,11008.0,11231.0,839046432,74710,36,11007.0,11242.0
2013-11-20,11250.0,11310.0,11051.0,11181.0,2036915480,182180,52,11231.0,11130.0
2013-11-23,11340.0,11450.0,11340.0,11435.0,4926334754,430795,103,11181.0,11406.0
2013-11-24,11650.0,11898.0,11620.0,11751.0,5589233755,475655,156,11435.0,11751.0
2013-11-25,11923.0,12338.0,11862.0,11978.0,8201276672,684699,219,11751.0,11862.0
2013-11-26,11900.0,11900.0,11800.0,11864.0,2712912932,228662,143,11978.0,11802.0
2013-11-27,11763.0,11900.0,11762.0,11847.0,1488589350,125646,49,11864.0,11890.0
2013-11-30,12000.0,12384.0,11950.0,12108.0,2557719522,211243,95,11847.0,12200.0
2013-12-01,12341.0,12500.0,12001.0,12292.0,2437585820,198310,106,12108.0,12001.0
2013-12-02,11987.0,12250.0,11850.0,12076.0,4179734288,346130,61,12292.0,12000.0
2013-12-03,12200.0,12230.0,11801.0,12041.0,1610612509,133763,77,12076.0,11900.0
2013-12-04,12020.0,12210.0,11999.0,12134.0,4046417848,333488,64,12041.0,12175.0
2013-12-07,11950.0,12210.0,11950.0,12173.0,1235283911,101474,50,12134.0,12134.0
2013-12-08,12070.0,12210.0,12070.0,12190.0,3589591250,294476,88,12173.0,12210.0
2013-12-09,12200.0,12500.0,12200.0,12313.0,2805292913,227826,78,12190.0,12500.0
2013-12-10,12650.0,12700.0,12550.0,12648.0,2680475580,211930,99,12313.0,12640.0
2013-12-11,12652.0,12980.0,12650.0,12855.0,2009502263,156324,96,12648.0,12980.0
2013-12-14,12900.0,13498.0,12700.0,13156.0,5513206887,419066,116,12855.0,13100.0
2013-12-15,13300.0,14500.0,13100.0,13389.0,10115583909,755518,257,13156.0,13380.0
2013-12-16,13444.0,13580.0,13382.0,13507.0,6487716196,480334,202,13389.0,13382.0
2013-12-17,13500.0,13500.0,13120.0,13300.0,3922117242,294906,129,13507.0,13220.0
2013-12-18,13250.0,13450.0,13200.0,13372.0,4720336544,353004,139,13300.0,13420.0
2013-12-21,13300.0,13300.0,13101.0,13188.0,3115377488,236235,99,13372.0,13160.0
2013-12-22,13011.0,13290.0,13011.0,13232.0,2586682964,195493,85,13188.0,13230.0
2013-12-24,13360.0,13500.0,13200.0,13442.0,4686006192,348603,104,13232.0,13400.0
2013-12-25,13450.0,13500.0,13350.0,13468.0,2960978377,219845,99,13442.0,13450.0
2013-12-28,13500.0,13800.0,13200.0,13338.0,4009798723,300624,90,13468.0,13390.0
2013-12-29,13430.0,13430.0,13130.0,13134.0,51684138330,3935062,118,13338.0,13130.0
