date,open,high,low,adjClose,value,volume,count,yesterday,close
2025-05-12,10000.0,10000.0,10000.0,10000.0,3400000000000,340000000,184,10000.0,10000.0
2025-07-12,10291.0,10296.0,10150.0,10291.0,28659450000,2785000,11,10000.0,10296.0
2025-07-13,10397.0,10397.0,10250.0,10254.0,35346226232,3446963,33,10291.0,10350.0
2025-07-14,10403.0,10403.0,10250.0,10255.0,23009597167,2243737,21,10254.0,10360.0
2025-07-15,10397.0,10397.0,10311.0,10324.0,183767127,17800,23,10255.0,10312.0
2025-07-16,10354.0,10678.0,10353.0,10503.0,11460132639,1091163,121,10324.0,10504.0
2025-07-19,10480.0,10550.0,10387.0,10502.0,2761731959,262964,64,10503.0,10468.0
2025-07-20,10468.0,10468.0,10350.0,10414.0,9779665924,939120,85,10502.0,10460.0
2025-07-21,10482.0,10881.0,10435.0,10575.0,9273235921,876870,86,10414.0,10581.0
2025-07-22,10554.0,10800.0,10510.0,10605.0,9346550811,881335,96,10575.0,10655.0
2025-07-23,10670.0,10670.0,10570.0,10617.0,571245868,53805,14,10605.0,10660.0
2025-07-26,10678.0,10912.0,10678.0,10739.0,8374409135,779780,33,10617.0,10722.0
2025-07-27,10750.0,10750.0,10641.0,10661.0,2012175833,188734,23,10739.0,10647.0
2025-07-28,10651.0,10700.0,10651.0,10668.0,1513144071,141839,20,10661.0,10651.0
2025-07-29,10661.0,10661.0,10351.0,10510.0,5099653704,485231,33,10668.0,10352.0
2025-07-30,10570.0,10675.0,10520.0,10526.0,19050605972,1809855,21,10510.0,10662.0
2025-08-02,10600.0,10706.0,10600.0,10703.0,402507900,37606,11,10526.0,10700.0
2025-08-03,10695.0,11024.0,10695.0,10892.0,5275204936,484312,22,10703.0,10825.0
2025-08-04,10706.0,10900.0,10703.0,10789.0,2786381464,258269,55,10892.0,10829.0
2025-08-05,10761.0,10810.0,10691.0,10711.0,1335080156,124645,20,10789.0,10712.0
2025-08-06,10720.0,10825.0,10720.0,10783.0,153367979,14223,30,10711.0,10720.0
2025-08-09,10733.0,10836.0,10730.0,10733.0,1582812401,147471,19,10783.0,10730.0
2025-08-10,10744.0,10744.0,10412.0,10421.0,96022608912,9214028,112,10733.0,10425.0
2025-08-11,10580.0,10580.0,10373.0,10419.0,135406817719,12996267,50,10421.0,10450.0
2025-08-12,10620.0,10620.0,10600.0,10612.0,2032244620,191512,31,10419.0,10620.0
2025-08-13,10770.0,10820.0,10770.0,10770.0,897473838,83328,20,10612.0,10771.0
2025-08-16,10728.0,10834.0,10728.0,10830.0,4125057306,380901,28,10770.0,10833.0
2025-08-17,10770.0,10830.0,10770.0,10810.0,5442225610,503463,69,10830.0,10830.0
2025-08-18,10863.0,10863.0,10742.0,10775.0,3596603143,333803,26,10810.0,10746.0
2025-08-19,10757.0,10800.0,10667.0,10731.0,3168678310,295283,28,10775.0,10671.0
2025-08-20,10766.0,10785.0,10766.0,10767.0,202152696,18776,13,10731.0,10766.0
2025-08-23,10767.0,10818.0,10765.0,10767.0,940081272,87310,11,10767.0,10766.0
2025-08-25,10791.0,10820.0,10791.0,10795.0,76688396,7104,17,10767.0,10800.0
2025-08-26,10810.0,10848.0,10806.0,10810.0,12204536,1129,6,10795.0,10810.0
2025-08-27,10817.0,10863.0,10817.0,10844.0,2283427766,210571,12,10810.0,10817.0
