date,open,high,low,adjClose,value,volume,count,yesterday,close
2011-10-16,1700.0,1700.0,1349.0,1355.0,690465500,509500,59,1000.0,1350.0
2011-10-17,1288.0,1372.0,1288.0,1371.0,662695040,483320,59,1355.0,1372.0
2011-10-18,1352.0,1352.0,1320.0,1336.0,10684256,8000,3,1371.0,1320.0
2011-10-19,1402.0,1402.0,1402.0,1402.0,14349470,10235,3,1336.0,1402.0
2011-10-22,1472.0,1472.0,1460.0,1472.0,135674008,92174,41,1402.0,1472.0
2011-10-23,1460.0,1520.0,1400.0,1438.0,12327750,8574,7,1472.0,1400.0
2011-10-26,1367.0,1367.0,1367.0,1367.0,136700,100,1,1438.0,1367.0
2011-10-29,1360.0,1360.0,1299.0,1337.0,32748500,24500,6,1367.0,1300.0
2011-11-02,1271.0,1271.0,1271.0,1271.0,8897000,7000,4,1337.0,1271.0
2011-11-05,1208.0,1208.0,1208.0,1208.0,52769064,43683,14,1271.0,1208.0
2011-11-06,1148.0,1148.0,1148.0,1148.0,12282452,10699,7,1208.0,1148.0
2011-11-08,1091.0,1091.0,1091.0,1091.0,20492253,18783,4,1148.0,1091.0
2011-11-09,1037.0,1081.0,1037.0,1057.0,70980034,67137,15,1091.0,1080.0
2011-11-13,1050.0,1050.0,1015.0,1033.0,36141680,35000,6,1057.0,1016.0
2011-11-14,1000.0,1040.0,1000.0,1028.0,22270000,21670,5,1033.0,1040.0
2011-11-16,1079.0,1079.0,1076.0,1078.0,31822215,29517,9,1028.0,1079.0
2011-11-19,1120.0,1131.0,1079.0,1128.0,83432808,73952,20,1078.0,1131.0
2011-11-20,1184.0,1184.0,1184.0,1184.0,21323840,18010,3,1128.0,1184.0
2011-11-21,1243.0,1243.0,1243.0,1243.0,6215000,5000,1,1184.0,1243.0
2011-11-22,1305.0,1305.0,1305.0,1305.0,85147335,65247,16,1243.0,1305.0
2011-11-23,1370.0,1370.0,1290.0,1362.0,629098900,461724,83,1305.0,1359.0
2011-11-26,1294.0,1294.0,1294.0,1294.0,11648588,9002,3,1362.0,1294.0
2011-11-27,1230.0,1294.0,1230.0,1247.0,251540340,201758,31,1294.0,1280.0
2011-11-28,1185.0,1185.0,1185.0,1185.0,118500,100,1,1247.0,1185.0
2011-11-29,1126.0,1220.0,1126.0,1131.0,157197750,139000,21,1185.0,1210.0
2011-11-30,1187.0,1187.0,1183.0,1185.0,21124975,17829,6,1131.0,1183.0
2011-12-03,1130.0,1130.0,1126.0,1127.0,87886360,78010,9,1185.0,1127.0
2011-12-04,1179.0,1179.0,1179.0,1179.0,5895000,5000,2,1127.0,1179.0
2011-12-07,1121.0,1121.0,1121.0,1121.0,50669200,45200,8,1179.0,1121.0
2011-12-10,1100.0,1100.0,1066.0,1070.0,13267900,12400,6,1121.0,1080.0
2011-12-11,1070.0,1090.0,1035.0,1053.0,24914500,23650,9,1070.0,1090.0
2011-12-12,1055.0,1105.0,1055.0,1100.0,25704829,23360,6,1053.0,1105.0
2011-12-13,1101.0,1101.0,1101.0,1101.0,1101000,1000,1,1100.0,1101.0
2011-12-14,1102.0,1103.0,1101.0,1102.0,41882000,38000,8,1101.0,1103.0
2011-12-17,1153.0,1157.0,1153.0,1156.0,125957795,108935,22,1102.0,1157.0
2011-12-18,1209.0,1209.0,1209.0,1209.0,193440,160,1,1156.0,1209.0
2011-12-21,1149.0,1149.0,1149.0,1149.0,114900,100,1,1209.0,1149.0
2011-12-25,1092.0,1092.0,1092.0,1092.0,1092000,1000,1,1149.0,1092.0
2011-12-26,1038.0,1092.0,1038.0,1044.0,306471290,293600,44,1092.0,1043.0
2011-12-27,1044.0,1050.0,1044.0,1046.0,78480000,75000,8,1044.0,1045.0
2011-12-28,1051.0,1075.0,1050.0,1055.0,50248310,47650,17,1046.0,1061.0
2011-12-31,1107.0,1107.0,1092.0,1107.0,17767200,16050,5,1055.0,1107.0
2012-01-01,1080.0,1080.0,1052.0,1060.0,60446000,57000,8,1107.0,1063.0
2012-01-02,1055.0,1055.0,1055.0,1055.0,10655500,10100,2,1060.0,1055.0
2012-01-03,1075.0,1107.0,1064.0,1085.0,52030290,47960,9,1055.0,1107.0
2012-01-04,1139.0,1139.0,1138.0,1139.0,6867170,6030,6,1085.0,1138.0
2012-01-09,1083.0,1083.0,1083.0,1083.0,1083000,1000,1,1139.0,1083.0
2012-01-10,1029.0,1114.0,1029.0,1031.0,23250200,22550,7,1083.0,1114.0
2012-01-11,1010.0,1056.0,1010.0,1049.0,12242660,11666,3,1031.0,1056.0
2012-01-15,1000.0,1010.0,1000.0,1004.0,35155000,35000,18,1049.0,1010.0
2012-01-16,1010.0,1020.0,1010.0,1020.0,90075740,88322,116,1004.0,1020.0
2012-01-17,1025.0,1065.0,1025.0,1055.0,279989390,265415,220,1020.0,1065.0
2012-01-25,1070.0,1070.0,1070.0,1070.0,3852000,3600,1,1055.0,1070.0
2012-01-28,1050.0,1050.0,1050.0,1050.0,24265500,23110,4,1070.0,1050.0
2012-01-31,1051.0,1051.0,1051.0,1051.0,15765000,15000,2,1050.0,1051.0
2012-02-05,1051.0,1051.0,1051.0,1051.0,52550,50,1,1051.0,1051.0
2012-02-06,1039.0,1040.0,1000.0,1037.0,32135050,31000,7,1051.0,1000.0
2012-02-07,1027.0,1040.0,1027.0,1028.0,71541630,69616,15,1037.0,1040.0
2012-02-12,1050.0,1050.0,1048.0,1049.0,10490000,10000,2,1028.0,1048.0
2012-02-13,1000.0,1000.0,1000.0,1000.0,44500000,44500,9,1049.0,1000.0
2012-02-14,1000.0,1000.0,1000.0,1000.0,30000000,30000,4,1000.0,1000.0
2012-02-20,1000.0,1000.0,1000.0,1000.0,20010000,20010,5,1000.0,1000.0
2012-02-21,999.0,1000.0,999.0,999.0,9992960,10000,2,1000.0,1000.0
2012-02-25,998.0,1000.0,998.0,999.0,49952880,50000,9,999.0,1000.0
2012-02-28,999.0,1000.0,999.0,1000.0,21603785000,21603800,9,999.0,1000.0
2012-02-29,1000.0,1000.0,1000.0,1000.0,21500000000,21500000,1,1000.0,1000.0
2012-03-03,1000.0,1000.0,1000.0,1000.0,16134500000,16134500,9,1000.0,1000.0
2012-03-07,998.0,998.0,998.0,998.0,2994000,3000,1,1000.0,998.0
2012-03-11,949.0,1000.0,949.0,996.0,19916967,20000,4,998.0,1000.0
2012-03-14,947.0,947.0,947.0,947.0,14205000,15000,1,996.0,947.0
2012-03-26,960.0,960.0,960.0,960.0,1920000,2000,1,947.0,960.0
2012-03-27,999.0,999.0,999.0,999.0,14985000,15000,1,960.0,999.0
2012-04-10,990.0,990.0,990.0,990.0,44550000,45000,3,999.0,990.0
2012-04-14,999.0,1000.0,997.0,999.0,237001584,237299,14,990.0,1000.0
2012-04-16,1030.0,1030.0,1030.0,1030.0,20342500,19750,4,999.0,1030.0
2012-04-17,1000.0,1000.0,1000.0,1000.0,9950000,9950,1,1030.0,1000.0
2012-04-18,1000.0,1000.0,1000.0,1000.0,5050000,5050,1,1000.0,1000.0
2012-04-21,1000.0,1000.0,1000.0,1000.0,15000000,15000,2,1000.0,1000.0
2012-04-29,1000.0,1000.0,1000.0,1000.0,30000000,30000,2,1000.0,1000.0
2012-04-30,1020.0,1020.0,1020.0,1020.0,15300000,15000,1,1000.0,1020.0
2012-05-06,1000.0,1000.0,1000.0,1000.0,15000000,15000,1,1020.0,1000.0
