date,open,high,low,adjClose,value,volume,count,yesterday,close
2024-01-13,10000.0,10000.0,10000.0,10000.0,2005875390000,200587539,54525,10000.0,10000.0
2024-01-14,10000.0,10000.0,10000.0,10000.0,1063435100000,106343510,22035,10000.0,10000.0
2024-01-15,10000.0,10000.0,10000.0,10000.0,979348040000,97934804,12583,10000.0,10000.0
2024-01-16,10000.0,10000.0,10000.0,10000.0,334011810000,33401181,11359,10000.0,10000.0
2024-01-17,10000.0,10000.0,10000.0,10000.0,1789347650000,178934765,27153,10000.0,10000.0
2024-02-03,10140.0,10200.0,10110.0,10130.0,329001406040,32465907,4901,10000.0,10130.0
2024-02-04,10110.0,10150.0,10030.0,10080.0,431591173300,42811292,7530,10130.0,10040.0
2024-02-05,10030.0,10100.0,10030.0,10050.0,233868284190,23264746,4451,10080.0,10030.0
2024-02-06,10050.0,10080.0,9980.0,10040.0,150543159030,14999454,3280,10050.0,10000.0
2024-02-07,10000.0,10050.0,9980.0,10010.0,166924464660,16673803,4966,10040.0,10030.0
2024-02-10,10020.0,10090.0,10010.0,10040.0,100950406550,10053800,1951,10010.0,10020.0
2024-02-12,10020.0,10020.0,9880.0,9930.0,86396475700,8699002,3279,10040.0,9900.0
2024-02-13,9870.0,9930.0,9810.0,9860.0,110502824190,11207863,2943,9930.0,9840.0
2024-02-14,9810.0,9830.0,9700.0,9740.0,96066416110,9861207,3308,9860.0,9740.0
2024-02-17,9730.0,9760.0,9560.0,9640.0,102391336160,10618737,2331,9740.0,9600.0
2024-02-18,9540.0,9830.0,9540.0,9730.0,119770600060,12303365,2478,9640.0,9810.0
2024-02-19,9830.0,9920.0,9760.0,9820.0,43699583700,4448160,1489,9730.0,9780.0
2024-02-20,9780.0,9800.0,9700.0,9750.0,59790069160,6134589,1750,9820.0,9730.0
2024-02-21,9770.0,9820.0,9750.0,9780.0,69370877520,7092574,1490,9750.0,9790.0
2024-02-24,9790.0,9800.0,9610.0,9680.0,49718567430,5135603,1686,9780.0,9630.0
2024-02-26,9600.0,9610.0,9360.0,9460.0,55203983690,5834295,2104,9680.0,9400.0
2024-02-27,9380.0,9590.0,9360.0,9430.0,60979548150,6466647,1879,9460.0,9540.0
2024-02-28,9510.0,9640.0,9500.0,9580.0,52471872870,5475015,1346,9430.0,9530.0
2024-03-02,9500.0,10530.0,9500.0,10350.0,601725703230,58129516,5949,9580.0,10530.0
2024-03-03,11000.0,11380.0,10850.0,11310.0,1280315953480,113246583,9683,10350.0,11380.0
2024-03-04,11160.0,11870.0,10870.0,11360.0,1618006171250,142417522,12278,11310.0,11200.0
2024-03-05,11060.0,12200.0,11060.0,11670.0,1384178140550,118601607,8362,11360.0,11480.0
2024-03-06,11520.0,11650.0,11210.0,11370.0,715871362720,62980597,7347,11670.0,11330.0
2024-03-09,11380.0,11500.0,10960.0,11240.0,529374688160,47079189,5798,11370.0,11000.0
2024-03-10,11120.0,11770.0,11030.0,11370.0,978515449420,86046573,7875,11240.0,11240.0
2024-03-11,11250.0,12100.0,11190.0,11720.0,1768098418950,150874615,12039,11370.0,11940.0
2024-03-12,11900.0,12160.0,11440.0,11770.0,1020644507070,86737102,7853,11720.0,11540.0
2024-03-13,11510.0,11740.0,11270.0,11510.0,609803867520,53002093,4904,11770.0,11310.0
2024-03-16,11280.0,11590.0,11270.0,11390.0,321563924840,28229244,3779,11510.0,11320.0
2024-03-17,11430.0,11740.0,11370.0,11530.0,625677222650,54264427,4265,11390.0,11480.0
2024-03-18,11510.0,11670.0,11460.0,11560.0,614905839830,53190599,5561,11530.0,11580.0
2024-03-24,11750.0,12290.0,11640.0,11990.0,1225178754360,102175001,8229,11560.0,12200.0
2024-03-25,12260.0,12460.0,11690.0,12030.0,1060855720210,88203272,9592,11990.0,11780.0
2024-03-26,11800.0,11970.0,11650.0,11780.0,481414865810,40850573,5160,12030.0,11720.0
2024-03-27,11720.0,11900.0,11620.0,11730.0,520446410620,44355276,5269,11780.0,11690.0
2024-03-30,11710.0,11740.0,11560.0,11660.0,278087535890,23847470,3880,11730.0,11700.0
2024-04-02,11350.0,11360.0,10940.0,11240.0,461342847360,41032423,5604,11660.0,11270.0
2024-04-03,11280.0,11440.0,11050.0,11190.0,400954921410,35816115,4480,11240.0,11130.0
2024-04-06,11200.0,11250.0,10350.0,10750.0,610299999270,56781323,7168,11190.0,10530.0
2024-04-07,10610.0,10780.0,10470.0,10640.0,343598034400,32283666,4463,10750.0,10680.0
2024-04-08,10790.0,10970.0,10600.0,10750.0,294397570000,27379011,3429,10640.0,10650.0
2024-04-09,10700.0,10860.0,10580.0,10690.0,337109345240,31527686,3873,10750.0,10600.0
2024-04-13,10380.0,10490.0,9900.0,10060.0,578145884290,57464136,5835,10690.0,9980.0
2024-04-14,9860.0,10140.0,9860.0,9890.0,254069236030,25676737,2276,10060.0,9890.0
2024-04-15,10070.0,10080.0,10060.0,10080.0,77340977760,7673869,556,9890.0,10080.0
2024-04-16,9890.0,10070.0,9880.0,9920.0,333035130310,33563664,3075,10080.0,9980.0
2024-04-17,10060.0,10110.0,10010.0,10090.0,187290305000,18566000,2002,9920.0,10110.0
2024-04-20,10690.0,11090.0,10520.0,10990.0,582042909980,52975585,4697,10090.0,11090.0
2024-04-21,11190.0,11280.0,10850.0,11060.0,511613860450,46272557,5010,10990.0,10930.0
2024-04-22,10890.0,11190.0,10860.0,11000.0,262303902330,23835354,3253,11060.0,10930.0
2024-04-23,10990.0,11300.0,10800.0,11120.0,647792870040,58237387,4949,11000.0,11240.0
2024-04-24,11250.0,11400.0,11150.0,11240.0,393322972430,34984237,3688,11120.0,11250.0
2024-04-27,11280.0,11400.0,11000.0,11180.0,330379662410,29540760,3589,11240.0,11050.0
2024-04-28,11000.0,11080.0,10770.0,10850.0,208167671250,19185581,2721,11180.0,10800.0
2024-04-29,10900.0,11350.0,10840.0,11050.0,546179458050,49437361,4995,10850.0,10930.0
2024-04-30,10930.0,11000.0,10730.0,10840.0,288953680420,26644694,3184,11050.0,10810.0
2024-05-01,10870.0,10910.0,10770.0,10840.0,213932192860,19730694,2777,10840.0,10860.0
2024-05-05,10900.0,10990.0,10700.0,10810.0,220957724130,20432426,2705,10840.0,10700.0
2024-05-06,10680.0,10730.0,10560.0,10650.0,199292694260,18706864,2413,10810.0,10650.0
2024-05-07,10600.0,10700.0,10500.0,10580.0,129459990050,12241052,2224,10650.0,10530.0
2024-05-08,10570.0,10620.0,10360.0,10460.0,145528315430,13909536,2251,10580.0,10380.0
2024-05-11,10370.0,10460.0,10160.0,10250.0,191108500540,18636412,3072,10460.0,10190.0
2024-05-12,10200.0,10380.0,10030.0,10180.0,248808527320,24429771,2998,10250.0,10060.0
2024-05-13,10100.0,10350.0,9800.0,10030.0,274850831820,27404065,4351,10180.0,10280.0
2024-05-14,10200.0,10330.0,10020.0,10170.0,174415717020,17153713,2509,10030.0,10070.0
2024-05-15,10100.0,10400.0,9950.0,10190.0,310236273630,30458376,3234,10170.0,10280.0
2024-05-18,10290.0,10430.0,10020.0,10190.0,203050542550,19932909,3134,10190.0,10030.0
2024-05-19,10030.0,10030.0,9600.0,9790.0,214790133870,21946022,3415,10190.0,9940.0
2024-05-21,9860.0,10130.0,9700.0,9980.0,155751133770,15613434,2335,9790.0,10040.0
2024-05-25,10050.0,10070.0,9590.0,9660.0,393129152150,40685680,3893,9980.0,9590.0
2024-05-26,9560.0,9620.0,9280.0,9310.0,136263455420,14639006,1490,9660.0,9280.0
2024-05-27,9110.0,9410.0,8940.0,9130.0,348652110010,38182031,3855,9310.0,9340.0
2024-05-28,9350.0,9490.0,9350.0,9480.0,244434972130,25784026,1073,9130.0,9490.0
2024-05-29,9820.0,9850.0,9630.0,9840.0,250564649430,25459227,1071,9480.0,9850.0
2024-06-01,9920.0,10040.0,9520.0,9730.0,481520014920,49481975,4306,9840.0,9600.0
2024-06-02,9570.0,10110.0,9390.0,9940.0,504206084170,50745447,2918,9730.0,10110.0
2024-06-05,10220.0,10290.0,9860.0,10060.0,433942273280,43151032,3972,9940.0,9940.0
2024-06-08,9940.0,9940.0,9660.0,9680.0,327844716230,33884441,2023,10060.0,9660.0
2024-06-09,9470.0,10020.0,9310.0,9730.0,497230259890,51099582,3937,9680.0,9790.0
2024-06-10,9940.0,10110.0,9920.0,10100.0,418802492720,41472478,1805,9730.0,10110.0
2024-06-11,10180.0,10290.0,9770.0,10010.0,361336226380,36111905,3416,10100.0,9800.0
2024-06-12,9900.0,9980.0,9700.0,9830.0,153218941800,15580202,2011,10010.0,9790.0
2024-06-15,9720.0,9750.0,9440.0,9460.0,279582668470,29548986,2048,9830.0,9440.0
2024-06-16,9250.0,9660.0,9150.0,9370.0,264697616980,28259716,2686,9460.0,9380.0
2024-06-18,9420.0,9540.0,9280.0,9360.0,246638008110,26343336,2294,9370.0,9350.0
2024-06-19,9400.0,9700.0,9390.0,9590.0,416196753400,43379158,3111,9360.0,9630.0
2024-06-22,9620.0,9660.0,9300.0,9440.0,244886253030,25949325,2934,9590.0,9360.0
2024-06-23,9440.0,9500.0,9270.0,9370.0,167067335980,17838883,1918,9440.0,9380.0
2024-06-24,9390.0,9730.0,9390.0,9650.0,295520843330,30628075,2557,9370.0,9700.0
2024-06-26,9800.0,9990.0,9730.0,9870.0,352726122360,35722731,3211,9650.0,9810.0
2024-06-29,9800.0,9970.0,9460.0,9710.0,300709425630,30963751,3243,9870.0,9470.0
2024-06-30,9460.0,9460.0,9050.0,9220.0,225935944680,24501513,3212,9710.0,9100.0
