date,open,high,low,adjClose,value,volume,count,yesterday,close
2025-09-14,10000.0,10000.0,10000.0,10000.0,890500140000,89050014,6495,10000.0,10000.0
2025-09-15,10000.0,10000.0,10000.0,10000.0,557445730000,55744573,184,10000.0,10000.0
2025-09-16,10000.0,10000.0,10000.0,10000.0,100868620000,10086862,61,10000.0,10000.0
2025-09-17,10000.0,10000.0,10000.0,10000.0,178713620000,17871362,62,10000.0,10000.0
2025-09-20,10000.0,10000.0,10000.0,10000.0,413219460000,41321946,67,10000.0,10000.0
2025-11-01,10310.0,10310.0,10250.0,10270.0,98795144900,9618533,216,10000.0,10310.0
2025-11-02,10310.0,10310.0,10240.0,10260.0,30808238280,3003472,104,10270.0,10250.0
2025-11-03,10310.0,10310.0,10250.0,10260.0,85355965140,8319250,55,10260.0,10260.0
2025-11-04,10260.0,10410.0,10210.0,10250.0,33406287240,3257735,78,10260.0,10210.0
2025-11-05,10210.0,10260.0,10200.0,10220.0,13675598790,1338013,55,10250.0,10260.0
2025-11-08,10300.0,10350.0,10200.0,10340.0,61239963500,5921355,34,10220.0,10300.0
2025-11-09,10300.0,10300.0,10110.0,10240.0,3630086660,354603,38,10340.0,10120.0
2025-11-10,10150.0,10340.0,10150.0,10160.0,279482470,27506,27,10240.0,10160.0
2025-11-11,10260.0,10260.0,10150.0,10170.0,9183633150,903311,20,10160.0,10150.0
2025-11-12,10180.0,10190.0,10170.0,10180.0,4871689330,478631,32,10170.0,10170.0
2025-11-15,10200.0,10380.0,10150.0,10200.0,1096442700,107520,17,10180.0,10150.0
2025-11-16,10200.0,10300.0,10200.0,10240.0,15729912060,1536572,32,10200.0,10300.0
2025-11-17,10400.0,10540.0,10400.0,10530.0,270573064500,25689306,75,10240.0,10450.0
2025-11-18,10550.0,10660.0,10500.0,10660.0,95944499600,9000431,50,10530.0,10660.0
2025-11-19,10520.0,10520.0,10520.0,10520.0,111680320,10616,27,10660.0,10520.0
2025-11-22,10600.0,10790.0,10600.0,10790.0,54503754600,5052241,18,10520.0,10600.0
2025-11-23,10750.0,10750.0,10700.0,10720.0,4343624440,405185,24,10790.0,10750.0
2025-11-25,10850.0,10940.0,10810.0,10870.0,68163993600,6271629,48,10720.0,10850.0
2025-11-26,10800.0,10850.0,10700.0,10790.0,30155923250,2793545,23,10870.0,10750.0
2025-11-29,10850.0,10850.0,10850.0,10850.0,11067000,1020,5,10790.0,10850.0
2025-11-30,10750.0,10950.0,10750.0,10850.0,226547540,20882,14,10850.0,10850.0
2025-12-01,11050.0,11100.0,10840.0,10870.0,6571306650,604734,16,10850.0,10850.0
2025-12-02,10870.0,10870.0,10870.0,10870.0,5992989710,551333,16,10870.0,10870.0
2025-12-03,10850.0,11100.0,10850.0,10920.0,7941526400,726955,22,10870.0,10910.0
2025-12-06,11040.0,11050.0,11040.0,11040.0,10543250,955,12,10920.0,11050.0
2025-12-07,11150.0,11360.0,11100.0,11150.0,1304959120,117024,22,11040.0,11100.0
2025-12-08,11180.0,11200.0,11100.0,11110.0,164233500,14785,14,11150.0,11200.0
2025-12-09,11140.0,11140.0,11140.0,11140.0,44771660,4019,4,11110.0,11140.0
2025-12-10,11140.0,11300.0,11100.0,11120.0,514070060,46209,16,11140.0,11120.0
2025-12-13,11200.0,11360.0,11200.0,11230.0,9873130,879,16,11120.0,11360.0
2025-12-14,11440.0,11530.0,11350.0,11470.0,170048180,14824,32,11230.0,11530.0
2025-12-15,11460.0,11490.0,11460.0,11480.0,30873040,2689,11,11470.0,11490.0
2025-12-16,11550.0,11670.0,11550.0,11560.0,327094650,28290,21,11480.0,11550.0
2025-12-17,11350.0,11560.0,11350.0,11450.0,44234530,3863,13,11560.0,11380.0
2025-12-20,11590.0,11770.0,11590.0,11710.0,29282570,2500,16,11450.0,11750.0
2025-12-21,11360.0,11590.0,11360.0,11580.0,433100910,37395,19,11710.0,11580.0
2025-12-22,11650.0,11800.0,11650.0,11660.0,157073800,13475,35,11580.0,11650.0
2025-12-23,11670.0,11940.0,11630.0,11720.0,33967139760,2898898,22,11660.0,11630.0
2025-12-24,12050.0,12050.0,11900.0,12030.0,55952430560,4652207,22,11720.0,12000.0
2025-12-27,12110.0,12390.0,12110.0,12350.0,31560092600,2554859,44,12030.0,12390.0
2025-12-28,12360.0,12550.0,12360.0,12480.0,14568949380,1167462,20,12350.0,12470.0
2025-12-29,12500.0,12500.0,12300.0,12460.0,20431660,1640,15,12480.0,12500.0
