date,open,high,low,adjClose,value,volume,count,yesterday,close
2025-01-27,13500.0,13500.0,13500.0,13500.0,2429990010000,179999260,1500050,1000.0,13500.0
2025-01-29,13900.0,13900.0,13900.0,13900.0,30641674300,2204437,4771,13500.0,13900.0
2025-02-01,14310.0,14310.0,14310.0,14310.0,31617916380,2209498,8550,13900.0,14310.0
2025-02-02,14730.0,14730.0,14730.0,14690.0,29356742700,1992990,9190,14310.0,14730.0
2025-02-03,15130.0,15130.0,15130.0,15130.0,50528223650,3339605,9655,14690.0,15130.0
2025-02-04,15580.0,15580.0,15580.0,15580.0,68957734360,4426042,10163,15130.0,15580.0
2025-02-05,16040.0,16040.0,16040.0,16040.0,116514672280,7264007,24878,15580.0,16040.0
2025-02-09,16520.0,16520.0,16520.0,16520.0,193351269440,11704072,62941,16040.0,16520.0
2025-02-11,17010.0,17010.0,17010.0,17010.0,194530000140,11436214,57865,16520.0,17010.0
2025-02-15,17520.0,17520.0,17520.0,17520.0,256412243040,14635402,80784,17010.0,17520.0
2025-02-16,18040.0,18040.0,17000.0,17710.0,2635123113040,148787432,421944,17520.0,17120.0
2025-02-17,17190.0,17870.0,17180.0,17320.0,1083661074860,62577617,140415,17710.0,17650.0
2025-02-18,17830.0,17830.0,17830.0,17830.0,158619656090,8896223,22844,17320.0,17830.0
2025-02-19,18360.0,18360.0,18360.0,18360.0,144607197240,7876209,16234,17830.0,18360.0
2025-02-22,18910.0,18910.0,17910.0,18590.0,1117569260900,60109939,44086,18360.0,18800.0
2025-02-23,18900.0,19140.0,18150.0,18880.0,575042280920,30465768,41383,18590.0,19070.0
2025-02-24,19050.0,19440.0,18900.0,19320.0,336027406760,17394425,34416,18880.0,19220.0
2025-02-25,19290.0,19400.0,18750.0,18930.0,587467125240,31036923,56342,19320.0,18770.0
2025-02-26,18750.0,19200.0,18590.0,18840.0,237857921990,12623721,44213,18930.0,18970.0
2025-03-01,18900.0,19160.0,18420.0,18750.0,120592048340,6433073,12301,18840.0,18430.0
2025-03-02,18400.0,19310.0,18300.0,19190.0,369827831550,19274547,12322,18750.0,19310.0
2025-03-03,18620.0,19570.0,18620.0,18980.0,301663040000,15892948,8648,19190.0,19140.0
2025-03-04,19250.0,19540.0,19110.0,19480.0,304722884710,15639715,8381,18980.0,19460.0
2025-03-05,19250.0,20060.0,19150.0,19950.0,259293359770,13000342,6313,19480.0,20060.0
2025-03-08,20080.0,20540.0,19730.0,20240.0,304711838360,15052776,8834,19950.0,20530.0
2025-03-09,20510.0,20840.0,20240.0,20750.0,158555067660,7640323,6513,20240.0,20840.0
