date,open,high,low,adjClose,value,volume,count,yesterday,close
2025-12-20,38100.0,38100.0,38100.0,38100.0,1819676002500,47760525,268,10000.0,38100.0
2025-12-21,38133.0,38145.0,38131.0,38143.0,373578594678,9794128,193,38100.0,38145.0
2025-12-22,38178.0,38178.0,38176.0,38176.0,98122810982,2570271,86,38143.0,38176.0
2025-12-23,38211.0,38221.0,38211.0,38211.0,136097556724,3561735,64,38176.0,38211.0
2025-12-24,38246.0,38256.0,38246.0,38255.0,329155034493,8604276,77,38211.0,38247.0
2025-12-27,38362.0,38362.0,38352.0,38354.0,58801165474,1533135,77,38255.0,38353.0
2025-12-28,38388.0,38399.0,38388.0,38392.0,1171872528345,30523573,129,38354.0,38388.0
2025-12-29,38423.0,38433.0,38423.0,38429.0,21162268053,550681,41,38392.0,38433.0
2025-12-30,38469.0,38469.0,38459.0,38459.0,2215117982447,57596851,109,38429.0,38460.0
2025-12-31,38504.0,38504.0,38494.0,38494.0,561265313240,14580566,60,38459.0,38494.0
2026-01-04,38636.0,38646.0,38636.0,38637.0,85373923524,2209664,56,38494.0,38646.0
2026-01-05,38672.0,38682.0,38672.0,38673.0,75343513176,1948236,49,38637.0,38672.0
2026-01-06,38708.0,38718.0,38708.0,38716.0,61627129963,1591787,60,38673.0,38710.0
2026-01-07,38743.0,38753.0,38743.0,38743.0,670202079604,17298652,71,38716.0,38743.0
2026-01-10,38851.0,38861.0,38851.0,38854.0,38124711776,981220,43,38743.0,38851.0
2026-01-11,38896.0,38896.0,38886.0,38886.0,550218593964,14149502,58,38854.0,38886.0
2026-01-12,38922.0,38932.0,38922.0,38922.0,345466243160,8875855,61,38886.0,38932.0
2026-01-13,38958.0,38968.0,38958.0,38962.0,14359345631,368549,45,38922.0,38968.0
2026-01-14,38994.0,39004.0,38994.0,38995.0,603328994143,15471991,53,38962.0,38994.0
2026-01-18,39138.0,39148.0,39138.0,39138.0,58141568183,1485534,50,38995.0,39138.0
2026-01-19,39184.0,39184.0,39174.0,39175.0,1032341072022,26351854,67,39138.0,39184.0
2026-01-20,39210.0,39220.0,39210.0,39210.0,230467058530,5877741,37,39175.0,39210.0
2026-01-21,39257.0,39257.0,39247.0,39250.0,439792568462,11204915,49,39210.0,39250.0
2026-01-24,39355.0,39365.0,39355.0,39355.0,521833846505,13259644,71,39250.0,39355.0
2026-01-25,39391.0,39401.0,39391.0,39392.0,45564298191,1156697,39,39355.0,39401.0
2026-01-26,39428.0,39438.0,39428.0,39428.0,539796584309,13690652,49,39392.0,39438.0
2026-01-27,39474.0,39474.0,39464.0,39473.0,25180577421,637915,39,39428.0,39474.0
2026-01-28,39501.0,39511.0,39501.0,39503.0,782432622097,19807057,73,39473.0,39501.0
