date,open,high,low,adjClose,value,volume,count,yesterday,close
2015-08-01,10000.0,10000.0,10000.0,10000.0,3260300000,326030,37,10000.0,10000.0
2015-08-02,10000.0,10000.0,10000.0,10000.0,5000000000,500000,50,10000.0,10000.0
2015-08-03,10000.0,10000.0,10000.0,10000.0,21839700000,2183970,30,10000.0,10000.0
2015-11-24,10964.0,10964.0,10950.0,10962.0,658795000,60100,3,10000.0,10950.0
2015-11-25,10970.0,10970.0,10970.0,10970.0,76790000,7000,2,10962.0,10970.0
2015-11-30,11001.0,11001.0,11001.0,11001.0,4950450,450,2,10970.0,11001.0
2015-12-01,11010.0,11010.0,11010.0,11010.0,550500000,50000,1,11001.0,11010.0
2015-12-05,11039.0,11039.0,11039.0,11039.0,149026500,13500,1,11010.0,11039.0
2015-12-06,11044.0,11044.0,11044.0,11044.0,12148400,1100,2,11039.0,11044.0
2015-12-13,11099.0,11099.0,11099.0,11099.0,99558030,8970,2,11044.0,11099.0
2015-12-14,11100.0,11100.0,11100.0,11100.0,4551000,410,1,11099.0,11100.0
2015-12-15,11108.0,11110.0,11108.0,11110.0,166649660,15000,4,11100.0,11110.0
2015-12-22,11143.0,11143.0,11143.0,11143.0,1225730,110,1,11110.0,11143.0
2015-12-26,11165.0,11165.0,11165.0,11165.0,42427000,3800,1,11143.0,11165.0
2015-12-28,11174.0,11174.0,11174.0,11174.0,99448600,8900,1,11165.0,11174.0
2016-01-02,11228.0,11228.0,11228.0,11228.0,112280000,10000,1,11174.0,11228.0
2016-01-03,11226.0,11230.0,11226.0,11229.0,32338880,2880,3,11228.0,11230.0
2016-01-06,11280.0,11280.0,11280.0,11280.0,14664000,1300,1,11229.0,11280.0
2016-01-10,11289.0,11310.0,11289.0,11290.0,15806700,1400,2,11280.0,11310.0
2016-02-02,11849.0,11849.0,11849.0,11849.0,459148750,38750,2,11290.0,11849.0
2016-02-07,11900.0,11900.0,11900.0,11900.0,595000000,50000,2,11849.0,11900.0
2016-02-08,11951.0,11951.0,11951.0,11951.0,26292200,2200,2,11900.0,11951.0
2016-02-09,12099.0,12099.0,12099.0,12099.0,331028640,27360,3,11951.0,12099.0
2016-02-13,12099.0,12099.0,12099.0,12099.0,49605900,4100,1,12099.0,12099.0
2016-02-16,12093.0,12093.0,12093.0,12093.0,108837000,9000,1,12099.0,12093.0
2016-02-17,12150.0,12150.0,12150.0,12150.0,248467500,20450,1,12093.0,12150.0
2016-02-20,12170.0,12170.0,12161.0,12169.0,212952500,17500,3,12150.0,12161.0
2016-02-21,12240.0,12240.0,12060.0,12184.0,169474670,13910,4,12169.0,12067.0
2016-02-22,12135.0,12135.0,12135.0,12135.0,631020000,52000,2,12184.0,12135.0
2016-02-23,12145.0,12145.0,12122.0,12133.0,4853400,400,2,12135.0,12122.0
2016-02-24,12127.0,12128.0,12127.0,12128.0,52148900,4300,2,12133.0,12128.0
2016-02-27,12149.0,12149.0,12149.0,12149.0,2429800,200,1,12128.0,12149.0
2016-03-08,12026.0,12026.0,12026.0,12026.0,148641360,12360,1,12149.0,12026.0
2016-03-12,12099.0,12200.0,12099.0,12183.0,73099000,6000,2,12026.0,12200.0
2016-03-16,12280.0,12280.0,12280.0,12280.0,614000000,50000,1,12183.0,12280.0
2016-04-02,12700.0,12840.0,12654.0,12705.0,591561600,46560,11,12280.0,12670.0
2016-04-06,12697.0,12697.0,12697.0,12697.0,63485000,5000,1,12705.0,12697.0
2016-04-13,12559.0,12559.0,12559.0,12559.0,62795000,5000,1,12697.0,12559.0
2016-04-16,12544.0,12560.0,12544.0,12546.0,713236000,56850,3,12559.0,12560.0
2016-04-17,12400.0,12546.0,12400.0,12530.0,93099980,7430,2,12546.0,12546.0
2016-04-19,12500.0,12500.0,12500.0,12500.0,59375000,4750,1,12530.0,12500.0
