date,open,high,low,adjClose,value,volume,count,yesterday,close
2025-12-22,10000.0,10000.0,10000.0,10000.0,1980000000000,198000000,3912,10000.0,10000.0
2025-12-23,10000.0,10000.0,10000.0,10000.0,2000000000000,200000000,5392,10000.0,10000.0
2026-01-04,11000.0,11000.0,11000.0,11000.0,221980418000,20180038,1049,10000.0,11000.0
2026-01-05,12100.0,12100.0,12100.0,12100.0,219020877900,18100899,709,11000.0,12100.0
2026-01-06,13310.0,13310.0,13310.0,13310.0,629655877180,47306978,1799,12100.0,13310.0
2026-01-07,11979.0,14492.0,11979.0,13486.0,6606550625434,489896407,36010,13310.0,13980.0
2026-01-10,13680.0,14074.0,12590.0,13411.0,3078412389180,229546689,17608,13486.0,13340.0
2026-01-11,13990.0,14752.0,13819.0,14471.0,1644016636845,113604189,7838,13411.0,14752.0
2026-01-12,15918.0,15918.0,15918.0,15918.0,212400225282,13343399,1124,14471.0,15918.0
2026-01-13,16554.0,16554.0,15980.0,16528.0,1152763263588,69746698,5200,15918.0,16554.0
2026-01-14,17189.0,17189.0,17189.0,17189.0,156058724732,9078988,668,16528.0,17189.0
2026-01-18,17876.0,17876.0,17876.0,17876.0,61483947844,3439469,338,17189.0,17876.0
2026-01-19,18591.0,18591.0,18591.0,18591.0,23612113053,1270083,178,17876.0,18591.0
2026-01-20,19334.0,19334.0,19334.0,19334.0,390621448574,20203861,1605,18591.0,19334.0
2026-02-02,18561.0,18561.0,18561.0,18561.0,142284394092,7665772,4698,19334.0,18561.0
2026-02-03,17819.0,17819.0,17819.0,17819.0,266973791165,14982535,3398,18561.0,17819.0
2026-02-07,17107.0,17107.0,17107.0,17107.0,82876863019,4844617,1526,17819.0,17107.0
2026-02-08,16423.0,16423.0,16423.0,16423.0,64515357742,3928354,1290,17107.0,16423.0
2026-02-09,16900.0,17079.0,16370.0,16853.0,3142096930769,186440120,18828,16423.0,16393.0
2026-02-10,16658.0,16798.0,15168.0,15341.0,8439134539129,550104668,38208,16853.0,15205.0
2026-02-14,14805.0,14998.0,14220.0,14646.0,1959382284109,133780142,12273,15341.0,14920.0
2026-02-15,15077.0,15480.0,14904.0,15288.0,2548717923943,166718917,11823,14646.0,15404.0
