date,open,high,low,adjClose,value,volume,count,yesterday,close
2017-06-10,10000.0,10000.0,10000.0,10000.0,78429850000,7842985,425,10000.0,10000.0
2017-06-11,10000.0,10000.0,10000.0,10000.0,3848200000,384820,176,10000.0,10000.0
2017-06-12,10000.0,10000.0,10000.0,10000.0,40958920000,4095892,184,10000.0,10000.0
2017-06-13,10000.0,10000.0,10000.0,10000.0,2800210000,280021,88,10000.0,10000.0
2017-06-14,10000.0,10000.0,10000.0,10000.0,31963270000,3196327,305,10000.0,10000.0
2017-07-30,10304.0,10304.0,10283.0,10295.0,1182964230,114903,80,10000.0,10301.0
2017-07-31,10319.0,10329.0,10308.0,10319.0,681930852,66085,52,10295.0,10325.0
2017-08-01,10322.0,10328.0,10312.0,10320.0,544801967,52789,44,10319.0,10315.0
2017-08-02,10321.0,10337.0,10319.0,10322.0,224036483,21705,19,10320.0,10337.0
2017-08-06,10300.0,10351.0,10300.0,10347.0,946379788,91460,50,10322.0,10347.0
2017-08-07,10347.0,10359.0,10346.0,10350.0,743956641,71878,34,10347.0,10355.0
2017-08-08,10336.0,10354.0,10336.0,10342.0,175822200,17000,12,10350.0,10350.0
2017-08-09,10337.0,10355.0,10335.0,10337.0,175790926,17006,15,10342.0,10355.0
2017-08-12,10370.0,10395.0,10369.0,10387.0,1052844685,101357,34,10337.0,10395.0
2017-08-13,10388.0,10400.0,10388.0,10393.0,286220431,27540,23,10387.0,10400.0
2017-08-14,10402.0,10402.0,10381.0,10391.0,587301541,56522,13,10393.0,10398.0
2017-08-15,10399.0,10399.0,10367.0,10370.0,7007318607,675700,40,10391.0,10396.0
2017-08-16,10375.0,10390.0,10374.0,10374.0,377512260,36390,8,10370.0,10390.0
2017-08-19,10390.0,10390.0,10387.0,10388.0,129243260,12442,12,10374.0,10388.0
2017-08-20,10405.0,10405.0,10391.0,10393.0,526222644,50633,17,10388.0,10392.0
2017-08-21,10400.0,10412.0,10395.0,10397.0,299472001,28804,23,10393.0,10397.0
2017-08-22,10400.0,10413.0,10397.0,10399.0,880329820,84653,24,10397.0,10398.0
2017-08-23,10398.0,10416.0,10396.0,10403.0,144679975,13908,21,10399.0,10397.0
2017-08-26,10409.0,10415.0,10400.0,10407.0,750414805,72108,19,10403.0,10415.0
2017-08-27,10420.0,10421.0,10419.0,10420.0,687003602,65931,23,10407.0,10420.0
2017-08-28,10430.0,10580.0,10430.0,10457.0,1723439962,164812,38,10420.0,10459.0
2017-08-29,10471.0,10477.0,10450.0,10470.0,5793947201,553403,38,10457.0,10470.0
2017-08-30,10474.0,10474.0,10450.0,10456.0,1557292718,148943,37,10470.0,10470.0
2017-09-02,10480.0,10503.0,10480.0,10492.0,9543395355,909581,55,10456.0,10499.0
2017-09-03,10509.0,10600.0,10509.0,10521.0,12450125284,1183330,68,10492.0,10557.0
2017-09-04,10567.0,10668.0,10567.0,10598.0,4894274434,461795,53,10521.0,10575.0
2017-09-05,10420.0,10570.0,10402.0,10524.0,208704256,19831,28,10598.0,10570.0
2017-09-06,10547.0,10668.0,10528.0,10545.0,5924288768,561822,42,10524.0,10565.0
2017-09-11,10611.0,10699.0,10545.0,10594.0,2951123889,278565,44,10545.0,10578.0
2017-09-12,10400.0,10562.0,10400.0,10522.0,296783521,28205,34,10594.0,10545.0
2017-09-13,10544.0,10600.0,10542.0,10587.0,3433696494,324346,34,10522.0,10600.0
2017-09-16,10577.0,10596.0,10516.0,10583.0,168813724,15952,17,10587.0,10516.0
2017-09-17,10522.0,10535.0,10521.0,10523.0,1379236781,131071,15,10583.0,10521.0
2017-09-18,10521.0,10538.0,10512.0,10522.0,1006093866,95618,16,10523.0,10532.0
2017-09-19,10532.0,10550.0,10532.0,10535.0,238547530,22644,16,10522.0,10545.0
2017-09-20,10547.0,10588.0,10547.0,10555.0,571006882,54100,16,10535.0,10560.0
2017-09-23,10520.0,10538.0,10516.0,10517.0,882470491,83911,14,10555.0,10517.0
2017-09-24,10548.0,10570.0,10548.0,10550.0,723798960,68606,28,10517.0,10550.0
2017-09-25,10750.0,10750.0,10535.0,10550.0,669441474,63455,26,10550.0,10535.0
2017-09-26,10569.0,10570.0,10569.0,10570.0,89558237,8473,6,10550.0,10570.0
2017-09-27,10570.0,10570.0,10535.0,10544.0,569929205,54053,9,10570.0,10535.0
2017-10-02,10544.0,10561.0,10544.0,10557.0,1158164851,109701,18,10544.0,10560.0
2017-10-03,10562.0,10580.0,10562.0,10563.0,410439121,38855,34,10557.0,10580.0
2017-10-04,10600.0,10620.0,10572.0,10599.0,2201698558,207729,42,10563.0,10613.0
2017-10-07,10613.0,10660.0,10612.0,10624.0,6266841595,589890,70,10599.0,10646.0
2017-10-08,10700.0,10802.0,10700.0,10772.0,4324261522,401443,60,10624.0,10765.0
2017-10-09,10850.0,10980.0,10823.0,10870.0,5342350579,491468,80,10772.0,10944.0
2017-10-10,10960.0,10960.0,10831.0,10869.0,2727618559,250951,39,10870.0,10839.0
2017-10-11,10901.0,10901.0,10846.0,10890.0,3588823504,329567,40,10869.0,10890.0
2017-10-14,10900.0,10926.0,10877.0,10889.0,4687235743,430458,31,10890.0,10895.0
2017-10-15,10894.0,10910.0,10894.0,10894.0,3064662094,281311,23,10889.0,10900.0
2017-10-16,10905.0,10905.0,10900.0,10900.0,3772241098,346063,36,10894.0,10901.0
2017-10-17,10910.0,10910.0,10880.0,10906.0,706789280,64810,30,10900.0,10881.0
2017-10-18,10880.0,10890.0,10880.0,10881.0,682395134,62713,24,10906.0,10890.0
2017-10-21,10890.0,10895.0,10881.0,10889.0,830252885,76246,30,10881.0,10895.0
2017-10-22,10860.0,10860.0,10850.0,10855.0,175647113,16181,13,10889.0,10851.0
2017-10-23,10861.0,10861.0,10848.0,10849.0,694268012,63994,17,10855.0,10849.0
2017-10-24,10849.0,10889.0,10849.0,10881.0,1391219889,127855,22,10849.0,10881.0
2017-10-25,10890.0,10897.0,10881.0,10886.0,2218606026,203798,22,10881.0,10881.0
2017-10-28,10893.0,10895.0,10879.0,10886.0,220801794,20283,20,10886.0,10880.0
2017-10-29,10881.0,11113.0,10880.0,11058.0,4782162747,432458,57,10886.0,11000.0
2017-10-30,10930.0,11099.0,10920.0,10922.0,315453156,28882,13,11058.0,11030.0
2017-10-31,10885.0,10999.0,10882.0,10943.0,2530166877,231210,37,10922.0,10905.0
2017-11-01,10900.0,10930.0,10900.0,10902.0,1187079243,108887,26,10943.0,10900.0
2017-11-04,10933.0,10933.0,10905.0,10928.0,615632504,56337,11,10902.0,10906.0
2017-11-05,10905.0,10926.0,10905.0,10906.0,221974465,20353,10,10928.0,10926.0
