date,open,high,low,adjClose,value,volume,count,yesterday,close
2020-03-04,3400.0,3400.0,3400.0,3400.0,2406375428600,707757479,1681523,1000.0,3400.0
2020-03-07,3570.0,3570.0,3570.0,3570.0,54577392450,15287785,3680,3400.0,3570.0
2020-03-09,3748.0,3748.0,3748.0,3748.0,99177240996,26461377,4437,3570.0,3748.0
2020-03-10,3935.0,3935.0,3935.0,3935.0,280419932545,71263007,5131,3748.0,3935.0
2020-03-11,4131.0,4131.0,4131.0,4131.0,138235586904,33462984,7309,3935.0,4131.0
2020-03-14,4337.0,4337.0,4337.0,4286.0,39501656220,9108060,7639,4131.0,4337.0
2020-03-15,4500.0,4500.0,4500.0,4338.0,13195386000,2932308,5799,4286.0,4500.0
2020-03-16,4554.0,4554.0,4554.0,4385.0,12076511238,2651847,5916,4338.0,4554.0
2020-03-17,4604.0,4604.0,4604.0,4433.0,12096604848,2627412,4957,4385.0,4604.0
2020-03-18,4654.0,4654.0,4654.0,4478.0,11512730112,2473728,5842,4433.0,4654.0
2020-03-24,4701.0,4701.0,4701.0,4526.0,11236109253,2390153,5387,4478.0,4701.0
2020-03-25,4752.0,4752.0,4752.0,4582.0,13204591488,2778744,6150,4526.0,4752.0
2020-03-28,4811.0,4811.0,4811.0,4807.0,51495375614,10703674,5489,4582.0,4811.0
2020-03-29,5047.0,5047.0,5047.0,4877.0,16054708880,3181040,8031,4807.0,5047.0
2020-03-30,5120.0,5120.0,5120.0,5099.0,51132810240,9986877,8253,4877.0,5120.0
2020-04-06,5358.0,5625.0,5358.0,5607.0,78202684629,13946195,13221,5103.0,5625.0
2020-04-07,5887.0,6181.0,5887.0,5632.0,5117671986,869298,2168,5607.0,6181.0
2020-04-08,5913.0,5913.0,5913.0,5913.0,117709824915,19906955,25375,5632.0,5913.0
2020-04-11,6208.0,6518.0,6208.0,6511.0,182303409130,27997895,10358,5913.0,6518.0
2020-04-12,6836.0,6836.0,6836.0,6836.0,169215493388,24753583,11331,6511.0,6836.0
2020-04-13,6815.0,7177.0,6495.0,6707.0,1303927438273,194425233,192355,6836.0,6672.0
2020-04-14,6372.0,7042.0,6372.0,6435.0,391137805900,60781579,77664,6707.0,6514.0
2020-04-15,6372.0,6756.0,6114.0,6730.0,179910689620,26732001,42657,6435.0,6756.0
2020-04-18,7066.0,7066.0,7066.0,7066.0,208408942524,29494614,16771,6730.0,7066.0
2020-04-19,7419.0,7419.0,6899.0,7301.0,1265676321414,173345559,98779,7066.0,7290.0
2020-04-20,7666.0,7666.0,7666.0,7666.0,161236731862,21032707,19564,7301.0,7666.0
2020-04-21,8049.0,8049.0,8049.0,7738.0,11297608596,1403604,1398,7666.0,8049.0
2020-04-22,8124.0,8124.0,8124.0,8124.0,201402855780,24791095,9545,7738.0,8124.0
2020-04-25,8530.0,8530.0,8530.0,8530.0,191078986070,22400819,6948,8124.0,8530.0
2020-04-26,8956.0,8956.0,8956.0,8757.0,29392562060,3281885,5447,8530.0,8956.0
2020-04-27,9194.0,9194.0,9194.0,9194.0,74315892684,8083086,17293,8757.0,9194.0
2020-04-28,9653.0,9653.0,9653.0,9653.0,233682121414,24208238,15568,9194.0,9653.0
2020-04-29,10135.0,10135.0,10135.0,9834.0,23424539020,2311252,2357,9653.0,10135.0
2020-05-04,10325.0,10841.0,10325.0,10795.0,279585391355,25899463,14529,9834.0,10841.0
2020-05-05,11334.0,11334.0,10841.0,11229.0,2439776931938,217276603,74415,10795.0,11334.0
2020-05-06,11112.0,11790.0,10668.0,11593.0,802444601654,69219806,49896,11229.0,11790.0
2020-05-09,12172.0,12172.0,12172.0,12172.0,170829759800,14034650,14589,11593.0,12172.0
2020-05-10,12780.0,12780.0,12780.0,12780.0,444559801860,34785587,17459,12172.0,12780.0
2020-05-11,13419.0,13419.0,12785.0,13411.0,467741313226,34878272,18531,12780.0,13410.0
2020-05-12,12741.0,12741.0,12741.0,12741.0,269396595870,21144070,7956,13411.0,12741.0
2020-05-13,12104.0,13099.0,12104.0,12299.0,1937607022430,157542607,74603,12741.0,12104.0
2020-05-19,10900.0,11445.0,10795.0,11068.0,746480059765,67442625,46364,11799.0,10990.0
2020-05-20,10650.0,11000.0,10515.0,10636.0,443339487197,41683584,29004,11068.0,10515.0
2020-05-23,10105.0,10490.0,10105.0,10144.0,953787909641,94024949,68357,10636.0,10390.0
2020-05-26,10180.0,10651.0,9752.0,10259.0,928393000000,90495915,69042,10158.0,9809.0
2020-05-27,10100.0,10771.0,10100.0,10631.0,437895881001,41190432,38584,10259.0,10771.0
2020-05-30,11162.0,11162.0,11162.0,11162.0,71611541110,6415655,7595,10631.0,11162.0
2020-05-31,11720.0,11720.0,10677.0,11607.0,1113912236531,95968484,23477,11162.0,11720.0
2020-06-01,11795.0,12187.0,11200.0,12091.0,404903654443,33487951,14348,11607.0,12187.0
2020-06-02,12695.0,12695.0,12388.0,12686.0,231800224533,18272454,9428,12091.0,12695.0
2020-06-06,13320.0,13320.0,13320.0,13320.0,154191467520,11575936,7104,12686.0,13320.0
2020-06-07,13986.0,13986.0,13986.0,13986.0,149736451662,10706167,5334,13320.0,13986.0
2020-06-08,14685.0,14685.0,13600.0,14636.0,1733560978195,118443750,24592,13986.0,14685.0
2020-06-09,15055.0,15367.0,14220.0,15252.0,568105467706,37246991,11184,14636.0,15367.0
2020-06-10,16014.0,16014.0,16014.0,16014.0,184186622400,11501600,6972,15252.0,16014.0
2020-06-13,16810.0,16810.0,16810.0,16620.0,39841683580,2370118,2446,16014.0,16810.0
2020-06-16,17450.0,17450.0,17450.0,17450.0,153008440400,8768392,6392,16620.0,17450.0
2020-06-20,18320.0,18320.0,17000.0,18010.0,2318237024230,128747402,51089,17450.0,17590.0
2020-06-21,17110.0,17110.0,17110.0,17110.0,253501058490,14815959,7346,18010.0,17110.0
2020-06-22,16260.0,17960.0,16260.0,17120.0,2592360855810,151445983,48053,17110.0,17960.0
2020-06-23,17970.0,17970.0,17200.0,17850.0,1187806638970,66534104,17905,17120.0,17290.0
2020-06-24,17460.0,18440.0,17000.0,17720.0,1231532103140,69493738,27713,17850.0,17320.0
2020-06-27,17400.0,18250.0,16860.0,17300.0,1422323237030,82208762,29163,17720.0,16910.0
2020-06-28,17320.0,17800.0,16440.0,16660.0,1646814200740,98835642,28906,17300.0,16440.0
2020-06-29,15950.0,17300.0,15830.0,16550.0,1173921546060,70923658,33942,16660.0,17170.0
2020-06-30,17350.0,17370.0,17000.0,17360.0,562781305740,32412541,22100,16550.0,17370.0
2020-07-01,18220.0,18220.0,17550.0,18210.0,723280108420,39717107,15098,17360.0,18220.0
2020-07-04,18800.0,19120.0,17300.0,17630.0,1157951271790,65698507,27239,18210.0,17310.0
2020-07-05,17210.0,18510.0,16750.0,17760.0,1085867501520,61156469,27628,17630.0,18120.0
2020-07-06,18510.0,18640.0,18130.0,18610.0,1337261398170,71868822,21505,17760.0,18640.0
2020-07-07,18800.0,18850.0,17800.0,18190.0,1089068295670,59878203,28335,18610.0,17840.0
2020-07-08,17800.0,18000.0,17290.0,17390.0,779225204560,44796780,19356,18190.0,17290.0
2020-07-11,16530.0,17620.0,16530.0,16790.0,693586245970,41318546,16509,17390.0,16850.0
2020-07-12,17000.0,17620.0,16030.0,17340.0,896581854560,51696344,21143,16790.0,16520.0
2020-07-13,16840.0,17100.0,16480.0,16590.0,716625976490,43190537,19701,17340.0,16480.0
2020-07-14,16350.0,17100.0,15770.0,15980.0,890366574930,55712312,22889,16590.0,15770.0
2020-07-15,16060.0,16770.0,15980.0,16640.0,607357098370,36492264,16617,15980.0,16760.0
2020-07-18,16900.0,17420.0,16010.0,17100.0,659751387810,38590093,22260,16640.0,17320.0
2020-07-19,17790.0,17790.0,16510.0,17170.0,778027159470,45322713,21112,17100.0,16630.0
2020-07-20,17250.0,17950.0,16800.0,17440.0,821010933950,47083305,21206,17170.0,16900.0
2020-07-21,16860.0,16890.0,16570.0,16620.0,623493630130,37520046,16800,17440.0,16570.0
2020-07-22,16010.0,17450.0,16010.0,17200.0,693965759100,40349224,14117,16620.0,17450.0
