date,open,high,low,adjClose,value,volume,count,yesterday,close
2012-02-08,1304.0,1304.0,1304.0,1304.0,323897300000,248387500,2061,1000.0,1304.0
2012-02-12,1369.0,1369.0,1320.0,1365.0,103516867261,75848282,4290,1304.0,1369.0
2012-02-13,1379.0,1397.0,1301.0,1350.0,31646815791,23435322,2189,1365.0,1311.0
2012-02-14,1320.0,1324.0,1293.0,1304.0,16101932134,12352753,1051,1350.0,1317.0
2012-02-15,1311.0,1324.0,1282.0,1301.0,12234238887,9402675,680,1304.0,1290.0
2012-02-18,1290.0,1323.0,1290.0,1306.0,14062469908,10763775,682,1301.0,1300.0
2012-02-19,1300.0,1313.0,1268.0,1295.0,10733273656,8287222,559,1306.0,1280.0
2012-02-20,1251.0,1270.0,1235.0,1249.0,9062729299,7255902,576,1295.0,1240.0
2012-03-18,1450.0,1549.0,1402.0,1478.0,74623129847,50477765,2394,1249.0,1505.0
2012-03-24,1551.0,1551.0,1551.0,1551.0,1210122771,780221,43,1478.0,1551.0
2012-03-25,1628.0,1628.0,1628.0,1628.0,1802917204,1107443,36,1551.0,1628.0
2012-03-26,1683.0,1709.0,1580.0,1676.0,60005403566,35810039,2122,1628.0,1709.0
2012-03-27,1750.0,1759.0,1740.0,1757.0,11372795594,6474176,282,1676.0,1759.0
2012-03-28,1844.0,1844.0,1844.0,1844.0,863502788,468277,22,1757.0,1844.0
2012-04-02,1899.0,1925.0,1822.0,1881.0,84433282081,44896673,2207,1844.0,1851.0
2012-04-03,1821.0,1830.0,1787.0,1796.0,23208339969,12919026,636,1881.0,1787.0
2012-04-04,1752.0,1810.0,1748.0,1782.0,22513323615,12630819,793,1796.0,1784.0
2012-04-07,1770.0,1868.0,1770.0,1848.0,21460412902,11614226,718,1782.0,1852.0
2012-04-08,1900.0,1940.0,1850.0,1930.0,42552119565,22050791,1314,1848.0,1880.0
2012-04-09,1931.0,1965.0,1900.0,1922.0,12486573249,6497534,610,1930.0,1905.0
2012-04-10,1970.0,2018.0,1968.0,1995.0,31431433646,15758626,965,1922.0,2005.0
2012-04-11,2000.0,2094.0,1990.0,2064.0,23218055624,11247915,803,1995.0,2094.0
2012-04-14,2150.0,2167.0,2107.0,2163.0,92104724466,42588864,2155,2064.0,2167.0
