timestamps,open,high,low,close,volume,amount
2024/12/23 12:00,24540.0,24540.0,17500.0,17500.0,169999446,3258044543808
2024/12/24 12:00,19730.0,19730.0,19730.0,19730.0,10162879,200513602670
2024/12/25 12:00,20320.0,20320.0,20320.0,20320.0,3489186,70900259520
2024/12/28 12:00,20900.0,20900.0,20900.0,20900.0,17527376,366322158400
2024/12/29 12:00,21500.0,21500.0,21500.0,21500.0,15606348,335536482000
2024/12/30 12:00,22100.0,22100.0,22100.0,22100.0,23867134,527463661400
2024/12/31 12:00,22750.0,22750.0,22750.0,22750.0,25685298,584340529500
2025/01/01 12:00,23400.0,23400.0,23400.0,23400.0,39386174,921636471600
2025/01/04 12:00,24100.0,24100.0,24100.0,24100.0,18995463,457790658300
2025/01/05 12:00,24800.0,24800.0,24800.0,24800.0,21170518,525028846400
2025/01/06 12:00,25500.0,25500.0,25500.0,25500.0,18278307,466096828500
2025/01/07 12:00,26250.0,26250.0,26250.0,26250.0,18495337,485502596250
2025/01/08 12:00,27000.0,27000.0,27000.0,27000.0,21030723,567829521000
2025/01/11 12:00,27800.0,27800.0,27800.0,27800.0,18794205,522478899000
2025/01/12 12:00,27850.0,28600.0,27000.0,28600.0,166094478,4666173003050
2025/01/13 12:00,28900.0,28900.0,28900.0,28900.0,534707,15453032300
2025/01/19 12:00,29600.0,29600.0,29600.0,29600.0,2449172,72495491200
2025/01/20 12:00,30450.0,30450.0,29950.0,30450.0,113973920,3469114000600
2025/01/21 12:00,31350.0,31350.0,29650.0,31350.0,49652433,1538702551950
2025/01/22 12:00,31850.0,31900.0,31500.0,31900.0,24419119,778553035450
2025/01/25 12:00,32850.0,32850.0,30950.0,31600.0,39338019,1251296072850
2025/01/26 12:00,31500.0,31850.0,30850.0,31100.0,38464840,1192461447400
2025/01/27 12:00,31450.0,31900.0,31450.0,31900.0,27481528,876365227150
2025/01/29 12:00,32850.0,32850.0,32850.0,32850.0,13891570,456338074500
2025/02/01 12:00,33800.0,33800.0,32900.0,33800.0,45930157,1548738266450
2025/02/09 12:00,36000.0,36000.0,36000.0,36000.0,4430826,159509736000
2025/02/11 12:00,37050.0,37050.0,34950.0,34950.0,31318733,1122573338350
2025/02/15 12:00,34800.0,34800.0,34800.0,34800.0,1294600,45052080000
2025/02/16 12:00,33800.0,33800.0,33800.0,33800.0,3950725,133534505000
2025/02/17 12:00,33100.0,34250.0,32800.0,33300.0,38170788,1260776663400
2025/02/18 12:00,33100.0,33800.0,32500.0,32900.0,8755831,289987717200
2025/02/19 12:00,33100.0,33500.0,32150.0,32150.0,12851328,417305168900
2025/02/22 12:00,31900.0,32350.0,31500.0,31500.0,12661118,399216758950
2025/02/23 12:00,31500.0,32450.0,31200.0,32450.0,11618087,371721339150
2025/02/24 12:00,32950.0,32950.0,32500.0,32950.0,9751395,321283024400
2025/02/25 12:00,32950.0,33300.0,32000.0,32000.0,25173262,809343147650
2025/02/26 12:00,31450.0,32400.0,31200.0,31950.0,14663015,461551028100
2025/03/01 12:00,32000.0,32400.0,31400.0,32300.0,6337010,204001535900
2025/03/02 12:00,32250.0,32400.0,31250.0,31250.0,9328415,293128822850
2025/03/03 12:00,30500.0,30500.0,30500.0,30500.0,1733735,52878917500
2025/03/04 12:00,29650.0,31150.0,29600.0,29600.0,10155306,303176050850
2025/03/05 12:00,29000.0,29000.0,29000.0,29000.0,3076171,89208959000
2025/03/08 12:00,28300.0,29750.0,28150.0,28150.0,12936939,365159048950
2025/03/09 12:00,27500.0,28050.0,27450.0,27450.0,9351874,256948104250
2025/03/10 12:00,27550.0,28300.0,27450.0,28300.0,5423811,152323842500
2025/03/11 12:00,28700.0,28900.0,27600.0,28150.0,3566261,101117158650
2025/03/12 12:00,28100.0,28950.0,27850.0,28200.0,2038512,58182754300
2025/03/15 12:00,29050.0,29400.0,28600.0,29400.0,5940466,174621060450
2025/03/16 12:00,29900.0,29900.0,28550.0,28550.0,5311582,153022908950
2025/03/17 12:00,28500.0,28500.0,27950.0,27950.0,4719060,132136050650
2025/03/18 12:00,27200.0,27800.0,27200.0,27400.0,11637089,316675384650
2025/03/25 12:00,27900.0,28000.0,27200.0,28000.0,3045745,85208360750
2025/03/26 12:00,28650.0,28650.0,28000.0,28550.0,2462876,69537065800
2025/03/29 12:00,28250.0,29000.0,28250.0,28600.0,2243833,64202309900
2025/03/30 12:00,28700.0,29450.0,28550.0,29450.0,3881876,113407814200
2025/04/05 12:00,29250.0,30000.0,29050.0,29350.0,2917672,85907989200
2025/04/06 12:00,30100.0,30300.0,29800.0,30300.0,7581969,229539287400
2025/04/07 12:00,31000.0,31000.0,29550.0,29550.0,3857659,115741215800
2025/04/08 12:00,30800.0,30900.0,30300.0,30900.0,6560345,202624977400
2025/04/09 12:00,31000.0,31300.0,30000.0,30000.0,4919809,148224111350
2025/04/12 12:00,29250.0,30050.0,29250.0,29250.0,7599510,222951694050
2025/04/13 12:00,30200.0,30200.0,30100.0,30200.0,10560020,318903817300
2025/04/14 12:00,30900.0,30900.0,29300.0,29400.0,9452963,280185791800
2025/04/15 12:00,29200.0,29700.0,28900.0,29600.0,6227639,181988536300
2025/04/16 12:00,30050.0,30050.0,30050.0,30050.0,1907883,57331884150
2025/04/19 12:00,30900.0,30950.0,30450.0,30900.0,9197527,284175360850
2025/04/20 12:00,31250.0,31800.0,31250.0,31800.0,3652249,116116413450
2025/04/21 12:00,32750.0,32750.0,31000.0,31800.0,12926101,416316455300
2025/04/22 12:00,31250.0,31800.0,31250.0,31250.0,6917425,216336843650
2025/04/23 12:00,30350.0,31400.0,30350.0,31400.0,11903909,363869902400
2025/04/26 12:00,31400.0,31450.0,30900.0,31450.0,10062190,316302154350
2025/04/27 12:00,30750.0,32350.0,30600.0,32300.0,15012804,483081462400
2025/04/28 12:00,32900.0,33000.0,31250.0,31850.0,13097189,416174395600
2025/04/29 12:00,32600.0,32750.0,32000.0,32750.0,6792442,221953083650
2025/04/30 12:00,33650.0,33650.0,33650.0,33650.0,4758459,160122145350
2025/05/03 12:00,32650.0,34650.0,32650.0,33900.0,14283962,481242630350
2025/05/04 12:00,34550.0,34700.0,33800.0,34700.0,11518814,398342553800
2025/05/05 12:00,35200.0,35400.0,33700.0,34750.0,11836584,409351015350
2025/05/06 12:00,34600.0,35600.0,34600.0,35600.0,8297860,295235450300
2025/05/07 12:00,36650.0,36650.0,35900.0,36500.0,20831719,763085041600
2025/05/10 12:00,36750.0,36750.0,35600.0,35600.0,9204367,329278087600
2025/05/11 12:00,35100.0,36000.0,34700.0,35000.0,8585334,300341917700
2025/05/12 12:00,36050.0,36050.0,35350.0,36050.0,5777290,208265734700
2025/05/13 12:00,36500.0,37100.0,35550.0,37100.0,7273155,267348419300
2025/05/14 12:00,37650.0,37850.0,37000.0,37850.0,8405514,317840157150
2025/05/17 12:00,38600.0,38600.0,37400.0,37400.0,7055464,267424077700
2025/05/18 12:00,37400.0,39000.0,37400.0,37800.0,6068723,230745137200
