timestamps,open,high,low,close,volume,amount
2021/09/01 12:00,4650.0,4650.0,4650.0,4650.0,18000000,83700000000
2021/09/04 12:00,4789.0,4789.0,4789.0,4789.0,5022500,24052752500
2021/09/05 12:00,4932.0,4932.0,4932.0,4932.0,5191500,25604478000
2021/09/06 12:00,5079.0,5079.0,5079.0,5079.0,3318849,16856434071
2021/09/07 12:00,5332.0,5332.0,5332.0,5332.0,3554220,18951101040
2021/09/08 12:00,5491.0,5491.0,5491.0,5491.0,2172600,11929746600
2021/09/11 12:00,5655.0,5655.0,5655.0,5655.0,2008864,11360125920
2021/09/12 12:00,5824.0,5824.0,5824.0,5824.0,2054815,11967242560
2021/09/13 12:00,6115.0,6115.0,6115.0,6115.0,2523579,15431685585
2021/09/25 12:00,5932.0,6060.0,5932.0,5932.0,35730502,212016285813
2021/09/26 12:00,5800.0,5930.0,5756.0,5756.0,2647222,15279793689
2021/09/28 12:00,5599.0,5599.0,5599.0,5599.0,155470,870476530
2021/09/29 12:00,5584.0,5670.0,5584.0,5584.0,20298648,113427457865
2021/10/02 12:00,5551.0,5700.0,5421.0,5421.0,5205985,28314468883
2021/10/03 12:00,5300.0,5429.0,5276.0,5276.0,2629492,13909392336
2021/10/04 12:00,5132.0,5245.0,5132.0,5245.0,11468048,58991780135
2021/10/06 12:00,5298.0,5298.0,5246.0,5298.0,4270240,22607815824
2021/10/09 12:00,5380.0,5388.0,5136.0,5136.0,3868119,20200337655
2021/10/10 12:00,5067.0,5200.0,5066.0,5066.0,6020152,30585142513
2021/10/11 12:00,5066.0,5170.0,4928.0,4928.0,3872139,19317934661
2021/10/12 12:00,4840.0,4900.0,4840.0,4840.0,2043676,9899132026
2021/10/13 12:00,4699.0,4830.0,4699.0,4699.0,7933178,37341891827
2021/10/16 12:00,4800.0,4942.0,4714.0,4902.0,14220880,69510636726
2021/10/17 12:00,4900.0,4939.0,4742.0,4742.0,8701924,41399118973
2021/10/18 12:00,4720.0,4796.0,4615.0,4615.0,1841130,8598815833
2021/10/19 12:00,4542.0,4773.0,4542.0,4542.0,28536096,130010043811
2021/10/20 12:00,4557.0,4599.0,4420.0,4420.0,2806552,12534609229
2021/10/23 12:00,4360.0,4420.0,4333.0,4333.0,931357,4049144894
2021/10/25 12:00,4285.0,4285.0,4285.0,4285.0,99780,427557300
2021/10/26 12:00,4191.0,4191.0,4191.0,4191.0,1389866,5824928406
2021/10/27 12:00,4146.0,4146.0,4146.0,4146.0,1184997,4912997562
2021/10/30 12:00,4126.0,4200.0,4080.0,4080.0,6426329,26391915451
2021/10/31 12:00,3984.0,3984.0,3984.0,3984.0,347302,1383651168
2021/11/01 12:00,3885.0,4089.0,3885.0,3885.0,24839058,96873084507
2021/11/02 12:00,3783.0,3930.0,3783.0,3900.0,27490184,104816683498
2021/11/03 12:00,3917.0,3927.0,3830.0,3916.0,24317636,95090639150
2021/11/06 12:00,3916.0,3978.0,3803.0,3900.0,12338213,48272009022
2021/11/07 12:00,3863.0,3920.0,3795.0,3795.0,4884645,18734059713
2021/11/08 12:00,3733.0,3869.0,3720.0,3850.0,7173932,26856877675
2021/11/09 12:00,3856.0,3856.0,3856.0,3856.0,23522202,90701610912
2021/11/10 12:00,3971.0,3971.0,3971.0,3971.0,3029564,12030398644
2021/11/13 12:00,4080.0,4090.0,3865.0,4090.0,31862123,129270427904
2021/11/14 12:00,4100.0,4250.0,3957.0,4089.0,10761657,44410503780
2021/11/15 12:00,4127.0,4168.0,4004.0,4004.0,6269557,25224050942
2021/11/16 12:00,3903.0,3997.0,3903.0,3903.0,4830158,18916033354
2021/11/17 12:00,3850.0,4028.0,3850.0,4024.0,3372792,13290492045
2021/11/20 12:00,4050.0,4059.0,3960.0,3980.0,4081793,16366861666
2021/11/21 12:00,4000.0,4080.0,3921.0,4034.0,4611322,18485931292
2021/11/22 12:00,4094.0,4094.0,3889.0,3889.0,6187954,24296633560
2021/11/23 12:00,3878.0,3918.0,3809.0,3809.0,5209878,19957392737
2021/11/24 12:00,3760.0,3808.0,3717.0,3781.0,6500450,24214814892
2021/11/27 12:00,3796.0,3796.0,3614.0,3614.0,4402389,15934611746
2021/11/28 12:00,3515.0,3660.0,3512.0,3512.0,5966858,21068063818
2021/11/29 12:00,3499.0,3530.0,3426.0,3519.0,5279518,18227864351
2021/11/30 12:00,3518.0,3547.0,3400.0,3514.0,1519623,5285328423
2021/12/01 12:00,3502.0,3538.0,3365.0,3469.0,2132175,7305629271
2021/12/04 12:00,3500.0,3535.0,3332.0,3440.0,2726549,9287091754
2021/12/05 12:00,3466.0,3466.0,3308.0,3326.0,2000322,6728185064
2021/12/06 12:00,3350.0,3478.0,3309.0,3478.0,5183605,17931658996
2021/12/07 12:00,3529.0,3540.0,3406.0,3497.0,1686612,5907063566
2021/12/08 12:00,3484.0,3538.0,3380.0,3463.0,4612930,15733226411
2021/12/11 12:00,3457.0,3457.0,3343.0,3399.0,1545582,5270850325
2021/12/12 12:00,3442.0,3442.0,3309.0,3309.0,2027182,6718307028
2021/12/13 12:00,3245.0,3360.0,3244.0,3244.0,1032110,3360467064
2021/12/14 12:00,3214.0,3347.0,3214.0,3214.0,1619547,5229653198
2021/12/15 12:00,3169.0,3260.0,3169.0,3169.0,1594216,5057748866
2021/12/18 12:00,3169.0,3216.0,3120.0,3200.0,3357621,10597688191
2021/12/19 12:00,3099.0,3195.0,3062.0,3195.0,2238043,6968942252
2021/12/20 12:00,3126.0,3190.0,3126.0,3181.0,1750759,5522538206
2021/12/21 12:00,3100.0,3236.0,3085.0,3236.0,2921499,9403280049
2021/12/22 12:00,3307.0,3310.0,3215.0,3310.0,1276174,4223542232
2021/12/25 12:00,3350.0,3350.0,3172.0,3286.0,2310866,7552594450
2021/12/26 12:00,3270.0,3346.0,3200.0,3240.0,1128270,3638648908
2021/12/27 12:00,3286.0,3286.0,3171.0,3192.0,3665370,11906017756
2021/12/28 12:00,3243.0,3285.0,3151.0,3164.0,2877979,9129086765
2021/12/29 12:00,3101.0,3272.0,3082.0,3208.0,4875654,15315479085
2022/01/01 12:00,3200.0,3235.0,3200.0,3235.0,7875909,25462639024
2022/01/02 12:00,3329.0,3329.0,3329.0,3329.0,3229737,10751794473
2022/01/03 12:00,3428.0,3428.0,3428.0,3428.0,2390325,8194034100
2022/01/04 12:00,3573.0,3573.0,3233.0,3401.0,20749549,71628900909
2022/01/05 12:00,3362.0,3362.0,3349.0,3349.0,1298666,4349737143
2022/01/08 12:00,3308.0,3308.0,3308.0,3308.0,2621460,8671789680
2022/01/09 12:00,3220.0,3220.0,3220.0,3220.0,383326,1234309720
2022/01/10 12:00,3141.0,3298.0,3141.0,3200.0,4965211,15641306438
2022/01/11 12:00,3225.0,3225.0,3061.0,3111.0,2367358,7403595396
2022/01/12 12:00,3130.0,3190.0,3050.0,3160.0,5012803,15644253149
2022/01/15 12:00,3189.0,3213.0,3091.0,3142.0,2195223,6901438676
2022/01/16 12:00,3140.0,3189.0,3043.0,3109.0,4468298,13823369966
2022/01/17 12:00,3125.0,3130.0,3002.0,3002.0,2936665,8927816288
2022/01/18 12:00,3050.0,3090.0,2956.0,3000.0,6954354,21134615282
2022/01/19 12:00,3050.0,3060.0,2961.0,3044.0,2601532,7859036664
2022/01/22 12:00,3110.0,3110.0,2950.0,2980.0,1890181,5695037754
2022/01/23 12:00,2940.0,3018.0,2928.0,2950.0,3818137,11282088395
2022/01/24 12:00,2903.0,3043.0,2868.0,2990.0,4413134,13205576718
2022/01/25 12:00,3030.0,3050.0,2903.0,2980.0,4087478,12068060253
2022/01/26 12:00,2970.0,3040.0,2905.0,3020.0,2559977,7641708016
2022/01/29 12:00,3039.0,3067.0,2990.0,3067.0,2847636,8708935127
2022/01/30 12:00,3082.0,3137.0,3051.0,3137.0,3273042,10224788143
2022/01/31 12:00,3190.0,3214.0,3130.0,3210.0,1835281,5844440337
2022/02/01 12:00,3200.0,3250.0,3172.0,3247.0,2651736,8544390758
2022/02/02 12:00,3250.0,3304.0,3200.0,3304.0,1749716,5726897303
2022/02/05 12:00,3305.0,3339.0,3280.0,3339.0,3049284,10152762571
2022/02/06 12:00,3425.0,3425.0,3230.0,3230.0,2999779,9937559105
2022/02/07 12:00,3270.0,3270.0,3214.0,3214.0,579050,1862356700
2022/02/08 12:00,3197.0,3294.0,3197.0,3197.0,4265034,13659660832
2022/02/09 12:00,3250.0,3274.0,3107.0,3200.0,4558767,14322343974
2022/02/12 12:00,3220.0,3229.0,3108.0,3156.0,921620,2901287732
2022/02/13 12:00,3154.0,3155.0,3070.0,3112.0,839436,2600164779
2022/02/14 12:00,3149.0,3174.0,3101.0,3105.0,1145391,3606519006
2022/02/16 12:00,3149.0,3149.0,3102.0,3110.0,369460,1157850166
2022/02/19 12:00,3199.0,3199.0,3140.0,3179.0,1039463,3311609187
2022/02/20 12:00,3225.0,3229.0,3070.0,3170.0,1091524,3443126621
2022/02/21 12:00,3198.0,3220.0,3133.0,3150.0,1093731,3456010964
2022/02/22 12:00,3206.0,3206.0,3151.0,3180.0,1116663,3545784553
2022/02/23 12:00,3199.0,3257.0,3161.0,3250.0,1522224,4915434294
2022/02/26 12:00,3270.0,3273.0,3185.0,3215.0,964918,3096948779
2022/02/27 12:00,3266.0,3266.0,3170.0,3186.0,537087,1717902978
2022/02/28 12:00,3239.0,3244.0,3171.0,3215.0,987618,3175479586
2022/03/02 12:00,3154.0,3250.0,3154.0,3229.0,735627,2374813224
2022/03/05 12:00,3296.0,3298.0,3225.0,3274.0,1573270,5114317113
2022/03/06 12:00,3290.0,3290.0,3201.0,3253.0,1245544,4057290304
2022/03/07 12:00,3243.0,3339.0,3243.0,3290.0,1816703,6006972106
2022/03/08 12:00,3336.0,3340.0,3280.0,3330.0,1119525,3718118120
2022/03/09 12:00,3300.0,3389.0,3290.0,3370.0,1180085,3933745056
2022/03/12 12:00,3369.0,3369.0,3256.0,3285.0,548410,1817700242
2022/03/13 12:00,3212.0,3330.0,3212.0,3290.0,1883888,6135536023
2022/03/14 12:00,3230.0,3288.0,3223.0,3275.0,794694,2573716316
2022/03/15 12:00,3212.0,3260.0,3183.0,3212.0,1034491,3321067954
2022/03/16 12:00,3240.0,3325.0,3240.0,3271.0,260779,852591325
2022/03/19 12:00,3324.0,3347.0,3270.0,3347.0,1827516,6054295830
2022/03/26 12:00,3385.0,3385.0,3316.0,3331.0,819707,2761997906
2022/03/27 12:00,3384.0,3384.0,3318.0,3350.0,679018,2274919877
2022/03/29 12:00,3323.0,3400.0,3303.0,3324.0,1896793,6327748260
2022/03/30 12:00,3325.0,3380.0,3280.0,3369.0,1629545,5400643946
2022/04/03 12:00,3333.0,3420.0,3333.0,3405.0,5325765,18154994134
2022/04/04 12:00,3480.0,3511.0,3401.0,3511.0,4827707,16881528747
2022/04/05 12:00,3550.0,3601.0,3550.0,3601.0,1463954,5268438450
2022/04/06 12:00,3652.0,3652.0,3652.0,3652.0,3981704,14541183008
2022/04/09 12:00,3761.0,3761.0,3761.0,3761.0,2007948,7551892428
2022/04/10 12:00,3918.0,3918.0,3918.0,3918.0,2744008,10751023344
2022/04/11 12:00,4035.0,4035.0,4035.0,4035.0,5384945,21728253075
2022/04/12 12:00,4156.0,4156.0,3914.0,3914.0,15267140,62122802362
2022/04/13 12:00,4191.0,4191.0,4191.0,4191.0,3667169,15369105279
