timestamps,open,high,low,close,volume,amount
2002/06/15 12:00,1855.0,1900.0,1850.0,1851.0,603000,1119110000
2002/06/16 12:00,1943.0,1943.0,1943.0,1943.0,597000,1159971000
2002/06/17 12:00,2040.0,2040.0,2040.0,2040.0,1000,2040000
2002/06/18 12:00,2142.0,2142.0,2142.0,2142.0,2000,4284000
2002/06/19 12:00,2195.0,2195.0,2189.0,2195.0,91900,201684100
2002/06/22 12:00,2196.0,2249.0,2181.0,2182.0,102723,226285809
2002/06/23 12:00,2128.0,2128.0,2128.0,2128.0,15390,32749920
2002/06/24 12:00,2123.0,2123.0,2075.0,2075.0,180483,378774694
2002/07/17 12:00,2003.0,2010.0,2003.0,2010.0,25000,50180000
2002/07/20 12:00,2010.0,2110.0,2010.0,2010.0,1201500,2533265000
2002/07/21 12:00,2110.0,2110.0,2110.0,2110.0,386650,815831500
2002/07/23 12:00,2080.0,2080.0,2080.0,2080.0,3500,7280000
2002/07/24 12:00,2050.0,2050.0,2050.0,2050.0,5000,10250000
2002/07/27 12:00,2000.0,2000.0,2000.0,2000.0,12677,25354000
2002/07/28 12:00,2000.0,2000.0,2000.0,2000.0,15000,30000000
2002/07/30 12:00,1996.0,1998.0,1996.0,1998.0,29195,58303220
2002/07/31 12:00,2002.0,2002.0,2002.0,2002.0,137200,274674400
2002/08/03 12:00,2004.0,2004.0,2003.0,2004.0,17500,35069000
2002/08/04 12:00,2004.0,2004.0,2004.0,2004.0,10000,20040000
2002/08/05 12:00,2009.0,2050.0,2009.0,2050.0,24000,49026000
2002/08/10 12:00,2050.0,2050.0,2050.0,2050.0,23000,47150000
2002/08/11 12:00,2050.0,2050.0,2050.0,2050.0,20000,41000000
2002/08/13 12:00,2050.0,2050.0,2050.0,2050.0,1000,2050000
2002/08/14 12:00,2050.0,2050.0,2050.0,2050.0,10000,20500000
2002/08/18 12:00,2049.0,2049.0,2049.0,2049.0,10000,20490000
2002/08/20 12:00,2000.0,2002.0,2000.0,2001.0,8600,17208600
2002/08/21 12:00,2001.0,2001.0,2001.0,2001.0,2200,4402200
2002/08/24 12:00,2000.0,2001.0,2000.0,2001.0,6984,13971884
2002/09/04 12:00,1901.0,1901.0,1901.0,1901.0,13000,24713000
2002/09/08 12:00,1899.0,1899.0,1899.0,1899.0,6973,13241727
2002/09/09 12:00,1880.0,1880.0,1880.0,1880.0,240,451200
2002/09/11 12:00,1880.0,1880.0,1880.0,1880.0,6860,12896800
2002/09/17 12:00,1810.0,1810.0,1810.0,1810.0,14000,25340000
2002/09/23 12:00,1720.0,1720.0,1720.0,1720.0,7090,12194800
2002/09/29 12:00,1720.0,1720.0,1720.0,1720.0,9270,15944400
2002/10/01 12:00,1720.0,1720.0,1720.0,1720.0,2042,3512240
2002/10/14 12:00,1806.0,1806.0,1806.0,1806.0,2000,3612000
2002/10/15 12:00,1810.0,1850.0,1810.0,1850.0,20000,36600000
2002/10/16 12:00,1890.0,1940.0,1890.0,1940.0,11974,22930860
2002/10/19 12:00,2030.0,2030.0,2030.0,2030.0,16200,32886000
2002/10/20 12:00,2030.0,2030.0,2030.0,2030.0,10010,20320300
2002/10/21 12:00,2070.0,2070.0,2070.0,2070.0,10000,20700000
2002/10/23 12:00,2110.0,2110.0,2110.0,2110.0,16027,33816970
2002/10/26 12:00,2150.0,2150.0,2150.0,2150.0,9793,21054950
2002/10/27 12:00,2190.0,2200.0,2190.0,2200.0,6000,13150000
2002/10/28 12:00,2230.0,2230.0,2230.0,2230.0,9850,21965500
2002/10/29 12:00,2240.0,2240.0,2240.0,2240.0,10000,22400000
2002/10/30 12:00,2240.0,2250.0,2240.0,2250.0,10000,22490000
2002/11/02 12:00,2260.0,2260.0,2260.0,2260.0,10870,24566200
2002/11/03 12:00,2270.0,2270.0,2260.0,2270.0,65500,148565000
2002/11/04 12:00,2265.0,2270.0,2265.0,2265.0,22198,50314460
2002/11/05 12:00,2265.0,2270.0,2265.0,2270.0,21200,48024000
2002/11/06 12:00,2265.0,2300.0,2265.0,2300.0,17602,39963530
2002/11/09 12:00,2350.0,2350.0,2350.0,2350.0,247200,580920000
2002/11/10 12:00,2400.0,2400.0,2400.0,2400.0,178400,428160000
2002/11/13 12:00,2450.0,2450.0,2400.0,2450.0,119090,290845770
2002/11/16 12:00,2500.0,2500.0,2500.0,2500.0,106400,266000000
2002/11/17 12:00,2550.0,2550.0,2550.0,2550.0,6506,16590300
2002/11/18 12:00,2600.0,2600.0,2600.0,2600.0,15000,39000000
2002/11/19 12:00,2600.0,2730.0,2600.0,2730.0,182002,496683200
2002/11/20 12:00,2800.0,2800.0,2800.0,2800.0,10000,28000000
2002/11/23 12:00,2850.0,2850.0,2850.0,2850.0,5676,16176600
2002/11/30 12:00,2849.0,2849.0,2849.0,2849.0,494,1407406
2002/12/09 12:00,2850.0,2850.0,2850.0,2850.0,1000,2850000
2002/12/10 12:00,2850.0,2992.0,2850.0,2992.0,1587230,4748718160
2002/12/11 12:00,2990.0,3141.0,2990.0,2991.0,1595000,5006700000
2002/12/14 12:00,3100.0,3100.0,3100.0,3100.0,1584100,4910710000
2002/12/15 12:00,3106.0,3120.0,3099.0,3099.0,767865,2395278500
2002/12/16 12:00,3098.0,3098.0,3098.0,3098.0,1149360,3560717280
2002/12/17 12:00,2944.0,2944.0,2944.0,2944.0,400000,1177600000
2002/12/18 12:00,2930.0,2943.0,2930.0,2930.0,100500,295765000
2002/12/22 12:00,2880.0,2880.0,2784.0,2784.0,17230,48928320
2002/12/28 12:00,2645.0,2645.0,2645.0,2645.0,1000,2645000
2002/12/31 12:00,2636.0,2636.0,2636.0,2636.0,320,843520
2003/01/21 12:00,2586.0,2586.0,2586.0,2586.0,615,1590390
2003/02/01 12:00,2576.0,2576.0,2576.0,2576.0,375,966000
2003/02/02 12:00,2577.0,2577.0,2577.0,2577.0,270,695790
2003/03/08 12:00,2500.0,2500.0,2500.0,2500.0,1000,2500000
2003/03/10 12:00,2545.0,2560.0,2545.0,2560.0,576805,1476277830
2003/03/18 12:00,2432.0,2432.0,2432.0,2432.0,2000,4864000
2003/05/14 12:00,2600.0,2600.0,2600.0,2600.0,1000,2600000
