timestamps,open,high,low,close,volume,amount
2014/03/15 12:00,4200.0,4200.0,4200.0,4200.0,6999280,29396976000
2014/03/16 12:00,4410.0,4410.0,4410.0,4410.0,9009,39729690
2014/03/17 12:00,4630.0,4630.0,4630.0,4630.0,8732,40429160
2014/03/18 12:00,4861.0,4861.0,4861.0,4861.0,17915,87084815
2014/03/19 12:00,5104.0,5104.0,5104.0,5104.0,91886,468986144
2014/03/25 12:00,5359.0,5359.0,5359.0,5359.0,78117,418629003
2014/03/26 12:00,5626.0,5626.0,5626.0,5626.0,86624,487346624
2014/03/29 12:00,5907.0,5907.0,5907.0,5907.0,55183,325965981
2014/03/30 12:00,6202.0,6202.0,6202.0,6202.0,28288,175442176
2014/03/31 12:00,6512.0,6512.0,6512.0,6512.0,15762,102642144
2014/04/05 12:00,6837.0,6837.0,6837.0,6837.0,27537,188270469
2014/04/06 12:00,7178.0,7178.0,7178.0,7178.0,84014,603052492
2014/04/07 12:00,7536.0,7536.0,7536.0,7536.0,172253,1298098608
2014/04/08 12:00,7912.0,7912.0,7912.0,7912.0,143982,1139185584
2014/04/09 12:00,8307.0,8307.0,8307.0,8307.0,773516,6425597412
2014/04/12 12:00,8577.0,8722.0,8100.0,8722.0,6961055,59831859402
2014/04/13 12:00,8690.0,8690.0,8166.0,8166.0,379824,3179795313
2014/04/14 12:00,7954.0,7954.0,7954.0,7954.0,17864,142090256
2014/04/15 12:00,7557.0,8070.0,7557.0,7557.0,2736874,20896001240
2014/04/16 12:00,7635.0,7950.0,7350.0,7565.0,1193836,9196850261
2014/04/19 12:00,7500.0,7500.0,7319.0,7319.0,238754,1753703711
2014/06/18 12:00,7214.0,7600.0,7021.0,7110.0,602790,4377733028
2014/06/21 12:00,6932.0,6990.0,6899.0,6899.0,95635,661693312
2014/06/22 12:00,6574.0,6574.0,6574.0,6574.0,13354,87789196
2014/06/23 12:00,6246.0,6902.0,6246.0,6902.0,1296316,8719930946
2014/06/24 12:00,6908.0,7063.0,6800.0,7063.0,190300,1339369203
2014/06/25 12:00,7170.0,7379.0,6687.0,6687.0,827409,5723534626
