timestamps,open,high,low,close,volume,amount
2011/10/16 12:00,1700.0,1700.0,1349.0,1350.0,509500,690465500
2011/10/17 12:00,1288.0,1372.0,1288.0,1372.0,483320,662695040
2011/10/18 12:00,1352.0,1352.0,1320.0,1320.0,8000,10684256
2011/10/19 12:00,1402.0,1402.0,1402.0,1402.0,10235,14349470
2011/10/22 12:00,1472.0,1472.0,1460.0,1472.0,92174,135674008
2011/10/23 12:00,1460.0,1520.0,1400.0,1400.0,8574,12327750
2011/10/26 12:00,1367.0,1367.0,1367.0,1367.0,100,136700
2011/10/29 12:00,1360.0,1360.0,1299.0,1300.0,24500,32748500
2011/11/02 12:00,1271.0,1271.0,1271.0,1271.0,7000,8897000
2011/11/05 12:00,1208.0,1208.0,1208.0,1208.0,43683,52769064
2011/11/06 12:00,1148.0,1148.0,1148.0,1148.0,10699,12282452
2011/11/08 12:00,1091.0,1091.0,1091.0,1091.0,18783,20492253
2011/11/09 12:00,1037.0,1081.0,1037.0,1080.0,67137,70980034
2011/11/13 12:00,1050.0,1050.0,1015.0,1016.0,35000,36141680
2011/11/14 12:00,1000.0,1040.0,1000.0,1040.0,21670,22270000
2011/11/16 12:00,1079.0,1079.0,1076.0,1079.0,29517,31822215
2011/11/19 12:00,1120.0,1131.0,1079.0,1131.0,73952,83432808
2011/11/20 12:00,1184.0,1184.0,1184.0,1184.0,18010,21323840
2011/11/21 12:00,1243.0,1243.0,1243.0,1243.0,5000,6215000
2011/11/22 12:00,1305.0,1305.0,1305.0,1305.0,65247,85147335
2011/11/23 12:00,1370.0,1370.0,1290.0,1359.0,461724,629098900
2011/11/26 12:00,1294.0,1294.0,1294.0,1294.0,9002,11648588
2011/11/27 12:00,1230.0,1294.0,1230.0,1280.0,201758,251540340
2011/11/28 12:00,1185.0,1185.0,1185.0,1185.0,100,118500
2011/11/29 12:00,1126.0,1220.0,1126.0,1210.0,139000,157197750
2011/11/30 12:00,1187.0,1187.0,1183.0,1183.0,17829,21124975
2011/12/03 12:00,1130.0,1130.0,1126.0,1127.0,78010,87886360
2011/12/04 12:00,1179.0,1179.0,1179.0,1179.0,5000,5895000
2011/12/07 12:00,1121.0,1121.0,1121.0,1121.0,45200,50669200
2011/12/10 12:00,1100.0,1100.0,1066.0,1080.0,12400,13267900
2011/12/11 12:00,1070.0,1090.0,1035.0,1090.0,23650,24914500
