timestamps,open,high,low,close,volume,amount
2004/08/29 12:00,12000.0,12021.0,12000.0,12000.0,1570000,18841605000
2004/09/04 12:00,12600.0,12600.0,12600.0,12600.0,1000000,12600000000
2004/09/05 12:00,13230.0,13230.0,7115.0,13230.0,2708823,34449329770
2004/09/07 12:00,13891.0,13891.0,13891.0,13891.0,2980000,41395180000
2004/09/08 12:00,14585.0,14585.0,14585.0,14585.0,1392229,20305659965
2004/09/12 12:00,15314.0,15314.0,15314.0,15314.0,593500,9088859000
2004/09/15 12:00,16079.0,16079.0,15429.0,15429.0,52962,851569498
2004/09/18 12:00,14658.0,15198.0,14658.0,15198.0,105191,1541895078
2004/09/19 12:00,14439.0,15187.0,14439.0,15187.0,4935,71263945
2004/09/20 12:00,14428.0,14785.0,14428.0,14785.0,186015,2683827990
2004/09/21 12:00,14046.0,14345.0,14046.0,14345.0,209243,2939030168
2004/09/22 12:00,14040.0,14050.0,13629.0,13772.0,858755,11827222437
2004/09/25 12:00,13750.0,13750.0,13400.0,13717.0,147584,2013211923
2004/09/26 12:00,13051.0,13680.0,13050.0,13380.0,285239,3794393838
2004/09/27 12:00,13495.0,13495.0,13210.0,13363.0,188904,2521796394
2004/09/28 12:00,13205.0,13300.0,13000.0,13284.0,4999023,65013467888
2004/09/29 12:00,12900.0,13390.0,12900.0,13253.0,88103,1159589235
2004/10/02 12:00,12600.0,13185.0,12600.0,13185.0,43703,555300747
2004/10/03 12:00,12526.0,12798.0,12526.0,12757.0,268317,3387339682
2004/10/04 12:00,12499.0,12647.0,12489.0,12647.0,163128,2042565401
2004/10/05 12:00,12430.0,12492.0,12022.0,12492.0,119388,1455441426
2004/10/06 12:00,12002.0,12433.0,12000.0,12433.0,59341,720830021
2004/10/09 12:00,12000.0,12345.0,11812.0,12345.0,70234,842492892
2004/10/10 12:00,11989.0,12247.0,11751.0,12247.0,94323,1130152513
2004/10/11 12:00,11859.0,12078.0,11635.0,12078.0,148782,1763039587
2004/10/12 12:00,11700.0,12032.0,11475.0,12032.0,30987,358419314
2004/10/13 12:00,11800.0,11934.0,11431.0,11934.0,79430,921364087
