timestamps,open,high,low,close,volume,amount
2001/04/07 12:00,3720.0,3720.0,3720.0,3720.0,5610,20869200
2001/04/08 12:00,3720.0,3771.0,3720.0,3770.0,12044,45286313
2001/04/09 12:00,3751.0,3780.0,3751.0,3780.0,3284,12377384
2001/04/10 12:00,3790.0,3802.0,3790.0,3802.0,6068,23014672
2001/04/11 12:00,3802.0,3900.0,3802.0,3851.0,14358,55183624
2001/04/14 12:00,3860.0,3862.0,3851.0,3851.0,10802,41686660
2001/04/15 12:00,3860.0,3920.0,3851.0,3900.0,19247,74706328
2001/04/25 12:00,2303.0,2420.0,2303.0,2420.0,7478,17384345
2001/04/29 12:00,2541.0,2541.0,2541.0,2541.0,3630,9223830
2001/04/30 12:00,2600.0,2668.0,2600.0,2668.0,3786,10003128
2001/05/01 12:00,2801.0,2801.0,2795.0,2799.0,50574,141652576
2001/05/02 12:00,2786.0,2800.0,2700.0,2800.0,46549,128260615
2001/05/05 12:00,2800.0,2800.0,2793.0,2800.0,51210,143294672
2001/05/06 12:00,2797.0,2800.0,2790.0,2800.0,107254,300098451
2001/05/07 12:00,2799.0,2799.0,2760.0,2770.0,23626,65929462
2001/05/08 12:00,2762.0,2770.0,2701.0,2701.0,13070,35961054
2001/05/09 12:00,2701.0,2701.0,2600.0,2600.0,19632,51902915
2001/05/12 12:00,2698.0,2698.0,2590.0,2590.0,17082,44673146
2001/05/13 12:00,2590.0,2590.0,2500.0,2502.0,16319,41718664
2001/05/15 12:00,2502.0,2590.0,2500.0,2560.0,12348,31352717
2001/05/16 12:00,2566.0,2600.0,2565.0,2590.0,53686,139211062
2001/05/19 12:00,2594.0,2690.0,2585.0,2585.0,60470,157611979
2001/05/20 12:00,2587.0,2589.0,2550.0,2550.0,53349,136977595
2001/05/21 12:00,2585.0,2637.0,2550.0,2552.0,83515,216034150
2001/05/23 12:00,2601.0,2604.0,2575.0,2602.0,528589,1369483053
2001/05/26 12:00,2602.0,2670.0,2602.0,2650.0,22559,59791942
2001/05/27 12:00,2640.0,2698.0,2621.0,2690.0,20800,55299757
2001/05/28 12:00,2690.0,2758.0,2690.0,2755.0,25620,70453748
2001/05/29 12:00,2772.0,2801.0,1889.0,2778.0,56898,156640466
2001/05/30 12:00,2798.0,2800.0,2702.0,2703.0,84582,232428019
2001/06/02 12:00,2738.0,2799.0,2710.0,2750.0,36429,99905087
2001/06/03 12:00,2741.0,2760.0,2701.0,2710.0,33144,90519725
2001/06/06 12:00,2714.0,2741.0,2711.0,2731.0,26229,71778573
2001/06/09 12:00,2725.0,2740.0,2720.0,2731.0,53008,144670273
2001/06/11 12:00,2742.0,2750.0,2700.0,2700.0,28691,78464332
2001/06/12 12:00,2700.0,2700.0,2685.0,2690.0,11059,29813642
2001/06/13 12:00,2690.0,2710.0,1845.0,2690.0,153081,318801586
2001/06/16 12:00,2690.0,2691.0,2650.0,2690.0,19011,50909357
2001/06/17 12:00,2690.0,2690.0,2667.0,2677.0,32863,87866545
2001/06/18 12:00,2678.0,2678.0,1825.0,2649.0,50066,101237951
2001/06/19 12:00,2640.0,2648.0,2600.0,2639.0,57741,151329907
2001/06/20 12:00,2600.0,2633.0,2576.0,2596.0,39797,103594545
2001/06/23 12:00,2625.0,2675.0,2598.0,2670.0,40692,108125020
2001/06/24 12:00,2670.0,2750.0,2670.0,2740.0,48381,130529798
2001/06/25 12:00,2716.0,2740.0,2699.0,2700.0,37298,100951622
2001/06/26 12:00,2698.0,2701.0,2690.0,2700.0,48755,131590360
2001/06/27 12:00,2698.0,2750.0,2690.0,2750.0,203964,551031758
2001/06/30 12:00,2702.0,2758.0,2702.0,2753.0,172273,473729116
2001/07/01 12:00,2753.0,2820.0,2740.0,2820.0,106616,297306617
2001/07/02 12:00,2841.0,2880.0,2806.0,2861.0,102298,292620443
2001/07/03 12:00,2862.0,2885.0,2860.0,2885.0,59090,169752781
2001/07/04 12:00,2890.0,3000.0,2880.0,2975.0,157611,469692674
2001/07/07 12:00,2969.0,2970.0,2860.0,2863.0,28419,82649120
2001/07/08 12:00,2863.0,2929.0,2863.0,2890.0,38795,112362542
2001/07/09 12:00,2881.0,2926.0,2850.0,2870.0,105414,303611801
2001/07/10 12:00,2870.0,2870.0,2799.0,2850.0,285306,799473868
2001/07/11 12:00,2848.0,2869.0,2801.0,2869.0,27590,78088193
2001/07/14 12:00,2918.0,3010.0,2870.0,2949.0,179146,528302287
2001/08/22 12:00,2978.0,3050.0,2890.0,2899.0,276387,822552850
2001/08/25 12:00,2896.0,2896.0,2840.0,2869.0,100400,288208895
2001/08/26 12:00,2895.0,2902.0,2812.0,2839.0,145031,414951318
2001/08/27 12:00,2812.0,2820.0,2775.0,2800.0,107310,300920973
2001/08/28 12:00,2810.0,2828.0,2779.0,2828.0,207152,579296273
2001/08/29 12:00,2800.0,2800.0,2775.0,2789.0,124360,347334020
2001/09/01 12:00,2705.0,2780.0,2705.0,2770.0,146111,402924672
2001/09/02 12:00,2737.0,2740.0,2632.0,2698.0,79687,214947447
2001/09/03 12:00,2602.0,2698.0,2580.0,2698.0,421196,1114168379
2001/09/04 12:00,2688.0,2700.0,2607.0,2700.0,255927,687754933
2001/09/05 12:00,2670.0,2760.0,2670.0,2760.0,71078,191946110
2001/09/08 12:00,2759.0,2800.0,2759.0,2800.0,71609,199845889
2001/09/09 12:00,2870.0,2870.0,2800.0,2870.0,120537,343699505
2001/09/10 12:00,2871.0,2880.0,2849.0,2849.0,78754,225919893
2001/09/11 12:00,2833.0,2850.0,2810.0,2850.0,120077,341358807
2001/09/12 12:00,2760.0,2800.0,2710.0,2780.0,53012,147428483
2001/09/15 12:00,2768.0,2778.0,2730.0,2778.0,154005,425354598
2001/09/16 12:00,2650.0,2778.0,2648.0,2777.0,491842,1357043449
2001/09/17 12:00,2645.0,2765.0,2640.0,2765.0,593854,1626783274
2001/09/18 12:00,2736.0,2750.0,2720.0,2743.0,266208,731228202
2001/09/19 12:00,2720.0,2750.0,2713.0,2750.0,178077,485446745
