timestamps,open,high,low,close,volume,amount
2006/12/23 12:00,2411.0,2411.0,2350.0,2383.0,11840000,28222813038
2006/12/24 12:00,2400.0,2416.0,2386.0,2386.0,373908,894494938
2006/12/25 12:00,2395.0,2395.0,2340.0,2376.0,821080,1947938928
2006/12/26 12:00,2380.0,2423.0,2351.0,2374.0,589895,1398979721
2006/12/27 12:00,2397.0,2400.0,2360.0,2379.0,332010,793901432
2006/12/30 12:00,2390.0,2396.0,2360.0,2379.0,55962,133628290
2007/01/01 12:00,2343.0,2383.0,2332.0,2376.0,165131,388759435
2007/01/02 12:00,2376.0,2376.0,2371.0,2376.0,30867,73232480
2007/01/03 12:00,2350.0,2387.0,2350.0,2376.0,33758,79734975
2007/01/13 12:00,2329.0,2376.0,2329.0,2376.0,5988,13946522
2007/01/31 12:00,2329.0,2376.0,2329.0,2376.0,110,256660
2007/02/21 12:00,2329.0,2376.0,2329.0,2376.0,5010,11668760
2007/02/24 12:00,2329.0,2376.0,2329.0,2376.0,2110,4914660
2007/02/27 12:00,2329.0,2376.0,2329.0,2376.0,7450,17351520
2007/02/28 12:00,2329.0,2376.0,2329.0,2376.0,10010,23313760
2007/03/03 12:00,2329.0,2342.0,2329.0,2342.0,877850,2044612780
2007/03/04 12:00,2349.0,2386.0,2342.0,2343.0,163214,383794831
2007/03/05 12:00,2344.0,2384.0,2343.0,2343.0,77503,181848771
2007/03/06 12:00,2343.0,2343.0,2336.0,2343.0,102830,240775790
2007/03/07 12:00,2330.0,2343.0,2330.0,2343.0,101034,236699350
2007/03/11 12:00,2297.0,2343.0,2297.0,2343.0,2605,5984145
2007/03/13 12:00,2297.0,2339.0,2297.0,2339.0,103237,237187037
2007/03/14 12:00,2297.0,2340.0,2293.0,2339.0,6661,15568927
2007/03/17 12:00,2340.0,2340.0,2293.0,2338.0,27010,62114960
2007/03/27 12:00,2383.0,2383.0,2338.0,2338.0,8173,19475809
2007/03/28 12:00,2338.0,2338.0,2338.0,2338.0,835,1952230
2007/03/31 12:00,2382.0,2383.0,2338.0,2338.0,4037,9616221
2007/04/03 12:00,2338.0,2338.0,2337.0,2338.0,30000,70130000
2007/04/07 12:00,2342.0,2342.0,2295.0,2338.0,1010,2360811
2007/04/10 12:00,2380.0,2384.0,2369.0,2369.0,816162,1945705046
2007/04/11 12:00,2416.0,2416.0,2370.0,2370.0,36811,88000023
2007/04/14 12:00,2370.0,2381.0,2370.0,2370.0,26651,63294124
2007/04/15 12:00,2370.0,2370.0,2369.0,2370.0,24010,56888710
2007/04/16 12:00,2370.0,2388.0,2370.0,2370.0,3010,7151700
2007/04/17 12:00,2370.0,2370.0,2370.0,2370.0,1257,2979090
2007/04/18 12:00,2326.0,2368.0,2325.0,2368.0,40343,93806108
2007/04/21 12:00,2370.0,2370.0,2368.0,2368.0,2740,6493780
