timestamps,open,high,low,close,volume,amount
2003/11/09 12:00,6525.0,6525.0,6500.0,6511.0,990000,6446968011
2003/11/10 12:00,6836.0,6836.0,6836.0,6836.0,1010000,6904360000
2003/11/11 12:00,7177.0,7177.0,4089.0,7177.0,850000,3601022800
2003/11/12 12:00,7535.0,7535.0,7535.0,7535.0,200000,1507000000
2003/11/15 12:00,7538.0,7911.0,7159.0,7641.0,346295,2646083443
2003/11/17 12:00,7259.0,7458.0,7259.0,7458.0,17226,125043733
2003/11/18 12:00,7086.0,7432.0,7086.0,7432.0,2514,17814550
2003/11/19 12:00,7061.0,7265.0,7061.0,7265.0,16205,114423709
2003/11/22 12:00,6902.0,7215.0,6902.0,7215.0,4925,33995480
2003/11/23 12:00,6855.0,7089.0,6855.0,7089.0,12574,86197110
2003/11/24 12:00,6735.0,6898.0,6735.0,6898.0,19364,130418170
2003/11/25 12:00,6554.0,6855.0,6554.0,6618.0,175389,1160797438
2003/11/29 12:00,6855.0,6948.0,6854.0,6889.0,66380,457314867
2003/11/30 12:00,7100.0,7233.0,6948.0,7164.0,121534,870715910
2004/02/28 12:00,7328.0,7328.0,7010.0,7125.0,18437,130695906
2004/03/09 12:00,6769.0,7125.0,6769.0,7125.0,20,138940
2004/03/15 12:00,6769.0,6769.0,6769.0,6769.0,50350,340819150
2004/03/16 12:00,6431.0,6431.0,6431.0,6431.0,159817,1027783127
2004/03/17 12:00,6111.0,6450.0,3556.0,6301.0,303609,1231164366
2004/03/27 12:00,6500.0,6616.0,6500.0,6522.0,25915,171273385
2004/03/28 12:00,6616.0,6617.0,6500.0,6536.0,6164,40723274
2004/03/29 12:00,6300.0,6521.0,6300.0,6521.0,3135,19960310
2004/03/30 12:00,6195.0,6494.0,6195.0,6494.0,2892,17918930
2004/04/06 12:00,6170.0,6475.0,6170.0,6475.0,2699,16655880
2004/04/10 12:00,6152.0,6447.0,6152.0,6447.0,4107,25269214
2004/04/12 12:00,6125.0,6411.0,6125.0,6411.0,5285,32373485
2004/04/13 12:00,6091.0,6308.0,6091.0,6308.0,15410,93864480
2004/05/19 12:00,5993.0,6308.0,5993.0,6308.0,15,93045
2004/05/24 12:00,5993.0,6308.0,5993.0,6308.0,20,123010
2004/06/09 12:00,5993.0,5993.0,5993.0,5993.0,500,2996500
2004/06/14 12:00,5694.0,5694.0,5694.0,5694.0,1343,7647042
2004/06/16 12:00,5410.0,5410.0,5410.0,5410.0,650,3516500
2004/06/19 12:00,5140.0,5140.0,5140.0,5140.0,1120,5756800
2004/06/20 12:00,4883.0,4883.0,4883.0,4883.0,50385,246029955
2004/06/22 12:00,4639.0,4639.0,4639.0,4639.0,1928,8943992
2004/07/12 12:00,3502.0,3603.0,3501.0,3532.0,16143,57028086
2004/07/26 12:00,3356.0,3356.0,3356.0,3356.0,1000,3356000
2004/07/27 12:00,3189.0,3189.0,3189.0,3189.0,20000,63780000
2004/08/01 12:00,3030.0,3180.0,3030.0,3180.0,2510,7606800
2004/08/03 12:00,3021.0,3176.0,3021.0,3176.0,995,3007445
2004/08/15 12:00,3018.0,3173.0,3018.0,3173.0,667,2014556
2004/08/17 12:00,3015.0,3075.0,3015.0,3075.0,29638,89359170
2004/08/18 12:00,3015.0,3074.0,3015.0,3074.0,110,332240
2004/08/22 12:00,2921.0,3074.0,2921.0,3074.0,399,1167009
2004/08/29 12:00,2921.0,3063.0,2921.0,3063.0,3408,9956188
2004/08/31 12:00,2920.0,2967.0,2910.0,2967.0,31301,91306164
2004/09/01 12:00,2819.0,2963.0,2819.0,2963.0,1110,3140730
2004/09/04 12:00,2921.0,2938.0,2906.0,2938.0,27710,80915580
2004/09/05 12:00,2899.0,2915.0,2899.0,2915.0,27510,79762724
2004/09/06 12:00,2890.0,3015.0,2890.0,2909.0,47606,138494871
2004/09/07 12:00,2900.0,3021.0,2900.0,2919.0,14061,41430437
2004/09/08 12:00,2919.0,3064.0,2919.0,2921.0,5662,16636438
2004/09/11 12:00,3065.0,3065.0,2925.0,2925.0,1456,4461240
2004/09/12 12:00,3070.0,3071.0,2967.0,2967.0,14230,43698790
2004/09/14 12:00,3115.0,3115.0,2985.0,2985.0,6074,18919210
2004/09/15 12:00,3072.0,3080.0,3071.0,3076.0,52325,160954611
2004/09/18 12:00,3071.0,3072.0,3071.0,3071.0,68815,211396905
2004/09/19 12:00,3091.0,3091.0,3071.0,3074.0,21537,66316519
2004/09/20 12:00,3227.0,3227.0,3075.0,3075.0,480,1547440
2004/09/21 12:00,2922.0,3050.0,2922.0,3047.0,8781,25669955
2004/09/22 12:00,3047.0,3048.0,3047.0,3047.0,3677,11205819
2004/09/25 12:00,3047.0,3047.0,3040.0,3045.0,14416,43863045
2004/09/26 12:00,3045.0,3071.0,3045.0,3045.0,4929,15055443
2004/09/27 12:00,3071.0,3071.0,3048.0,3048.0,5625,17274145
2004/09/28 12:00,3149.0,3149.0,3048.0,3052.0,32089,98017291
2004/09/29 12:00,3200.0,3200.0,3052.0,3056.0,10612,32599650
2004/10/02 12:00,3208.0,3208.0,3058.0,3058.0,960,3078180
2004/10/03 12:00,3210.0,3210.0,3210.0,3210.0,656831,2108427510
2004/10/04 12:00,3370.0,3370.0,3370.0,3370.0,501200,1689044000
