timestamps,open,high,low,close,volume,amount
2021/01/03 12:00,10000.0,10000.0,10000.0,10000.0,20680253,206802530000
2021/01/04 12:00,10000.0,10000.0,10000.0,10000.0,18586713,185867130000
2021/01/05 12:00,10000.0,10000.0,10000.0,10000.0,7535027,75350270000
2021/01/06 12:00,10000.0,10000.0,10000.0,10000.0,4164598,41645980000
2021/01/09 12:00,10000.0,10000.0,10000.0,10000.0,10199296,101992960000
2021/02/14 12:00,10950.0,10950.0,9600.0,9795.0,6679651,66608495518
2021/02/15 12:00,9612.0,9900.0,9001.0,9720.0,9328847,89035237011
2021/02/16 12:00,9100.0,9100.0,9100.0,9100.0,22819,207652900
2021/02/27 12:00,9099.0,9350.0,8805.0,9000.0,947506,8562396351
2021/02/28 12:00,8300.0,9540.0,8300.0,9300.0,7404104,67376830686
2021/03/01 12:00,9300.0,9670.0,9100.0,9503.0,4228812,39978975429
2021/03/02 12:00,9430.0,9587.0,9283.0,9400.0,1934877,18227262607
2021/03/03 12:00,9301.0,9750.0,9301.0,9509.0,2594091,24667696985
2021/03/06 12:00,9593.0,9720.0,9509.0,9634.0,1164984,11204407399
2021/03/07 12:00,9750.0,9900.0,9636.0,9810.0,1275657,12492806792
2021/03/08 12:00,9715.0,9838.0,9512.0,9530.0,1094320,10529733012
2021/03/09 12:00,9500.0,9550.0,9230.0,9500.0,1400620,13228912402
2021/03/10 12:00,9498.0,9498.0,9304.0,9403.0,691775,6503028451
2021/03/13 12:00,9350.0,9598.0,9128.0,9491.0,2986047,27827630962
2021/03/14 12:00,9304.0,9519.0,9201.0,9358.0,1022707,9636352652
2021/03/15 12:00,9300.0,9600.0,9300.0,9425.0,1271808,12058496830
2021/03/16 12:00,9357.0,9589.0,9357.0,9429.0,569174,5378393978
2021/03/17 12:00,9420.0,9468.0,9348.0,9420.0,582281,5469499632
2021/03/27 12:00,9480.0,9480.0,9311.0,9391.0,333190,3128918545
2021/03/28 12:00,9391.0,9392.0,9268.0,9301.0,340385,3166683723
2021/03/30 12:00,9113.0,9329.0,9113.0,9267.0,825531,7664473186
2021/03/31 12:00,9310.0,9310.0,9241.0,9300.0,1009275,9380633668
2021/04/03 12:00,9300.0,9320.0,9210.0,9279.0,626209,5819387465
2021/04/04 12:00,9200.0,9310.0,9180.0,9281.0,695014,6452041466
2021/04/05 12:00,9202.0,9398.0,9202.0,9310.0,347583,3229911598
2021/04/06 12:00,9240.0,9445.0,9240.0,9317.0,331725,3083811572
2021/04/07 12:00,9200.0,9350.0,9200.0,9330.0,1187243,11090523601
2021/04/10 12:00,9300.0,9330.0,8550.0,9330.0,323604,3006956346
2021/04/11 12:00,9250.0,9397.0,9250.0,9397.0,279797,2603577289
2021/04/12 12:00,9330.0,10235.0,9255.0,10235.0,5117117,50247224914
2021/04/13 12:00,10700.0,10700.0,9830.0,10310.0,3095046,31752281641
2021/04/14 12:00,10002.0,10999.0,10001.0,10610.0,4517744,47713715705
2021/04/17 12:00,10610.0,10700.0,10210.0,10245.0,1884348,19551419323
2021/04/18 12:00,10206.0,10500.0,10078.0,10217.0,661745,6746993257
2021/04/19 12:00,10200.0,10985.0,10150.0,10750.0,1648284,17421377303
2021/04/20 12:00,10880.0,10999.0,10750.0,10750.0,1007740,10951007236
2021/04/21 12:00,10867.0,10950.0,10505.0,10690.0,522471,5624455598
2021/04/24 12:00,10700.0,10760.0,10401.0,10489.0,331540,3494351838
2021/04/25 12:00,10401.0,10401.0,9980.0,9980.0,664414,6715933048
2021/04/26 12:00,10000.0,10000.0,9706.0,9869.0,747103,7382387961
2021/04/27 12:00,9999.0,10180.0,9631.0,9700.0,687982,6752011622
2021/04/28 12:00,9625.0,9736.0,9450.0,9521.0,412796,3941088158
2021/05/01 12:00,9432.0,9590.0,9300.0,9317.0,270443,2533750412
2021/05/02 12:00,9317.0,9329.0,9112.0,9197.0,154791,1422225643
2021/05/03 12:00,9154.0,9154.0,8712.0,8990.0,263362,2373634226
2021/05/05 12:00,8822.0,9250.0,8822.0,9101.0,300597,2717907143
2021/05/08 12:00,9101.0,9101.0,8900.0,9050.0,117301,1056784989
2021/05/09 12:00,8861.0,8861.0,8801.0,8820.0,48848,431457592
2021/05/10 12:00,8761.0,9441.0,8750.0,9096.0,214203,1907339123
2021/05/11 12:00,9000.0,9056.0,8800.0,8800.0,173545,1550462950
2021/05/12 12:00,8731.0,8967.0,8700.0,8700.0,124631,1095731275
2021/05/15 12:00,8534.0,8873.0,8534.0,8720.0,59837,523383432
2021/05/16 12:00,8611.0,8769.0,8600.0,8688.0,90652,782478577
2021/05/17 12:00,8688.0,8938.0,8560.0,8700.0,140091,1220219664
2021/05/18 12:00,8860.0,8860.0,8533.0,8554.0,74049,633969334
