timestamps,open,high,low,close,volume,amount
2013/03/17 12:00,3450.0,3450.0,3450.0,3450.0,29896489,103142887050
2013/03/18 12:00,3622.0,3622.0,3622.0,3622.0,165236,598484792
2013/03/25 12:00,3803.0,3803.0,3803.0,3803.0,195540,743638620
2013/03/26 12:00,3993.0,3993.0,3851.0,3993.0,8770332,35004147715
2013/03/27 12:00,4005.0,4190.0,3993.0,4190.0,10695115,44014674251
2013/03/30 12:00,4170.0,4320.0,4051.0,4289.0,9423997,40026793851
2013/03/31 12:00,4299.0,4350.0,4203.0,4240.0,4461847,19060304140
2013/04/03 12:00,4201.0,4203.0,4100.0,4110.0,2203937,9123686923
2013/04/06 12:00,4086.0,4149.0,3971.0,4020.0,3367904,13554145627
2013/04/07 12:00,3990.0,4079.0,3911.0,3940.0,1835235,7289952186
2013/04/08 12:00,3931.0,4040.0,3870.0,3887.0,2150833,8416353803
2013/04/09 12:00,3897.0,3901.0,3800.0,3869.0,2100387,8094699892
2013/04/10 12:00,3960.0,4046.0,3860.0,4046.0,1208255,4847411730
2013/04/13 12:00,4212.0,4212.0,4212.0,4212.0,2339001,9851872212
2013/04/15 12:00,4310.0,4422.0,4210.0,4227.0,5943691,25821803610
2013/04/16 12:00,4250.0,4300.0,4131.0,4131.0,3025489,12711174635
2013/04/17 12:00,4200.0,4249.0,4072.0,4083.0,1334868,5482763955
2013/04/20 12:00,4091.0,4240.0,3980.0,4000.0,1348430,5511555416
2013/04/21 12:00,4001.0,4005.0,3910.0,3956.0,1260707,4983441145
2013/04/22 12:00,4021.0,4150.0,4021.0,4150.0,1808514,7462407629
2013/04/23 12:00,4200.0,4329.0,4200.0,4250.0,1584245,6772376458
2013/04/24 12:00,4289.0,4289.0,4140.0,4180.0,1506482,6293556527
2013/04/27 12:00,4170.0,4200.0,4030.0,4100.0,1161636,4751288901
2013/04/28 12:00,4140.0,4140.0,4030.0,4040.0,1209689,4905510721
2013/04/29 12:00,4050.0,4098.0,4000.0,4039.0,1272437,5125111678
2013/04/30 12:00,4015.0,4015.0,3906.0,3935.0,980383,3862841014
2013/05/01 12:00,4044.0,4044.0,3871.0,3915.0,1257162,4914399200
2013/05/04 12:00,3977.0,3977.0,3860.0,3860.0,881241,3433265486
2013/05/05 12:00,3880.0,3995.0,3839.0,3930.0,1485389,5761830340
2013/05/06 12:00,3860.0,4000.0,3860.0,3968.0,752342,2977549854
2013/05/07 12:00,3998.0,4089.0,3900.0,3920.0,676092,2691242798
2013/05/08 12:00,3919.0,3919.0,3811.0,3900.0,439992,1700165622
