timestamps,open,high,low,close,volume,amount
2013/11/30 12:00,1900.0,1900.0,1900.0,1900.0,57985,110171500
2013/12/11 12:00,1900.0,1900.0,1900.0,1900.0,18351,34866900
2013/12/22 12:00,1850.0,1900.0,1850.0,1850.0,19254,35669900
2014/01/04 12:00,1850.0,1850.0,1850.0,1850.0,21784,40300400
2014/01/07 12:00,1850.0,1900.0,1850.0,1850.0,8431,15597850
2014/01/13 12:00,1800.0,1800.0,1800.0,1800.0,15475,27855000
2014/01/21 12:00,1400.0,1400.0,1400.0,1400.0,5000,7000000
2014/02/01 12:00,1056.0,1056.0,1000.0,1000.0,5475,5480600
2014/02/02 12:00,1050.0,1050.0,1050.0,1050.0,8156,8563800
2014/02/03 12:00,1100.0,1101.0,1100.0,1101.0,211905,233201045
2014/02/05 12:00,1350.0,1350.0,1350.0,1350.0,2124,2867400
2014/02/08 12:00,1200.0,1480.0,1200.0,1480.0,5143,6451600
2014/02/10 12:00,1200.0,1200.0,1200.0,1200.0,235000,282000000
2014/02/17 12:00,1200.0,1250.0,1125.0,1250.0,138749,161462750
2014/02/18 12:00,1300.0,1300.0,1100.0,1100.0,138779,157127175
2014/02/19 12:00,1400.0,1400.0,1100.0,1100.0,99683,113188625
2014/02/23 12:00,1062.0,1062.0,1050.0,1061.0,12965,13725865
2014/02/24 12:00,1200.0,1200.0,1099.0,1099.0,35390,40961035
2014/02/26 12:00,1040.0,1040.0,1040.0,1040.0,18665,19411600
2014/03/02 12:00,1040.0,1040.0,1040.0,1040.0,15000,15600000
2014/03/04 12:00,1100.0,1100.0,1100.0,1100.0,58565,64421500
2014/03/09 12:00,1100.0,1110.0,1050.0,1100.0,10016264,11017320250
2014/03/10 12:00,1100.0,1100.0,1020.0,1100.0,1006782,1107167500
2014/03/11 12:00,1100.0,1100.0,1020.0,1020.0,90100,98809080
2014/03/12 12:00,1020.0,1020.0,1020.0,1020.0,9803,9999060
2014/03/16 12:00,1095.0,1100.0,1095.0,1100.0,15000,16433000
2014/03/18 12:00,1100.0,1100.0,1100.0,1100.0,3249,3573900
2014/03/19 12:00,1100.0,1100.0,1020.0,1020.0,20000,21200000
2014/03/25 12:00,1100.0,1100.0,1100.0,1100.0,99303,109233300
2014/03/30 12:00,1030.0,1030.0,1030.0,1030.0,2640,2719200
2014/03/31 12:00,1090.0,1100.0,1090.0,1099.0,12500,13729700
2014/04/08 12:00,1100.0,1100.0,1100.0,1100.0,510571,561628100
2014/04/09 12:00,1100.0,1100.0,1100.0,1100.0,60000,66000000
2014/04/13 12:00,1040.0,1042.0,1023.0,1023.0,90770,93794246
2014/04/14 12:00,1023.0,1023.0,1023.0,1023.0,17014,17405322
2014/04/15 12:00,1022.0,1022.0,1010.0,1010.0,80725,81712250
2014/04/16 12:00,1010.0,1020.0,1000.0,1020.0,225229,227342704
2014/04/19 12:00,1060.0,1060.0,1011.0,1011.0,110700,112299000
2014/04/20 12:00,1011.0,1011.0,1011.0,1011.0,960,970560
2014/04/21 12:00,1011.0,1011.0,990.0,990.0,6385,6352650
2014/04/23 12:00,1011.0,1011.0,1011.0,1011.0,92540,93557940
2014/04/26 12:00,1000.0,1000.0,993.0,993.0,32273,32177167
2014/04/27 12:00,1010.0,1060.0,1000.0,1013.0,207096,210673080
2014/04/28 12:00,1015.0,1015.0,1010.0,1010.0,19574,19830910
2014/04/29 12:00,1000.0,1050.0,999.0,1050.0,30100,30092000
2014/04/30 12:00,1050.0,1050.0,1050.0,1050.0,5000,5250000
2014/05/03 12:00,1040.0,1040.0,999.0,999.0,54093,54541105
2014/05/04 12:00,1000.0,1050.0,1000.0,1050.0,39905,41800250
2014/05/05 12:00,1010.0,1010.0,1010.0,1010.0,10000,10100000
