timestamps,open,high,low,close,volume,amount
2001/04/14 12:00,11114.0,11114.0,11114.0,11114.0,800,8891200
2001/04/24 12:00,11114.0,11114.0,11114.0,11114.0,1600,17782400
2001/04/25 12:00,11116.0,11116.0,11116.0,11116.0,496,5513536
2001/04/28 12:00,11118.0,11118.0,11118.0,11118.0,300,3335400
2001/05/27 12:00,11673.0,11673.0,11673.0,11673.0,1000,11673000
2001/05/28 12:00,12256.0,12256.0,12256.0,12256.0,2500,30640000
2001/05/30 12:00,12868.0,12868.0,12868.0,12868.0,1500,19302000
2001/07/17 12:00,13511.0,25800.0,13511.0,13511.0,356320,9180767000
2001/08/20 12:00,14202.0,14202.0,14202.0,14202.0,2000,28404000
2001/09/03 12:00,14912.0,14912.0,14912.0,14912.0,1000,14912000
2002/03/10 12:00,16610.0,16930.0,16555.0,16655.0,100000,1669920000
2002/03/11 12:00,16821.0,16821.0,16821.0,16821.0,45500,765355500
2002/03/12 12:00,16989.0,16989.0,16989.0,16989.0,25000,424725000
2002/03/13 12:00,17158.0,17158.0,17158.0,17158.0,37000,634846000
2002/03/16 12:00,17329.0,17329.0,17329.0,17329.0,2000,34658000
2002/03/17 12:00,17502.0,17502.0,17502.0,17502.0,15700,274781400
2002/03/18 12:00,17677.0,17677.0,17677.0,17677.0,12100,213891700
2002/03/19 12:00,17853.0,17853.0,17853.0,17853.0,20000,357060000
2002/03/26 12:00,18031.0,18031.0,18031.0,18031.0,1200,21637200
2002/03/27 12:00,18211.0,18211.0,18211.0,18211.0,10240,186480640
2002/03/30 12:00,18393.0,18393.0,18393.0,18393.0,3500,64375500
2002/04/03 12:00,18576.0,18576.0,18576.0,18576.0,30001,557298576
2002/04/06 12:00,18761.0,18761.0,18761.0,18761.0,1500,28141500
2002/04/09 12:00,18948.0,18948.0,18948.0,18948.0,18000,341064000
2002/04/14 12:00,19137.0,19137.0,19137.0,19137.0,8288,158607456
2002/04/20 12:00,19328.0,19328.0,19328.0,19328.0,3940,76152320
2002/04/21 12:00,19329.0,19329.0,19329.0,19329.0,2490,48129210
2002/04/22 12:00,19330.0,19330.0,19330.0,19330.0,360,6958800
2002/04/23 12:00,19331.0,19331.0,19331.0,19331.0,370,7152470
2002/04/24 12:00,19332.0,19332.0,19332.0,19332.0,2500,48330000
2002/04/28 12:00,19333.0,19333.0,19333.0,19333.0,500,9666500
2002/04/30 12:00,19526.0,19526.0,19526.0,19526.0,5000,97630000
2002/05/08 12:00,19721.0,19721.0,19721.0,19721.0,2400,47330400
2002/05/18 12:00,19918.0,19918.0,19918.0,19918.0,1000,19918000
2002/05/19 12:00,20117.0,20117.0,20117.0,20117.0,1000,20117000
2002/05/20 12:00,20318.0,20318.0,20318.0,20318.0,1000,20318000
2002/05/28 12:00,20521.0,20521.0,20521.0,20521.0,1000,20521000
2002/06/10 12:00,36998.0,36998.0,34100.0,35150.0,177884,6233229137
2002/06/12 12:00,35501.0,35501.0,35501.0,35501.0,1900,67451900
2002/06/16 12:00,35856.0,35856.0,35856.0,35856.0,2920,104699520
2002/06/17 12:00,36214.0,36214.0,36000.0,36000.0,34701,1256073414
2002/06/18 12:00,36002.0,36100.0,36000.0,36030.0,26825,966043170
2002/06/19 12:00,36030.0,36390.0,36030.0,36390.0,9315,338384860
2002/06/22 12:00,36390.0,36390.0,36390.0,36390.0,4971,180894690
2002/06/23 12:00,36393.0,36393.0,36390.0,36393.0,4145,150842750
2002/06/24 12:00,36400.0,36403.0,36400.0,36403.0,4572,166423664
2002/06/25 12:00,36406.0,37300.0,36406.0,37300.0,5960,219501400
2002/06/26 12:00,37300.0,37312.0,37300.0,37300.0,7736,288579095
2002/06/29 12:00,37303.0,37400.0,37303.0,37304.0,2056,76781610
2002/06/30 12:00,37400.0,37402.0,37400.0,37402.0,5272,197181464
2002/07/01 12:00,37403.0,37403.0,37403.0,37403.0,3250,121559750
2002/07/02 12:00,37405.0,37405.0,37405.0,37405.0,300,11221500
2002/07/03 12:00,37901.0,38340.0,37800.0,38340.0,11200,428810300
2002/07/06 12:00,38340.0,38500.0,38340.0,38500.0,1640,63037600
2002/07/09 12:00,38511.0,39462.0,38510.0,39462.0,10930,430716449
2002/07/10 12:00,40448.0,40448.0,40448.0,40448.0,15958,645469184
2002/07/14 12:00,41459.0,41459.0,41450.0,41459.0,33522,1389786558
2002/07/15 12:00,42495.0,42495.0,42495.0,42495.0,120400,5116398000
2002/07/16 12:00,43557.0,43557.0,43557.0,43557.0,100875,4393812375
2002/07/17 12:00,44645.0,44645.0,44645.0,44645.0,109718,4898360110
2002/07/20 12:00,45761.0,45761.0,45761.0,45761.0,102661,4697870021
2002/07/21 12:00,46905.0,46905.0,46905.0,46905.0,14500,680122500
2002/07/22 12:00,47374.0,47374.0,47374.0,47374.0,11500,544801000
2002/07/23 12:00,47847.0,47847.0,47847.0,47847.0,40740,1949286780
2002/07/27 12:00,48325.0,48325.0,48325.0,48325.0,7980,385633500
2002/07/28 12:00,48808.0,48808.0,47842.0,48808.0,321034,15611730538
