timestamps,open,high,low,close,volume,amount
2012/06/24 12:00,1305.0,1305.0,1140.0,1140.0,690000000,788084992681
2012/06/25 12:00,1160.0,1180.0,1146.0,1150.0,70242200,81667019797
2012/06/26 12:00,1154.0,1159.0,1117.0,1117.0,46616885,52724280106
2012/06/27 12:00,1102.0,1130.0,1086.0,1120.0,69730343,76405243282
2012/06/30 12:00,1139.0,1139.0,1139.0,1139.0,1860845,2119502455
2012/07/01 12:00,1159.0,1159.0,1146.0,1159.0,39983891,46327090157
2012/07/02 12:00,1188.0,1205.0,1180.0,1205.0,27152077,32521537122
2012/07/03 12:00,1245.0,1245.0,1211.0,1245.0,83796323,104113103969
2012/07/04 12:00,1279.0,1291.0,1247.0,1280.0,40897212,52264673513
2012/07/07 12:00,1290.0,1329.0,1290.0,1329.0,35427063,46846053899
2012/07/08 12:00,1360.0,1374.0,1342.0,1374.0,53147693,72942879677
2012/07/09 12:00,1390.0,1423.0,1370.0,1390.0,42859419,59916104891
2012/07/10 12:00,1365.0,1396.0,1343.0,1356.0,25835476,35095825321
2012/08/25 12:00,1510.0,1570.0,1510.0,1570.0,10959739,17049930710
2012/08/26 12:00,1618.0,1618.0,1618.0,1618.0,4881580,7898396440
2012/08/27 12:00,1682.0,1682.0,1639.0,1682.0,111406235,187263675870
2012/09/02 12:00,1692.0,1748.0,1690.0,1748.0,27549716,47501207679
2012/09/03 12:00,1770.0,1792.0,1760.0,1792.0,14281795,25551769754
2012/09/04 12:00,1860.0,1860.0,1860.0,1860.0,4140000,7700400000
2012/09/05 12:00,1934.0,1934.0,1871.0,1934.0,73942088,141916346872
2012/09/08 12:00,1940.0,1994.0,1858.0,1880.0,38117638,73482171970
2012/09/09 12:00,1885.0,1898.0,1851.0,1855.0,39152196,72537865239
2012/09/10 12:00,1880.0,1927.0,1853.0,1927.0,90860279,172050246530
2012/09/11 12:00,1870.0,1917.0,1819.0,1835.0,29403622,54201388477
2012/09/15 12:00,1852.0,1916.0,1836.0,1915.0,37069829,70742563612
2012/09/16 12:00,1944.0,1944.0,1870.0,1886.0,18214588,34702788400
2012/09/17 12:00,1911.0,1981.0,1911.0,1981.0,31763800,62264903570
