timestamps,open,high,low,close,volume,amount
2011/06/27 12:00,1290.0,1650.0,1250.0,1250.0,2038133,2809969570
2011/06/28 12:00,1311.0,1447.0,1311.0,1447.0,593515,808900165
2011/06/29 12:00,1431.0,1431.0,1431.0,1431.0,1000,1431000
2011/07/02 12:00,1502.0,1502.0,1502.0,1502.0,21000,31542000
2011/07/03 12:00,1577.0,1577.0,1577.0,1577.0,1900,2996300
2011/07/04 12:00,1655.0,1655.0,1655.0,1655.0,179226,296619030
2011/07/05 12:00,1737.0,1737.0,1737.0,1737.0,151500,263155500
2011/07/06 12:00,1823.0,1823.0,1823.0,1823.0,29000,52867000
2011/07/09 12:00,1914.0,1914.0,1760.0,1914.0,535383,1020163218
2011/07/10 12:00,1900.0,1985.0,1880.0,1880.0,35484,67734180
2011/07/11 12:00,1930.0,2000.0,1835.0,1899.0,26107,48430550
2011/07/12 12:00,1929.0,1930.0,1802.0,1930.0,74000,136417500
2011/07/13 12:00,1900.0,1920.0,1900.0,1920.0,40000,76300000
2011/07/16 12:00,2001.0,2001.0,1850.0,1850.0,10200,18888100
2011/07/18 12:00,1944.0,1944.0,1810.0,1810.0,214109,391236090
2011/07/19 12:00,1900.0,1900.0,1800.0,1800.0,30100,54210000
2011/07/20 12:00,1890.0,1890.0,1750.0,1790.0,18000,32239100
2011/07/23 12:00,1880.0,1880.0,1720.0,1720.0,25000,44600000
2011/07/24 12:00,1871.0,1873.0,1871.0,1873.0,38000,71108000
2011/07/25 12:00,1954.0,1954.0,1954.0,1954.0,1000,1954000
2011/07/26 12:00,1857.0,1857.0,1857.0,1857.0,33964,63071148
2011/07/27 12:00,1898.0,1898.0,1898.0,1898.0,10000,18980000
2011/07/30 12:00,1850.0,1850.0,1830.0,1830.0,15000,27650000
2011/07/31 12:00,1759.0,1759.0,1755.0,1755.0,5909,10390295
2011/08/01 12:00,1693.0,1693.0,1675.0,1675.0,41000,69235000
2011/08/02 12:00,1773.0,1773.0,1773.0,1773.0,20000,35460000
2011/08/03 12:00,1861.0,1861.0,1861.0,1861.0,35000,65135000
2011/08/06 12:00,1954.0,1954.0,1768.0,1890.0,135000,251819000
2011/08/08 12:00,1772.0,1772.0,1772.0,1772.0,60500,107206000
2011/08/09 12:00,1685.0,1685.0,1684.0,1684.0,30000,50530000
2011/08/10 12:00,1700.0,1750.0,1625.0,1750.0,91600,156470000
2011/08/13 12:00,1624.0,1624.0,1624.0,1624.0,10000,16240000
2011/08/14 12:00,1705.0,1705.0,1555.0,1555.0,11000,17255000
2011/08/15 12:00,1555.0,1555.0,1555.0,1555.0,833,1295315
2011/08/16 12:00,1627.0,1632.0,1555.0,1555.0,53167,86414685
2011/08/17 12:00,1544.0,1700.0,1544.0,1600.0,65000,106990000
2011/08/21 12:00,1564.0,1728.0,1564.0,1728.0,36672,62931008
2011/08/23 12:00,1801.0,1801.0,1801.0,1801.0,31000,55831000
2011/08/24 12:00,1849.0,1849.0,1849.0,1849.0,500,924500
2011/08/27 12:00,1899.0,1899.0,1757.0,1757.0,33000,58633900
2011/08/28 12:00,1689.0,1799.0,1689.0,1799.0,10100,17074900
2011/08/29 12:00,1775.0,1775.0,1607.0,1607.0,46000,76595000
2011/08/30 12:00,1748.0,1748.0,1600.0,1600.0,70900,113628000
2011/09/03 12:00,1683.0,1683.0,1683.0,1683.0,10000,16830000
2011/09/04 12:00,1683.0,1767.0,1683.0,1767.0,69800,122722988
2011/09/05 12:00,1845.0,1845.0,1845.0,1845.0,26318,48556710
2011/09/06 12:00,1937.0,1937.0,1937.0,1937.0,10000,19370000
2011/09/07 12:00,2018.0,2033.0,2018.0,2033.0,85735,173664255
2011/09/10 12:00,2110.0,2127.0,2110.0,2127.0,88672,187755344
2011/09/11 12:00,2222.0,2222.0,2179.0,2220.0,67530,149004600
2011/09/12 12:00,2220.0,2220.0,2220.0,2220.0,1000,2220000
2011/09/13 12:00,2220.0,2220.0,2109.0,2109.0,115000,243099000
2011/09/14 12:00,2019.0,2197.0,2009.0,2009.0,45000,91357076
2011/09/17 12:00,2130.0,2130.0,2110.0,2110.0,54000,114940000
2011/09/18 12:00,2023.0,2235.0,2023.0,2235.0,403326,845797054
2011/09/19 12:00,2201.0,2201.0,2201.0,2201.0,70000,154070000
2011/09/20 12:00,2311.0,2311.0,2310.0,2311.0,341572,789372484
2011/09/21 12:00,2426.0,2426.0,2426.0,2426.0,395933,960533458
