timestamps,open,high,low,close,volume,amount
2002/07/01 12:00,1000.0,1000.0,1000.0,1000.0,700,700000
2002/08/03 12:00,1100.0,1100.0,1100.0,1100.0,700,770000
2002/08/07 12:00,1155.0,1155.0,1155.0,1155.0,10000,11550000
2002/08/10 12:00,1212.0,1212.0,1212.0,1212.0,20000,24240000
2002/08/11 12:00,1272.0,1272.0,1272.0,1272.0,10000,12720000
2002/08/13 12:00,1335.0,1335.0,1335.0,1335.0,60000,80100000
2002/08/14 12:00,1401.0,1401.0,1401.0,1401.0,200000,280200000
2002/08/17 12:00,1471.0,1471.0,1471.0,1471.0,100000,147100000
2002/08/19 12:00,1507.0,1507.0,1507.0,1507.0,200000,301400000
2002/08/20 12:00,1544.0,1544.0,1544.0,1544.0,250000,386000000
2002/08/21 12:00,1582.0,1582.0,1582.0,1582.0,284000,449288000
2002/08/26 12:00,1661.0,1661.0,1661.0,1661.0,21900,36375900
2002/08/27 12:00,1744.0,1744.0,1744.0,1744.0,559900,976465600
2002/08/28 12:00,1831.0,1831.0,1827.0,1831.0,644230,1179343710
2002/08/31 12:00,1831.0,1832.0,1794.0,1798.0,107238,193540813
2002/09/01 12:00,1797.0,1800.0,1795.0,1798.0,225510,405446055
2002/09/02 12:00,1798.0,1798.0,1760.0,1760.0,56097,100621415
2002/09/03 12:00,1750.0,1750.0,1672.0,1672.0,44689,74890750
2002/09/04 12:00,1669.0,1669.0,1600.0,1600.0,80000,128783000
2002/09/08 12:00,1530.0,1530.0,1520.0,1520.0,6280,9558400
2002/09/10 12:00,1508.0,1510.0,1508.0,1510.0,51618,77932462
2002/09/17 12:00,1490.0,1510.0,1490.0,1510.0,25695,38725560
2002/09/18 12:00,1530.0,1580.0,1510.0,1580.0,32731,51054210
2002/09/22 12:00,1595.0,1659.0,1595.0,1659.0,15000,24469500
2002/09/23 12:00,1741.0,1741.0,1700.0,1741.0,440900,759470200
2002/09/24 12:00,1696.0,1741.0,1680.0,1731.0,179260,309489802
2002/09/29 12:00,1700.0,1729.0,1700.0,1729.0,31000,53291500
2002/10/01 12:00,1671.0,1671.0,1670.0,1670.0,5583,9325610
2002/10/02 12:00,1600.0,1600.0,1597.0,1597.0,16420,26255740
2002/10/06 12:00,1597.0,1597.0,1597.0,1597.0,16500,26350500
2002/10/07 12:00,1596.0,1597.0,1596.0,1597.0,7500,11975000
2002/10/08 12:00,1596.0,1596.0,1596.0,1596.0,50,79800
2002/10/09 12:00,1594.0,1594.0,1594.0,1594.0,1245,1984530
2002/10/12 12:00,1595.0,1595.0,1595.0,1595.0,1866,2976270
2002/10/14 12:00,1590.0,1590.0,1590.0,1590.0,750,1192500
2002/10/19 12:00,1580.0,1580.0,1580.0,1580.0,314,496120
2002/10/21 12:00,1540.0,1540.0,1540.0,1540.0,1486,2288440
2002/10/27 12:00,1542.0,1550.0,1541.0,1541.0,6877,10606826
2002/10/28 12:00,1541.0,1541.0,1541.0,1541.0,5000,7705000
2002/10/29 12:00,1540.0,1540.0,1540.0,1540.0,1000,1540000
2002/10/30 12:00,1540.0,1610.0,1540.0,1610.0,14873,23259420
2002/11/02 12:00,1640.0,1640.0,1617.0,1627.0,43005,70025017
2002/11/03 12:00,1700.0,1708.0,1674.0,1708.0,40750,69527000
2002/11/04 12:00,1700.0,1700.0,1700.0,1700.0,2450,4165000
2002/11/05 12:00,1700.0,1701.0,1660.0,1660.0,10500,17805950
2002/11/06 12:00,1600.0,1605.0,1302.0,1604.0,9689532,12621398362
2002/11/09 12:00,1610.0,1625.0,1610.0,1625.0,25000,40325000
2002/11/10 12:00,1696.0,1706.0,1696.0,1706.0,196398,334812918
2002/11/11 12:00,1791.0,1791.0,1791.0,1791.0,179882,322168662
2002/11/12 12:00,1833.0,1833.0,1791.0,1800.0,11359,20547471
2002/11/13 12:00,1800.0,1800.0,1710.0,1710.0,17414,30851700
2002/11/16 12:00,1795.0,1795.0,1790.0,1795.0,78444,140751980
2002/11/17 12:00,1884.0,1884.0,1884.0,1884.0,254500,479478000
2002/11/18 12:00,1978.0,1978.0,1970.0,1970.0,191650,378979700
2002/11/19 12:00,1950.0,1970.0,1950.0,1970.0,56223,109867949
2002/11/20 12:00,2030.0,2040.0,1990.0,1990.0,50915,102888520
2002/11/23 12:00,2050.0,2089.0,2048.0,2089.0,29945,61560305
2002/11/24 12:00,2100.0,2100.0,2002.0,2002.0,28112,58790200
2002/11/25 12:00,2097.0,2100.0,2000.0,2000.0,36049,73921644
2002/11/26 12:00,2022.0,2100.0,2022.0,2100.0,32997,68676520
2002/11/30 12:00,2160.0,2170.0,2160.0,2170.0,11597,25149520
2002/12/01 12:00,2278.0,2278.0,2278.0,2278.0,226470,515898660
2002/12/02 12:00,2278.0,2279.0,2278.0,2278.0,51355,116986956
2002/12/03 12:00,2278.0,2370.0,2278.0,2370.0,66158,152973200
2002/12/04 12:00,2400.0,2488.0,2391.0,2451.0,740638,1818700280
2002/12/07 12:00,2471.0,2477.0,2470.0,2470.0,1135441,2806052910
2002/12/08 12:00,2501.0,2540.0,2500.0,2540.0,636580,1596085858
2002/12/09 12:00,2571.0,2581.0,2543.0,2581.0,371979,956689257
2002/12/10 12:00,2710.0,2710.0,2685.0,2685.0,1000000,2697133750
2002/12/11 12:00,2819.0,2819.0,2819.0,2819.0,586424,1653129256
2002/12/14 12:00,2959.0,2959.0,2959.0,2959.0,27950,82704050
2002/12/15 12:00,3106.0,3106.0,2812.0,2900.0,311388,910380705
2002/12/16 12:00,2900.0,2900.0,2757.0,2800.0,133438,373634365
2002/12/17 12:00,2760.0,2900.0,2660.0,2799.0,214179,594159838
2002/12/18 12:00,2712.0,2850.0,2712.0,2800.0,270867,769178366
2002/12/21 12:00,2800.0,2800.0,2698.0,2699.0,64744,176286363
2002/12/22 12:00,2565.0,2565.0,2565.0,2565.0,6910,17724150
2002/12/23 12:00,2437.0,2510.0,2437.0,2510.0,175903,433392146
2002/12/24 12:00,2635.0,2635.0,2530.0,2590.0,69790,180387600
2002/12/25 12:00,2630.0,2695.0,2590.0,2590.0,194981,513322434
2002/12/28 12:00,2586.0,2635.0,2579.0,2630.0,72228,189140055
2002/12/29 12:00,2630.0,2640.0,2550.0,2550.0,98235,255813978
2002/12/31 12:00,2550.0,2598.0,2550.0,2551.0,141271,362321546
2003/01/01 12:00,2550.0,2614.0,2550.0,2614.0,163115,422900055
2003/01/04 12:00,2630.0,2665.0,2620.0,2640.0,165550,438943090
2003/01/05 12:00,2675.0,2770.0,2620.0,2651.0,2398325,6370422488
2003/01/06 12:00,2666.0,2701.0,2650.0,2657.0,1263000,3354461604
2003/01/07 12:00,2704.0,2750.0,2680.0,2706.0,456400,1230689210
2003/01/08 12:00,2712.0,2716.0,2701.0,2710.0,543500,1470920147
2003/01/11 12:00,2710.0,2720.0,2690.0,2700.0,477544,1290963068
2003/01/12 12:00,2699.0,2700.0,2566.0,2566.0,457462,1209750159
2003/01/13 12:00,2651.0,2680.0,2566.0,2660.0,372390,986409458
