timestamps,open,high,low,close,volume,amount
2011/08/16 12:00,2106.0,2190.0,2106.0,2190.0,257128080,552815139036
2011/08/17 12:00,2236.0,2236.0,2236.0,2236.0,235452016,526470707776
2011/08/20 12:00,2256.0,2323.0,2252.0,2252.0,88131720,200986845259
2011/08/21 12:00,2283.0,2295.0,2252.0,2294.0,85266840,194518835417
2011/08/23 12:00,2296.0,2310.0,2284.0,2299.0,18371511,42088553825
2011/08/24 12:00,2290.0,2299.0,2290.0,2298.0,90072537,206623858819
2011/08/27 12:00,2292.0,2299.0,2292.0,2295.0,21050127,48315196745
2011/08/28 12:00,2295.0,2298.0,2293.0,2295.0,31963406,73357384819
2011/08/29 12:00,2296.0,2305.0,2296.0,2305.0,15153211,34808346996
2011/08/30 12:00,2300.0,2300.0,2279.0,2297.0,64458341,148068359332
2011/09/03 12:00,2297.0,2298.0,2296.0,2297.0,55444471,127356346651
2011/09/04 12:00,2297.0,2300.0,2275.0,2297.0,49246693,113100903077
2011/09/05 12:00,2290.0,2349.0,2280.0,2330.0,40776540,93737115687
2011/09/06 12:00,2311.0,2390.0,2311.0,2390.0,14600577,34671277273
2011/09/07 12:00,2409.0,2409.0,2300.0,2322.0,61593442,142291782655
2011/09/10 12:00,2338.0,2338.0,2280.0,2284.0,84198742,193872411889
2011/09/11 12:00,2282.0,2288.0,2251.0,2265.0,18245930,41297890110
2011/09/12 12:00,2270.0,2279.0,2255.0,2279.0,27150238,61380934522
2011/09/13 12:00,2270.0,2270.0,2240.0,2270.0,50728847,113879914441
2011/09/14 12:00,2261.0,2270.0,2255.0,2264.0,8813403,19922368031
2011/09/17 12:00,2260.0,2280.0,2245.0,2280.0,8357210,18901677325
2011/09/18 12:00,2269.0,2270.0,2249.0,2255.0,10505132,23710791674
2011/09/19 12:00,2250.0,2272.0,2236.0,2270.0,19941004,45077533844
2011/09/20 12:00,2251.0,2260.0,2235.0,2245.0,22757061,51226965345
2011/09/21 12:00,2251.0,2269.0,2240.0,2269.0,28859921,65014407873
2011/09/25 12:00,2259.0,2259.0,2220.0,2235.0,5643052,12632261316
2011/09/26 12:00,2220.0,2230.0,2200.0,2210.0,5202782,11481837029
2011/09/27 12:00,2228.0,2250.0,2220.0,2240.0,5565580,12429968888
2011/09/28 12:00,2240.0,2249.0,2227.0,2234.0,6683190,14914279405
2011/10/01 12:00,2239.0,2240.0,2173.0,2235.0,16179676,35863002810
2011/10/02 12:00,2225.0,2229.0,2160.0,2170.0,12638146,27556384781
2011/10/03 12:00,2180.0,2197.0,2158.0,2169.0,29572959,64374105677
2011/10/04 12:00,2162.0,2170.0,2109.0,2130.0,10512029,22405408406
2011/10/05 12:00,2130.0,2142.0,2113.0,2142.0,20163051,42856430209
2011/10/08 12:00,2150.0,2150.0,2110.0,2130.0,15787202,33545133500
2011/10/09 12:00,2140.0,2140.0,2090.0,2119.0,17106306,36315185109
2011/10/10 12:00,2130.0,2130.0,2091.0,2100.0,8986225,18924376868
2011/10/11 12:00,2110.0,2110.0,2040.0,2079.0,52962604,109458920432
2011/10/12 12:00,2062.0,2090.0,2051.0,2070.0,7678560,15885592893
2011/10/15 12:00,2089.0,2089.0,2040.0,2043.0,15860677,32459670000
2011/10/16 12:00,2047.0,2053.0,1980.0,1987.0,24041331,48681279746
2011/10/17 12:00,1980.0,2000.0,1953.0,1990.0,14373219,28269963443
2011/10/18 12:00,1989.0,1990.0,1960.0,1970.0,5903313,11630554294
2011/10/19 12:00,2006.0,2019.0,1970.0,1996.0,25003871,49861346738
2011/10/22 12:00,1990.0,2000.0,1945.0,1952.0,6263950,12255914276
2011/10/23 12:00,1987.0,1987.0,1949.0,1970.0,17943100,35313018814
2011/10/24 12:00,1978.0,1985.0,1960.0,1970.0,17476771,34405857174
2011/10/25 12:00,1973.0,1982.0,1969.0,1979.0,18455817,36440881685
2011/10/26 12:00,1978.0,2000.0,1970.0,1995.0,28531218,56873579646
2011/10/29 12:00,2020.0,2052.0,2020.0,2048.0,19201611,39218949407
