timestamps,open,high,low,close,volume,amount
2012/02/08 12:00,1304.0,1304.0,1304.0,1304.0,248387500,323897300000
2012/02/12 12:00,1369.0,1369.0,1320.0,1369.0,75848282,103516867261
2012/02/13 12:00,1379.0,1397.0,1301.0,1311.0,23435322,31646815791
2012/02/14 12:00,1320.0,1324.0,1293.0,1317.0,12352753,16101932134
2012/02/15 12:00,1311.0,1324.0,1282.0,1290.0,9402675,12234238887
2012/02/18 12:00,1290.0,1323.0,1290.0,1300.0,10763775,14062469908
2012/02/19 12:00,1300.0,1313.0,1268.0,1280.0,8287222,10733273656
2012/02/20 12:00,1251.0,1270.0,1235.0,1240.0,7255902,9062729299
2012/03/18 12:00,1450.0,1549.0,1402.0,1505.0,50477765,74623129847
2012/03/24 12:00,1551.0,1551.0,1551.0,1551.0,780221,1210122771
2012/03/25 12:00,1628.0,1628.0,1628.0,1628.0,1107443,1802917204
2012/03/26 12:00,1683.0,1709.0,1580.0,1709.0,35810039,60005403566
2012/03/27 12:00,1750.0,1759.0,1740.0,1759.0,6474176,11372795594
2012/03/28 12:00,1844.0,1844.0,1844.0,1844.0,468277,863502788
2012/04/02 12:00,1899.0,1925.0,1822.0,1851.0,44896673,84433282081
2012/04/03 12:00,1821.0,1830.0,1787.0,1787.0,12919026,23208339969
2012/04/04 12:00,1752.0,1810.0,1748.0,1784.0,12630819,22513323615
2012/04/07 12:00,1770.0,1868.0,1770.0,1852.0,11614226,21460412902
2012/04/08 12:00,1900.0,1940.0,1850.0,1880.0,22050791,42552119565
2012/04/09 12:00,1931.0,1965.0,1900.0,1905.0,6497534,12486573249
2012/04/10 12:00,1970.0,2018.0,1968.0,2005.0,15758626,31431433646
2012/04/11 12:00,2000.0,2094.0,1990.0,2094.0,11247915,23218055624
2012/04/14 12:00,2150.0,2167.0,2107.0,2167.0,42588864,92104724466
2012/04/15 12:00,2271.0,2271.0,2250.0,2271.0,54534304,123845805584
2012/04/16 12:00,2285.0,2300.0,2158.0,2170.0,25315913,55677904722
2012/04/17 12:00,2200.0,2230.0,2100.0,2192.0,12988892,28155827948
2012/04/18 12:00,2195.0,2276.0,2195.0,2276.0,26599215,60239703908
2012/04/21 12:00,2300.0,2330.0,2183.0,2200.0,6825525,15215544505
2012/04/22 12:00,2189.0,2200.0,2150.0,2164.0,4886382,10596813371
2012/04/23 12:00,2160.0,2160.0,2061.0,2089.0,14799724,30770114095
2012/04/24 12:00,2030.0,2160.0,2001.0,2085.0,6179016,12938940429
2012/04/28 12:00,2090.0,2090.0,1990.0,1990.0,12686141,25440808901
2012/04/29 12:00,1957.0,1989.0,1905.0,1905.0,6441177,12292015498
2012/04/30 12:00,1901.0,1957.0,1880.0,1932.0,8112389,15592624750
2012/05/01 12:00,1940.0,1962.0,1881.0,1890.0,4328093,8252606106
2012/05/02 12:00,1880.0,1900.0,1850.0,1889.0,2869438,5367139071
2012/05/05 12:00,1890.0,1899.0,1820.0,1835.0,3383765,6256894461
2012/05/06 12:00,1842.0,1929.0,1841.0,1909.0,3594916,6734808395
2012/05/07 12:00,1900.0,1925.0,1860.0,1880.0,2785501,5265143419
2012/05/08 12:00,1899.0,1899.0,1860.0,1860.0,1648458,3089390732
2012/05/09 12:00,1856.0,1889.0,1821.0,1858.0,4350120,8029415685
2012/05/12 12:00,1860.0,1860.0,1754.0,1754.0,8680780,15341706501
2012/05/13 12:00,1742.0,1822.0,1701.0,1800.0,3181276,5665407261
2012/05/14 12:00,1800.0,1870.0,1800.0,1870.0,6715011,12537016767
2012/05/15 12:00,1928.0,1928.0,1861.0,1861.0,4007663,7594516574
2012/05/16 12:00,1895.0,1895.0,1827.0,1840.0,1971969,3644383112
2012/05/19 12:00,1850.0,1850.0,1790.0,1827.0,1047287,1903420766
2012/05/20 12:00,1837.0,1899.0,1822.0,1865.0,2077283,3865113207
2012/05/26 12:00,1700.0,1763.0,1652.0,1745.0,8305595,14255172846
2012/05/27 12:00,1750.0,1785.0,1725.0,1774.0,2051791,3593310189
2012/05/28 12:00,1775.0,1788.0,1720.0,1738.0,1360503,2366017158
2012/05/29 12:00,1738.0,1754.0,1715.0,1724.0,1528862,2636560575
2012/05/30 12:00,1727.0,1800.0,1713.0,1780.0,2624847,4606473586
2012/06/02 12:00,1794.0,1842.0,1760.0,1761.0,13753380,25248904716
2012/06/05 12:00,1745.0,1745.0,1745.0,1745.0,142509,248678205
2012/06/06 12:00,1658.0,1693.0,1658.0,1658.0,10723379,17781459183
2012/06/09 12:00,1639.0,1639.0,1576.0,1576.0,4440448,7041585280
2012/06/10 12:00,1540.0,1580.0,1508.0,1560.0,5034242,7739732697
2012/06/11 12:00,1597.0,1613.0,1558.0,1580.0,11908534,18956143633
2012/06/12 12:00,1596.0,1596.0,1525.0,1529.0,3148642,4881615369
2012/06/13 12:00,1539.0,1573.0,1510.0,1539.0,2422747,3716168416
2012/06/16 12:00,1549.0,1565.0,1511.0,1513.0,2230973,3419407313
2012/06/17 12:00,1517.0,1550.0,1490.0,1550.0,2870569,4331532034
2012/06/19 12:00,1550.0,1550.0,1500.0,1541.0,806484,1233840758
2012/06/20 12:00,1553.0,1553.0,1493.0,1493.0,1370701,2073814582
2012/06/23 12:00,1500.0,1500.0,1438.0,1438.0,6791255,9774097662
2012/06/24 12:00,1401.0,1476.0,1395.0,1404.0,3251883,4603640126
2012/06/25 12:00,1402.0,1420.0,1390.0,1390.0,1850061,2597663018
2012/06/26 12:00,1400.0,1400.0,1334.0,1334.0,1962588,2648163225
2012/06/27 12:00,1285.0,1330.0,1282.0,1320.0,7333720,9472054017
2012/06/30 12:00,1356.0,1356.0,1356.0,1356.0,1112768,1508913408
2012/07/01 12:00,1419.0,1423.0,1380.0,1423.0,2970200,4205696074
2012/07/02 12:00,1486.0,1486.0,1486.0,1486.0,124304,184715744
2012/07/03 12:00,1560.0,1560.0,1500.0,1530.0,9107701,14137471523
2012/07/04 12:00,1521.0,1560.0,1480.0,1530.0,3165647,4821736645
2012/07/07 12:00,1517.0,1530.0,1468.0,1468.0,1985973,2978121399
2012/07/08 12:00,1461.0,1495.0,1425.0,1425.0,2816471,4058291567
2012/07/09 12:00,1390.0,1400.0,1369.0,1395.0,5529253,7610743442
2012/07/10 12:00,1399.0,1444.0,1395.0,1444.0,8594351,12402433218
2012/07/11 12:00,1461.0,1515.0,1461.0,1494.0,4854986,7302394601
2012/07/14 12:00,1516.0,1544.0,1430.0,1444.0,2908114,4272167529
2012/07/15 12:00,1460.0,1480.0,1396.0,1400.0,7468150,10647359571
2012/07/16 12:00,1400.0,1422.0,1355.0,1355.0,6240185,8480409683
2012/07/28 12:00,1400.0,1400.0,1280.0,1290.0,6183980,8122760694
2012/07/29 12:00,1290.0,1324.0,1251.0,1269.0,1963529,2482416263
2012/07/30 12:00,1298.0,1327.0,1270.0,1327.0,6205164,8187333425
2012/07/31 12:00,1384.0,1384.0,1384.0,1384.0,2058534,2849011056
2012/08/01 12:00,1453.0,1453.0,1370.0,1370.0,8136518,11535316274
2012/08/04 12:00,1360.0,1360.0,1348.0,1348.0,1295629,1748898136
2012/08/05 12:00,1300.0,1390.0,1292.0,1384.0,3832494,5145824892
2012/08/06 12:00,1389.0,1410.0,1369.0,1380.0,7644589,10697589788
2012/08/07 12:00,1400.0,1400.0,1330.0,1331.0,3715237,4981185187
2012/08/08 12:00,1360.0,1408.0,1311.0,1408.0,4772322,6660306111
2012/08/11 12:00,1420.0,1465.0,1406.0,1465.0,7370675,10683908910
2012/08/12 12:00,1470.0,1486.0,1379.0,1420.0,6555737,9313874842
2012/08/13 12:00,1400.0,1484.0,1374.0,1480.0,6157691,9041606223
2012/08/14 12:00,1490.0,1541.0,1490.0,1541.0,8750879,13471374565
2012/08/15 12:00,1615.0,1615.0,1615.0,1615.0,491331,793499565
2012/08/18 12:00,1650.0,1678.0,1594.0,1621.0,14120212,22991223418
2012/08/21 12:00,1630.0,1709.0,1630.0,1702.0,19637425,33245178498
2012/08/22 12:00,1700.0,1726.0,1630.0,1635.0,6827392,11283966750
2012/08/25 12:00,1630.0,1670.0,1600.0,1661.0,9914691,16272977465
2012/08/26 12:00,1661.0,1697.0,1650.0,1651.0,10247148,17035233641
2012/08/27 12:00,1651.0,1651.0,1591.0,1650.0,12671465,20559928440
2012/09/02 12:00,1612.0,1704.0,1612.0,1704.0,18972103,31935381967
2012/09/03 12:00,1767.0,1767.0,1738.0,1767.0,30144609,53232928390
2012/09/04 12:00,1780.0,1834.0,1752.0,1809.0,31080130,55802372109
2012/09/05 12:00,1808.0,1820.0,1710.0,1730.0,16883876,29566799377
2012/09/08 12:00,1748.0,1834.0,1720.0,1771.0,19196542,34504781409
2012/09/09 12:00,1800.0,1810.0,1711.0,1759.0,7595691,13191394311
2012/09/10 12:00,1756.0,1823.0,1756.0,1823.0,19660163,35478527335
2012/09/11 12:00,1829.0,1880.0,1810.0,1811.0,8536891,15687898618
2012/09/15 12:00,1850.0,1929.0,1840.0,1880.0,16137802,30778234954
2012/09/16 12:00,1900.0,1914.0,1822.0,1850.0,7266689,13480533368
2012/09/17 12:00,1850.0,1897.0,1831.0,1860.0,6490068,12196440242
2012/09/18 12:00,1889.0,1892.0,1830.0,1830.0,9227948,17222406823
2012/09/19 12:00,1830.0,1939.0,1830.0,1870.0,18264088,34270557938
2012/09/22 12:00,1900.0,1969.0,1900.0,1969.0,14145459,27659377551
2012/09/23 12:00,2052.0,2052.0,1940.0,1977.0,20663343,41693243188
2012/09/24 12:00,1985.0,2094.0,1973.0,2087.0,14387591,29405882163
2012/09/25 12:00,2119.0,2146.0,2113.0,2146.0,21113338,45184337628
2012/09/26 12:00,2240.0,2247.0,2204.0,2247.0,25945014,58263836666
2012/09/29 12:00,2340.0,2358.0,2307.0,2358.0,16532459,38897204737
2012/09/30 12:00,2470.0,2470.0,2290.0,2380.0,39525855,95310758833
2012/10/01 12:00,2410.0,2429.0,2291.0,2291.0,29549374,69885197935
2012/10/02 12:00,2303.0,2365.0,2247.0,2270.0,28973192,65670740542
2012/10/03 12:00,2339.0,2377.0,2154.0,2154.0,29433825,66207661460
2012/10/06 12:00,2138.0,2165.0,2137.0,2137.0,3412789,7298203833
2012/10/07 12:00,2085.0,2189.0,2061.0,2104.0,14493888,30523866346
2012/10/08 12:00,2150.0,2197.0,2110.0,2155.0,5464411,11779767695
2012/10/09 12:00,2193.0,2194.0,2051.0,2096.0,6322536,13262081056
2012/10/10 12:00,2085.0,2085.0,2010.0,2045.0,5511595,11144929776
2012/10/13 12:00,1999.0,1999.0,1921.0,1921.0,5884108,11374213366
2012/10/14 12:00,1898.0,2029.0,1875.0,2029.0,8846367,17454239927
2012/10/15 12:00,2063.0,2071.0,2055.0,2071.0,4459711,9225425547
2012/10/16 12:00,2140.0,2172.0,2000.0,2015.0,25921548,54373706557
2012/10/17 12:00,2040.0,2202.0,2006.0,2202.0,36541590,77588167809
2012/10/20 12:00,2229.0,2229.0,2229.0,2229.0,642959,1433155611
2012/10/21 12:00,2340.0,2340.0,2280.0,2340.0,80763901,188895059629
2012/10/22 12:00,2455.0,2455.0,2455.0,2455.0,125226625,307431364375
2012/10/23 12:00,2450.0,2540.0,2338.0,2429.0,41723248,102040562254
2012/10/24 12:00,2415.0,2568.0,2415.0,2568.0,50965227,128733600830
2012/10/27 12:00,2577.0,2652.0,2570.0,2652.0,51458881,135981691936
2012/10/28 12:00,2725.0,2750.0,2570.0,2680.0,49953987,133536795909
2012/10/29 12:00,2702.0,2774.0,2650.0,2729.0,29462483,80062461387
2012/10/30 12:00,2708.0,2852.0,2702.0,2730.0,56516880,157552227368
2012/10/31 12:00,2701.0,2791.0,2662.0,2760.0,34669309,94791162267
2012/11/04 12:00,2770.0,2840.0,2700.0,2711.0,20816474,57361259139
2012/11/05 12:00,2700.0,2700.0,2619.0,2650.0,46433930,121788986799
2012/11/06 12:00,2632.0,2754.0,2632.0,2730.0,22840857,61979670357
2012/11/07 12:00,2800.0,2849.0,2770.0,2849.0,28491733,80383343561
2012/11/10 12:00,2865.0,2910.0,2720.0,2820.0,21839636,61543883985
2012/11/11 12:00,2827.0,2888.0,2780.0,2780.0,14881794,41833439372
2012/11/12 12:00,2770.0,2879.0,2722.0,2815.0,15750596,44382829848
2012/11/13 12:00,2835.0,2958.0,2831.0,2958.0,45829718,134832588824
2012/11/14 12:00,3020.0,3089.0,3002.0,3070.0,49382575,151550964319
2012/11/17 12:00,3061.0,3061.0,2916.0,2941.0,40459922,119405812390
2012/11/18 12:00,2900.0,3020.0,2872.0,2885.0,15682902,45963591567
2012/11/19 12:00,2830.0,2870.0,2785.0,2785.0,27777373,77634693019
2012/11/20 12:00,2742.0,2840.0,2659.0,2770.0,14278204,39095135408
2012/11/21 12:00,2790.0,2840.0,2786.0,2829.0,12131325,34144753074
2012/11/26 12:00,2886.0,2955.0,2886.0,2955.0,16275501,47714034214
2012/11/27 12:00,3000.0,3069.0,2941.0,2965.0,23196358,69603943598
2012/11/28 12:00,2999.0,3048.0,2900.0,2950.0,24664591,73755459539
2012/12/01 12:00,2959.0,3010.0,2900.0,2930.0,17062565,50517727560
2012/12/02 12:00,2989.0,3048.0,2890.0,2930.0,20798245,61543002879
2012/12/03 12:00,2930.0,2950.0,2877.0,2890.0,16378297,47646636922
2012/12/04 12:00,2924.0,2961.0,2885.0,2886.0,9009147,26215356494
2012/12/05 12:00,2881.0,2970.0,2855.0,2942.0,15912235,46646665122
2012/12/08 12:00,3011.0,3077.0,2901.0,2902.0,49261954,148720305998
2012/12/09 12:00,2900.0,2948.0,2869.0,2876.0,34570072,99559689075
2012/12/10 12:00,2860.0,2950.0,2766.0,2799.0,10221550,28936346205
2012/12/11 12:00,2790.0,2869.0,2752.0,2760.0,6637061,18488816211
2012/12/12 12:00,2774.0,2780.0,2700.0,2760.0,9458834,25893951469
2012/12/15 12:00,2798.0,2840.0,2750.0,2768.0,6338385,17634209857
2012/12/16 12:00,2819.0,2890.0,2752.0,2840.0,11914892,33869773641
2012/12/17 12:00,2890.0,2985.0,2890.0,2985.0,25257889,74745736633
2012/12/18 12:00,3030.0,3030.0,2911.0,2920.0,20942887,62011314293
2012/12/19 12:00,2940.0,3010.0,2850.0,2870.0,20047247,58510311466
2012/12/22 12:00,2900.0,2974.0,2870.0,2940.0,12034401,35337052858
2012/12/23 12:00,3082.0,3082.0,3082.0,3082.0,20209966,62287115212
2012/12/24 12:00,3236.0,3236.0,3236.0,3236.0,10177848,32935516128
2012/12/25 12:00,3339.0,3349.0,3080.0,3209.0,68613268,223181230100
2012/12/26 12:00,3189.0,3415.0,3160.0,3415.0,68309330,231106886094
2013/01/20 12:00,2987.0,3188.0,2904.0,3159.0,29309695,90893768405
2013/01/21 12:00,3160.0,3256.0,3152.0,3198.0,24820668,80151786137
2013/01/22 12:00,3180.0,3220.0,3068.0,3150.0,18755213,57828591118
2013/01/23 12:00,3220.0,3237.0,3185.0,3237.0,15294357,49466967400
2013/01/26 12:00,3369.0,3390.0,3270.0,3277.0,15550401,51968833773
2013/01/27 12:00,3255.0,3267.0,3175.0,3175.0,18493492,58922232625
2013/01/28 12:00,3047.0,3210.0,3047.0,3188.0,12237691,38466868039
2013/01/30 12:00,3186.0,3186.0,3055.0,3084.0,6720661,20795469621
2013/02/02 12:00,3103.0,3220.0,3060.0,3070.0,13076670,40588787875
2013/02/03 12:00,3119.0,3199.0,3053.0,3175.0,15607001,48713773860
2013/02/04 12:00,3083.0,3139.0,3013.0,3030.0,15846789,48403088653
2013/02/05 12:00,3017.0,3140.0,3010.0,3050.0,7244134,22196416415
2013/02/06 12:00,3073.0,3216.0,3073.0,3176.0,67838913,214783584535
2013/02/09 12:00,3181.0,3200.0,3082.0,3110.0,7108714,22174080702
2013/02/11 12:00,3130.0,3273.0,3090.0,3249.0,21506959,68811951674
2013/02/12 12:00,3280.0,3300.0,3120.0,3130.0,7768579,24819561271
2013/02/13 12:00,3132.0,3148.0,3089.0,3100.0,6320902,19666388780
2013/02/16 12:00,3160.0,3209.0,3125.0,3190.0,7409507,23570390139
2013/02/17 12:00,3280.0,3340.0,3221.0,3340.0,79807636,265841715475
2013/02/18 12:00,3491.0,3497.0,3452.0,3497.0,44385314,155151010687
2013/02/27 12:00,3780.0,3784.0,3600.0,3609.0,77752961,285843426326
2013/03/02 12:00,3545.0,3639.0,3493.0,3493.0,43581784,152517685972
2013/03/03 12:00,3400.0,3499.0,3325.0,3434.0,38376342,129176682589
2013/03/04 12:00,3430.0,3480.0,3282.0,3310.0,14286701,47947564669
2013/03/05 12:00,3250.0,3310.0,3206.0,3288.0,16292438,52758418152
